panel,series,x,y,lo,hi,what
e,"long-axis view single beat, L 0.25",2,8.21855,5.78488,11.4326,"pooled median and IQR (mm), u_anchor 0.06; 88,000 patients"
e,"long-axis view single beat, L 0.25, cohort n=44 median",2.18,,6.91569,9.86166,"2.5-97.5 percentile of medians of 2,000 simulated cohorts of 44"
e,"long-axis view 3-beat mean, L 0.25",3,8.31938,5.98178,11.375,"pooled median and IQR (mm), u_anchor 0.06; 88,000 patients"
e,"long-axis view 3-beat mean, L 0.25, cohort n=44 median",3.18,,6.99198,9.87787,"2.5-97.5 percentile of medians of 2,000 simulated cohorts of 44"
e,"A4 composite, L 0.25",4,10.3236,7.82991,13.6126,"pooled median and IQR (mm), u_anchor 0.06; 88,000 patients"
e,"A4 composite, L 0.25, cohort n=44 median",4.18,,8.85611,11.9891,"2.5-97.5 percentile of medians of 2,000 simulated cohorts of 44"
e,"long-axis view 3-beat mean, L 0.5",5,6.43838,3.90478,9.54407,"pooled median and IQR (mm), u_anchor 0.06; 88,000 patients"
e,"long-axis view 3-beat mean, L 0.5, cohort n=44 median",5.18,,4.91229,8.01028,"2.5-97.5 percentile of medians of 2,000 simulated cohorts of 44"
e,"A4 composite, L 0.5",6,10.0819,7.60605,13.3696,"pooled median and IQR (mm), u_anchor 0.06; 88,000 patients"
e,"A4 composite, L 0.5, cohort n=44 median",6.18,,8.62999,11.8177,"2.5-97.5 percentile of medians of 2,000 simulated cohorts of 44"
e,Sugiura 2021 VC width,7,9.5,7.2,12.3,"published median [IQR], n = 44"
