panel,axis,series,x_beat_cv,y,mcse,n,table,x_false_alarm,x_mcse,n_nonevent,x_r_mean
b,AP,p_any_adj tau=5 view_errors=True,0.3,0.09843,0.0009420272559751,100000.0,E4_any_trigger.csv cell 211,,,,
b,AP,p_any_adj tau=5 view_errors=False,0.05,3e-05,1.732024826611905e-05,100000.0,E4_any_trigger.csv cell 37,,,,
b,AP,p_any_adj tau=5 view_errors=False,0.1,0.00381,0.0001948200169387,100000.0,E4_any_trigger.csv cell 43,,,,
b,AP,p_any_adj tau=5 view_errors=False,0.15,0.0237,0.0004810229724243,100000.0,E4_any_trigger.csv cell 49,,,,
b,AP,p_any_adj tau=5 view_errors=False,0.2,0.0632,0.000769452792574,100000.0,E4_any_trigger.csv cell 55,,,,
b,AP,p_any_adj tau=5 view_errors=False,0.25,0.11251,0.0009992572236416,100000.0,E4_any_trigger.csv cell 61,,,,
b,AP,p_any_adj tau=5 view_errors=False,0.3,0.16136,0.0011632839309472,100000.0,E4_any_trigger.csv cell 67,,,,
b,AP,p_any_adj tau=6 view_errors=True,0.05,0.00464,0.0002149062679402,100000.0,E4_any_trigger.csv cell 181,,,,
b,AP,p_any_adj tau=6 view_errors=True,0.1,0.00631,0.0002504033526133,100000.0,E4_any_trigger.csv cell 187,,,,
b,AP,p_any_adj tau=6 view_errors=True,0.15,0.0136,0.0003662654774886,100000.0,E4_any_trigger.csv cell 193,,,,
b,AP,p_any_adj tau=6 view_errors=True,0.2,0.02428,0.0004867286882853,100000.0,E4_any_trigger.csv cell 199,,,,
b,AP,p_any_adj tau=6 view_errors=True,0.25,0.04195,0.0006339573921013,100000.0,E4_any_trigger.csv cell 205,,,,
b,AP,p_any_adj tau=6 view_errors=True,0.3,0.06569,0.0007834208568834,100000.0,E4_any_trigger.csv cell 211,,,,
b,AP,p_any_adj tau=6 view_errors=False,0.05,0.0,0.0,100000.0,E4_any_trigger.csv cell 37,,,,
b,AP,p_any_adj tau=6 view_errors=False,0.1,0.00105,0.000102415697039,100000.0,E4_any_trigger.csv cell 43,,,,
b,AP,p_any_adj tau=6 view_errors=False,0.15,0.01091,0.0003284961476182,100000.0,E4_any_trigger.csv cell 49,,,,
b,AP,p_any_adj tau=6 view_errors=False,0.2,0.03423,0.0005749635388439,100000.0,E4_any_trigger.csv cell 55,,,,
b,AP,p_any_adj tau=6 view_errors=False,0.25,0.06968,0.000805137861487,100000.0,E4_any_trigger.csv cell 61,,,,
b,AP,p_any_adj tau=6 view_errors=False,0.3,0.10867,0.0009841790035354,100000.0,E4_any_trigger.csv cell 67,,,,
c,AP,ppv tau=2,0.05,0.5329581993569131,0.0081668322012526,11196.0,E4_operating.csv cell 181,,,,
c,AP,ppv tau=2,0.1,0.3935934031081509,0.0067393731570192,15765.0,E4_operating.csv cell 187,,,,
c,AP,ppv tau=2,0.15,0.2897990378995639,0.0052686948285195,22243.0,E4_operating.csv cell 193,,,,
