u,view_over,K,beat_cv,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,panel,s_det,f_rej
base,True,3,0.2,0.3,3.0,A3,AP,T1,0.0071557021363331,0.0646087964080265,0.0095788062771158,0.0050598708041695,0.77592834666574,7.790939300669093,2.392158209959932,2.26283170085456,a,,
base,True,3,0.25,0.3,3.0,A3,AP,T1,0.0080441288779024,0.0718707663777543,0.0111567185733368,0.005688086518807,1.0492118262001535,10.32975920911256,2.751650720687368,2.5437769046106333,a,,
base,True,3,0.3,0.3,3.0,A3,AP,T1,0.0090047642970976,0.0792677661121791,0.0124296595817988,0.0063673617343525,1.3408119430840917,13.056654969704958,3.147423324811171,2.8475564971793825,a,,
base,True,3,0.05,0.3,3.0,A4,AP,T1,0.0053346594832376,0.0517551731647031,0.00574210914948,0.0037721927569294,0.0926100458796969,1.6739518543115572,1.689499139454003,1.6869674508447932,a,,
base,True,3,0.1,0.3,3.0,A4,AP,T1,0.0056601716179154,0.0540978007861692,0.0068095400367135,0.0040023657455863,0.2236307552972973,2.8631856094706807,1.8038106750980367,1.7899034260053082,a,,
base,True,3,0.15,0.3,3.0,A4,AP,T1,0.0062121376602304,0.0581792672862926,0.0069022568043774,0.0043926666286013,0.4137415331361144,4.622960454140025,2.0075380187067022,1.964450414483735,a,,
base,True,3,0.2,0.3,3.0,A4,AP,T1,0.0068746214950471,0.0629705685812923,0.0082277017649398,0.0048611157828783,0.6096336716781192,6.44469921762658,2.2577971616687518,2.1739461975900936,a,,
base,True,3,0.25,0.3,3.0,A4,AP,T1,0.0077855311136907,0.0701113665992649,0.0101878663859513,0.0055052293718452,0.8407416999977332,8.581430687611254,2.60158326098647,2.4620011113370035,a,,
base,True,3,0.3,0.3,3.0,A4,AP,T1,0.0087233740252487,0.0774071144564197,0.0113514489186552,0.0061683877700959,1.084447120254432,10.890520497366856,2.964063915945838,2.758573080133719,a,,
base,True,3,0.05,0.3,3.0,A5,AP,T1,0.0058222731291255,0.0524138268356056,0.0070623285614233,0.0041169893965233,-1.166125119763755,-10.59531181667546,2.179380722841566,1.8411644247632488,a,,
