u,axis,cutoff_mm,estimator,sensitivity,sensitivity_mcse,panel,metric,specificity,specificity_mcse,nri_vs_A1,nri_vs_A1_mcse
low,AP,13.0,A4,0.9109660878685468,0.0017750036684024,d,sensitivity,,,,
low,AP,7.0,A5,0.9172188279838224,0.0009661209402089,d,sensitivity,,,,
low,AP,10.0,A5,0.8492859861002624,0.0016011328326197,d,sensitivity,,,,
low,AP,13.0,A5,0.7963329837237307,0.0025100254464465,d,sensitivity,,,,
low,AP,7.0,A6,0.8985580291836208,0.0010585494066833,d,sensitivity,,,,
low,AP,10.0,A6,0.8346852530593443,0.0016624199218269,d,sensitivity,,,,
low,AP,13.0,A6,0.7915938313327895,0.0025314940272896,d,sensitivity,,,,
low,AP,7.0,A7,0.9477055085006209,0.0007805377354305,d,sensitivity,,,,
low,AP,10.0,A7,0.9051252778946104,0.001311454330089,d,sensitivity,,,,
low,AP,13.0,A7,0.8759274365847026,0.0020546713449256,d,sensitivity,,,,
low,AP,7.0,A1,,,e,specificity,0.7706535141800247,0.0030782315240246,,
low,AP,10.0,A1,,,e,specificity,0.865710690819037,0.0015237509089451,,
low,AP,13.0,A1,,,e,specificity,0.9231048924680502,0.0009777012734382,,
low,AP,7.0,A2,,,e,specificity,0.8242105827480835,0.002787026584741,,
low,AP,10.0,A2,,,e,specificity,0.9079507099918116,0.0012919574936617,,
low,AP,13.0,A2,,,e,specificity,0.9487994397834548,0.0008088274211089,,
low,AP,7.0,A3,,,e,specificity,0.625314962740578,0.0035441185489076,,
low,AP,10.0,A3,,,e,specificity,0.7734816560484112,0.0018706113521521,,
low,AP,13.0,A3,,,e,specificity,0.8626122789770662,0.0012633191455092,,
low,AP,7.0,A4,,,e,specificity,0.6325524044389642,0.0035299748832121,,
low,AP,10.0,A4,,,e,specificity,0.7855644984122546,0.00183419766269,,
low,AP,13.0,A4,,,e,specificity,0.8767658267907402,0.0012062537740239,,
low,AP,7.0,A5,,,e,specificity,0.8202970031630301,0.00281118144228,,
low,AP,10.0,A5,,,e,specificity,0.9053344251163348,0.0013083002461109,,
low,AP,13.0,A5,,,e,specificity,0.9481126358457788,0.0008139394008987,,
low,AP,7.0,A6,,,e,specificity,0.7547311424435748,0.0031502353043904,,
low,AP,10.0,A6,,,e,specificity,0.8496335204010306,0.0015973430725094,,
