panel,column,rhythm,data_mode,axis,W,beat_cv,N,estimator,estimand,quantity,value,mcse,n
a,N=3,AF_rr0.2,prospective,AP,0.25,0.3,3,rule,,p_window_met_first_N,0.39801,0.0015479,100000
a,N=5,sinus,prospective,AP,0.1,0.05,5,rule,,p_window_met_first_N,0.22083,0.00131173,100000
a,N=5,sinus,prospective,AP,0.1,0.1,5,rule,,p_window_met_first_N,0.09794,0.000939935,100000
a,N=5,sinus,prospective,AP,0.1,0.15,5,rule,,p_window_met_first_N,0.0406,0.000624112,100000
a,N=5,sinus,prospective,AP,0.1,0.2,5,rule,,p_window_met_first_N,0.01833,0.000424193,100000
a,N=5,sinus,prospective,AP,0.1,0.25,5,rule,,p_window_met_first_N,0.00977,0.000311039,100000
a,N=5,sinus,prospective,AP,0.1,0.3,5,rule,,p_window_met_first_N,0.00566,0.000237233,100000
a,N=5,AF_rr0.2,prospective,AP,0.1,0.05,5,rule,,p_window_met_first_N,0.13464,0.00107941,100000
a,N=5,AF_rr0.2,prospective,AP,0.1,0.1,5,rule,,p_window_met_first_N,0.06848,0.000798689,100000
a,N=5,AF_rr0.2,prospective,AP,0.1,0.15,5,rule,,p_window_met_first_N,0.03142,0.000551659,100000
a,N=5,AF_rr0.2,prospective,AP,0.1,0.2,5,rule,,p_window_met_first_N,0.01647,0.000402477,100000
a,N=5,AF_rr0.2,prospective,AP,0.1,0.25,5,rule,,p_window_met_first_N,0.00838,0.000288267,100000
a,N=5,AF_rr0.2,prospective,AP,0.1,0.3,5,rule,,p_window_met_first_N,0.00511,0.000225475,100000
a,N=5,sinus,prospective,AP,0.15,0.05,5,rule,,p_window_met_first_N,0.49566,0.00158108,100000
a,N=5,sinus,prospective,AP,0.15,0.1,5,rule,,p_window_met_first_N,0.29809,0.00144649,100000
a,N=5,sinus,prospective,AP,0.15,0.15,5,rule,,p_window_met_first_N,0.15158,0.00113403,100000
a,N=5,sinus,prospective,AP,0.15,0.2,5,rule,,p_window_met_first_N,0.07795,0.000847784,100000
a,N=5,sinus,prospective,AP,0.15,0.25,5,rule,,p_window_met_first_N,0.04291,0.000640849,100000
a,N=5,sinus,prospective,AP,0.15,0.3,5,rule,,p_window_met_first_N,0.02516,0.000495247,100000
a,N=5,AF_rr0.2,prospective,AP,0.15,0.05,5,rule,,p_window_met_first_N,0.37678,0.00153237,100000
a,N=5,AF_rr0.2,prospective,AP,0.15,0.1,5,rule,,p_window_met_first_N,0.23261,0.00133605,100000
