p_adjudication_value,p_beat_cv,p_view_over,ref,metric,value,mcse
adjudicator,0.15,True,adj_tol2,ref_mae_vs_T1,1.3874665358263027,0.002905525531284691
adjudicator,0.15,True,adj_tol2,ref_ba_bias_vs_T1,0.402874561008263,0.008944937104500622
adjudicator,0.15,True,adj_tol3,ref_mae_vs_T1,1.362418121336803,0.0028205443752947847
adjudicator,0.15,True,adj_tol3,ref_ba_bias_vs_T1,0.4005234741785252,0.008805386510822372
adjudicator,0.2,False,single,ref_mae_vs_T1,1.6107772820949362,0.0033082445716027713
adjudicator,0.2,False,single,ref_ba_bias_vs_T1,0.48112072893369967,0.008952631672034608
adjudicator,0.2,False,mean2,ref_mae_vs_T1,1.4398367826695657,0.002926659204818486
adjudicator,0.2,False,mean2,ref_ba_bias_vs_T1,0.4788272812521734,0.008824130359707192
adjudicator,0.2,False,adj_tol1,ref_mae_vs_T1,1.549415714713533,0.0031889599488276804
adjudicator,0.2,False,adj_tol1,ref_ba_bias_vs_T1,0.48026737856815593,0.009011226257055046
adjudicator,0.2,False,adj_tol2,ref_mae_vs_T1,1.5011973050242504,0.0031284945435291877
adjudicator,0.2,False,adj_tol2,ref_ba_bias_vs_T1,0.48474904821958686,0.008986498003681178
adjudicator,0.2,False,adj_tol3,ref_mae_vs_T1,1.471900553325251,0.003061338685454782
adjudicator,0.2,False,adj_tol3,ref_ba_bias_vs_T1,0.48354217378388265,0.008897370535310171
adjudicator,0.2,True,single,ref_mae_vs_T1,1.6948759111627334,0.0035748685955957196
adjudicator,0.2,True,single,ref_ba_bias_vs_T1,0.6225426912353282,0.009065520049370555
adjudicator,0.2,True,mean2,ref_mae_vs_T1,1.517508184777478,0.0033662912822953537
adjudicator,0.2,True,mean2,ref_ba_bias_vs_T1,0.6220406576610052,0.008959169165675613
adjudicator,0.2,True,adj_tol1,ref_mae_vs_T1,1.627472202850909,0.003542185741155818
adjudicator,0.2,True,adj_tol1,ref_ba_bias_vs_T1,0.6212837273552995,0.009205154148525838
adjudicator,0.2,True,adj_tol2,ref_mae_vs_T1,1.5799680147500403,0.0035205205754337463
adjudicator,0.2,True,adj_tol2,ref_ba_bias_vs_T1,0.6201701420744421,0.009225143028439138
adjudicator,0.2,True,adj_tol3,ref_mae_vs_T1,1.5495220045405504,0.0034387179915336638
adjudicator,0.2,True,adj_tol3,ref_ba_bias_vs_T1,0.6184991910138008,0.009086786379267091
adjudicator,0.25,False,single,ref_mae_vs_T1,1.8265568558804768,0.0035681276622440386
adjudicator,0.25,False,single,ref_ba_bias_vs_T1,0.7196907023370273,0.008907454245371425
adjudicator,0.25,False,mean2,ref_mae_vs_T1,1.6379987976283523,0.0034640928244937426
adjudicator,0.25,False,mean2,ref_ba_bias_vs_T1,0.7206255742199815,0.00884049205434927
adjudicator,0.25,False,adj_tol1,ref_mae_vs_T1,1.7627287175880555,0.003587711705274502
adjudicator,0.25,False,adj_tol1,ref_ba_bias_vs_T1,0.7245626450579025,0.008987496485475008
adjudicator,0.25,False,adj_tol2,ref_mae_vs_T1,1.7155888326455833,0.003516050399230033
adjudicator,0.25,False,adj_tol2,ref_ba_bias_vs_T1,0.7244068182183018,0.008957989641546087
adjudicator,0.25,False,adj_tol3,ref_mae_vs_T1,1.6848550695100952,0.0035082656979589216
adjudicator,0.25,False,adj_tol3,ref_ba_bias_vs_T1,0.7233184704001744,0.008897401118261289
adjudicator,0.25,True,single,ref_mae_vs_T1,1.8995439342096865,0.0038643782252196653
adjudicator,0.25,True,single,ref_ba_bias_vs_T1,0.830361640539563,0.008945679548268153
adjudicator,0.25,True,mean2,ref_mae_vs_T1,1.7070046759067845,0.003711617882770463
adjudicator,0.25,True,mean2,ref_ba_bias_vs_T1,0.829179017437552,0.008746903245310156
adjudicator,0.25,True,adj_tol1,ref_mae_vs_T1,1.8390722524356247,0.003801167456408013
adjudicator,0.25,True,adj_tol1,ref_ba_bias_vs_T1,0.8338277121921526,0.008976415353618927
adjudicator,0.25,True,adj_tol2,ref_mae_vs_T1,1.7901623954643602,0.0037599944895770126
adjudicator,0.25,True,adj_tol2,ref_ba_bias_vs_T1,0.8319460087844084,0.008909256928233049
adjudicator,0.25,True,adj_tol3,ref_mae_vs_T1,1.7579577261539994,0.0037679105395977764
adjudicator,0.25,True,adj_tol3,ref_ba_bias_vs_T1,0.8290128242820453,0.00881973273267152
adjudicator,0.3,False,single,ref_mae_vs_T1,2.0737334601220216,0.004078080504084906
adjudicator,0.3,False,single,ref_ba_bias_vs_T1,1.0017167809190537,0.008889846164154218
adjudicator,0.3,False,mean2,ref_mae_vs_T1,1.8748057145999806,0.004010482251768193
adjudicator,0.3,False,mean2,ref_ba_bias_vs_T1,0.9994908907913159,0.00876644109805708
adjudicator,0.3,False,adj_tol1,ref_mae_vs_T1,2.0214146445491115,0.004050273485720978
adjudicator,0.3,False,adj_tol1,ref_ba_bias_vs_T1,1.004017969902717,0.0089988500113722
