u_level,variant,p_K,p_beat_cv,p_view_over,estimator,metric,value,mcse,n
base,median/triggered,1,0.15,False,A2,bias_mm,-0.294837254995537,0.006175267750772529,100000
base,median/triggered,1,0.15,False,A2,rmse_mm,1.9749136822592097,0.0058116299587711385,100000
base,median/triggered,1,0.15,False,A3,bias_mm,-0.294837254995537,0.006175267750772529,100000
base,median/triggered,1,0.15,False,A3,rmse_mm,1.9749136822592097,0.0058116299587711385,100000
base,median/triggered,1,0.15,False,A5,bias_mm,-0.294837254995537,0.006175267750772529,100000
base,median/triggered,1,0.15,False,A5,rmse_mm,1.9749136822592097,0.0058116299587711385,100000
base,median/triggered,1,0.15,False,A6,bias_mm,-0.344847872192782,0.0075098576107649655,100000
base,median/triggered,1,0.15,False,A6,rmse_mm,2.3997207734215675,0.007327075180984496,100000
base,median/triggered,1,0.15,False,A7,bias_mm,0.23528670533033996,0.006302675987951275,100000
base,median/triggered,1,0.15,False,A7,rmse_mm,2.006911201545887,0.006065443675694315,100000
base,median/triggered,1,0.15,False,A4,bias_mm,-0.294837254995537,0.006175267750772529,100000
base,median/triggered,1,0.15,False,A4,rmse_mm,1.9749136822592097,0.0058116299587711385,100000
base,median/triggered,1,0.15,True,A1,bias_mm,-0.20823596310364545,0.00643976722711516,100000
base,median/triggered,1,0.15,True,A1,rmse_mm,2.047041997534592,0.0066376064593580515,100000
base,median/triggered,1,0.15,True,A2,bias_mm,-0.20823596310364545,0.00643976722711516,100000
base,median/triggered,1,0.15,True,A2,rmse_mm,2.047041997534592,0.0066376064593580515,100000
base,median/triggered,1,0.15,True,A3,bias_mm,-0.20823596310364545,0.00643976722711516,100000
base,median/triggered,1,0.15,True,A3,rmse_mm,2.047041997534592,0.0066376064593580515,100000
base,median/triggered,1,0.15,True,A5,bias_mm,-0.20823596310364545,0.00643976722711516,100000
base,median/triggered,1,0.15,True,A5,rmse_mm,2.047041997534592,0.0066376064593580515,100000
base,median/triggered,1,0.15,True,A6,bias_mm,-0.24614828240862957,0.0077596014915837265,100000
base,median/triggered,1,0.15,True,A6,rmse_mm,2.466104275235792,0.008092301174558551,100000
base,median/triggered,1,0.15,True,A7,bias_mm,0.22868259972667962,0.006320807101934189,100000
base,median/triggered,1,0.15,True,A7,rmse_mm,2.0118439354983533,0.006160286902568595,100000
base,median/triggered,1,0.15,True,A4,bias_mm,-0.20823596310364545,0.00643976722711516,100000
base,median/triggered,1,0.15,True,A4,rmse_mm,2.047041997534592,0.0066376064593580515,100000
base,median/triggered,1,0.2,False,A1,bias_mm,-0.23759035577662344,0.007049092224587552,100000
base,median/triggered,1,0.2,False,A1,rmse_mm,2.2417336163181703,0.006888070775157627,100000
base,median/triggered,1,0.2,False,A2,bias_mm,-0.23759035577662344,0.007049092224587552,100000
base,median/triggered,1,0.2,False,A2,rmse_mm,2.2417336163181703,0.006888070775157627,100000
base,median/triggered,1,0.2,False,A3,bias_mm,-0.23759035577662344,0.007049092224587552,100000
base,median/triggered,1,0.2,False,A3,rmse_mm,2.2417336163181703,0.006888070775157627,100000
base,median/triggered,1,0.2,False,A5,bias_mm,-0.23759035577662344,0.007049092224587552,100000
base,median/triggered,1,0.2,False,A5,rmse_mm,2.2417336163181703,0.006888070775157627,100000
base,median/triggered,1,0.2,False,A6,bias_mm,-0.25819018616439227,0.008847958931883579,100000
base,median/triggered,1,0.2,False,A6,rmse_mm,2.8098436988352544,0.00951222484355277,100000
base,median/triggered,1,0.2,False,A7,bias_mm,0.2924736392129806,0.007253426247053029,100000
base,median/triggered,1,0.2,False,A7,rmse_mm,2.312294844864284,0.007635982767342229,100000
base,median/triggered,1,0.2,False,A4,bias_mm,-0.23759035577662344,0.007049092224587552,100000
base,median/triggered,1,0.2,False,A4,rmse_mm,2.2417336163181703,0.006888070775157627,100000
base,median/triggered,1,0.2,True,A1,bias_mm,-0.1376609777889676,0.007258255435048562,100000
base,median/triggered,1,0.2,True,A1,rmse_mm,2.2993749277956073,0.008191575365218803,100000
base,median/triggered,1,0.2,True,A2,bias_mm,-0.1376609777889676,0.007258255435048562,100000
base,median/triggered,1,0.2,True,A2,rmse_mm,2.2993749277956073,0.008191575365218803,100000
base,median/triggered,1,0.2,True,A3,bias_mm,-0.1376609777889676,0.007258255435048562,100000
base,median/triggered,1,0.2,True,A3,rmse_mm,2.2993749277956073,0.008191575365218803,100000
base,median/triggered,1,0.2,True,A5,bias_mm,-0.1376609777889676,0.007258255435048562,100000
base,median/triggered,1,0.2,True,A5,rmse_mm,2.2993749277956073,0.008191575365218803,100000
base,median/triggered,1,0.2,True,A6,bias_mm,-0.15703592824701115,0.009069480063066796,100000
base,median/triggered,1,0.2,True,A6,rmse_mm,2.8723030635238334,0.010317212174416177,100000
base,median/triggered,1,0.2,True,A7,bias_mm,0.30129467381797365,0.007200294437243099,100000
base,median/triggered,1,0.2,True,A7,rmse_mm,2.296769608500271,0.007799272083368452,100000
base,median/triggered,1,0.2,True,A4,bias_mm,-0.1376609777889676,0.007258255435048562,100000
base,median/triggered,1,0.2,True,A4,rmse_mm,2.2993749277956073,0.008191575365218803,100000
base,median/triggered,1,0.25,False,A1,bias_mm,-0.18471905883314962,0.007918084440646582,100000
base,median/triggered,1,0.25,False,A1,rmse_mm,2.5107099704179188,0.008188751790892217,100000
base,median/triggered,1,0.25,False,A2,bias_mm,-0.18471905883314962,0.007918084440646582,100000
base,median/triggered,1,0.25,False,A2,rmse_mm,2.5107099704179188,0.008188751790892217,100000
base,median/triggered,1,0.25,False,A3,bias_mm,-0.18471905883314962,0.007918084440646582,100000
base,median/triggered,1,0.25,False,A3,rmse_mm,2.5107099704179188,0.008188751790892217,100000
base,median/triggered,1,0.25,False,A5,bias_mm,-0.18471905883314962,0.007918084440646582,100000
base,median/triggered,1,0.25,False,A5,rmse_mm,2.5107099704179188,0.008188751790892217,100000
base,median/triggered,1,0.25,False,A6,bias_mm,-0.1670751341128437,0.010311621888485686,100000
base,median/triggered,1,0.25,False,A6,rmse_mm,3.265082291153251,0.013111143378922932,100000
base,median/triggered,1,0.25,False,A7,bias_mm,0.3509520558933836,0.008169069493019359,100000
base,median/triggered,1,0.25,False,A7,rmse_mm,2.60700407556593,0.0092938342496109,100000
base,median/triggered,1,0.25,False,A4,bias_mm,-0.18471905883314962,0.007918084440646582,100000
base,median/triggered,1,0.25,False,A4,rmse_mm,2.5107099704179188,0.008188751790892217,100000
base,median/triggered,1,0.25,True,A1,bias_mm,-0.08876695818019947,0.008134064805075189,100000
base,median/triggered,1,0.25,True,A1,rmse_mm,2.5737355021778368,0.009215067108749805,100000
base,median/triggered,1,0.25,True,A2,bias_mm,-0.08876695818019947,0.008134064805075189,100000
base,median/triggered,1,0.25,True,A2,rmse_mm,2.5737355021778368,0.009215067108749805,100000
base,median/triggered,1,0.25,True,A3,bias_mm,-0.08876695818019947,0.008134064805075189,100000
base,median/triggered,1,0.25,True,A3,rmse_mm,2.5737355021778368,0.009215067108749805,100000
base,median/triggered,1,0.25,True,A5,bias_mm,-0.08876695818019947,0.008134064805075189,100000
base,median/triggered,1,0.25,True,A5,rmse_mm,2.5737355021778368,0.009215067108749805,100000
