p_beat_noise_centering,p_beat_cv,p_window,p_N_beats,value,mcse
median,0.25,0.1,7,2.179726548303919,0.006900782437194692
median,0.25,0.1,10,1.9836290398360845,0.006738006589667169
median,0.25,0.1,13,1.7064082103077047,0.006094429067772592
median,0.25,0.15,1,3.499137440023033,0.013960323468981444
median,0.25,0.15,3,2.581700039765967,0.009350823471835499
median,0.25,0.15,5,2.3173992395585294,0.007813075548290072
median,0.25,0.15,7,2.1807538388998937,0.007458941385872811
median,0.25,0.15,10,2.0644871799416933,0.006895998802022264
median,0.25,0.15,13,1.9148309873334055,0.006564318148593105
median,0.25,0.2,1,3.470660686339803,0.013284988363843684
median,0.25,0.2,3,2.5738547348588883,0.00864106070234191
median,0.25,0.2,5,2.2958670607748224,0.00801449340826302
median,0.25,0.2,7,2.1475572400302285,0.006944797899933671
median,0.25,0.2,10,2.021637629307192,0.006625460969436364
median,0.25,0.2,13,1.9267047386430116,0.006196778212589433
median,0.25,0.25,1,3.486050708564233,0.01361246104616139
median,0.25,0.25,3,2.557716395295931,0.009028801256534488
median,0.25,0.25,5,2.261977722389846,0.007595454794029923
median,0.25,0.25,7,2.1118332531593973,0.007011132514022834
median,0.25,0.25,10,1.9684634319794945,0.006443081949360832
median,0.25,0.25,13,1.9094743228293665,0.006317887512559028
median,0.3,,1,4.057396301198271,0.017229096197713806
median,0.3,,3,2.667680630552847,0.009962766553865693
median,0.3,,5,2.2806951422774424,0.008177183151657967
median,0.3,,7,2.0942723749056427,0.007533070828912482
median,0.3,,10,1.943381856462678,0.0067260514945989055
median,0.3,,13,1.8739404340125427,0.007034439810734845
median,0.3,0.1,1,4.01717605660432,0.016799804880086915
median,0.3,0.1,3,2.8456950682324975,0.010049527428660218
median,0.3,0.1,5,2.5529429361657487,0.0089526881243991
median,0.3,0.1,7,2.386785615576872,0.008071990966929392
median,0.3,0.1,10,2.016543729274038,0.007588694655129103
median,0.3,0.1,13,1.729930109063681,0.006485758280031522
median,0.3,0.15,1,4.024849505566628,0.01811455398514242
median,0.3,0.15,3,2.8987624103745357,0.010772266626737605
median,0.3,0.15,5,2.5673244321479727,0.009041006431628421
median,0.3,0.15,7,2.3982955974039997,0.007971538890268984
median,0.3,0.15,10,2.2345588966855945,0.00757176412524436
median,0.3,0.15,13,1.9382801145828854,0.0074243604552736
median,0.3,0.2,1,4.034261278540987,0.018730332992982116
median,0.3,0.2,3,2.89212071584608,0.010407644607105661
median,0.3,0.2,5,2.5303448272870837,0.008785648121974165
median,0.3,0.2,7,2.3829829420162527,0.008838738985375355
median,0.3,0.2,10,2.216614168049893,0.007806308683741528
median,0.3,0.2,13,2.083158707566132,0.007138961219080006
median,0.3,0.25,1,4.035572260413736,0.016911039914007834
median,0.3,0.25,3,2.9004524559482214,0.010618910930140585
median,0.3,0.25,5,2.537317246136621,0.009174283742262451
median,0.3,0.25,7,2.357015047089927,0.008303600820524198
median,0.3,0.25,10,2.1718729909224352,0.007270842471752877
