u,view_over,K,beat_cv,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err
base,False,1,0.05,0.3,3,A1,AP,T1,0.005052272792867697,0.04971438709533143,0.004445769722430188,0.003572514214856777,-0.41748172183763577,-3.653556437056439,1.6513059982823475,1.5976689385962024
base,False,1,0.05,0.3,3,A1,AP,T2,0.004825937556300133,0.050899353177071775,0.004137896073840882,0.0034124702340364867,0.10156479088494061,1.1925747047098976,1.529463777539375,1.5260954523655492
base,False,1,0.05,0.3,3,A1,SL,T1,0.004059040354893364,0.06804224495308303,0.0032672685595277894,0.002870189311037381,-0.20651122492307003,-2.333526659576033,1.3000812553359538,1.2835812636001216
base,False,1,0.05,0.3,3,A1,SL,T2,0.003923173118814254,0.07050541800032609,0.003072968284726978,0.0027741161866979467,0.12539402352801585,2.57128852315728,1.2469310333245784,1.2406162710599424
base,False,1,0.05,0.3,3,A2,AP,T1,0.005052272792867697,0.04971438709533143,0.004445769722430188,0.003572514214856777,-0.41748172183763577,-3.653556437056439,1.6513059982823475,1.5976689385962024
base,False,1,0.05,0.3,3,A2,AP,T2,0.004825937556300133,0.050899353177071775,0.004137896073840882,0.0034124702340364867,0.10156479088494061,1.1925747047098976,1.529463777539375,1.5260954523655492
base,False,1,0.05,0.3,3,A2,SL,T1,0.004059040354893364,0.06804224495308303,0.0032672685595277894,0.002870189311037381,-0.20651122492307003,-2.333526659576033,1.3000812553359538,1.2835812636001216
base,False,1,0.05,0.3,3,A2,SL,T2,0.003923173118814254,0.07050541800032609,0.003072968284726978,0.0027741161866979467,0.12539402352801585,2.57128852315728,1.2469310333245784,1.2406162710599424
base,False,1,0.05,0.3,3,A3,AP,T1,0.005052272792867697,0.04971438709533143,0.004445769722430188,0.003572514214856777,-0.41748172183763577,-3.653556437056439,1.6513059982823475,1.5976689385962024
base,False,1,0.05,0.3,3,A3,AP,T2,0.004825937556300133,0.050899353177071775,0.004137896073840882,0.0034124702340364867,0.10156479088494061,1.1925747047098976,1.529463777539375,1.5260954523655492
base,False,1,0.05,0.3,3,A3,SL,T1,0.004059040354893364,0.06804224495308303,0.0032672685595277894,0.002870189311037381,-0.20651122492307003,-2.333526659576033,1.3000812553359538,1.2835812636001216
base,False,1,0.05,0.3,3,A3,SL,T2,0.003923173118814254,0.07050541800032609,0.003072968284726978,0.0027741161866979467,0.12539402352801585,2.57128852315728,1.2469310333245784,1.2406162710599424
base,False,1,0.05,0.3,3,A4,AP,T1,0.005052272792867697,0.04971438709533143,0.004445769722430188,0.003572514214856777,-0.41748172183763577,-3.653556437056439,1.6513059982823475,1.5976689385962024
base,False,1,0.05,0.3,3,A4,AP,T2,0.004825937556300133,0.050899353177071775,0.004137896073840882,0.0034124702340364867,0.10156479088494061,1.1925747047098976,1.529463777539375,1.5260954523655492
base,False,1,0.05,0.3,3,A4,SL,T1,0.004059040354893364,0.06804224495308303,0.0032672685595277894,0.002870189311037381,-0.20651122492307003,-2.333526659576033,1.3000812553359538,1.2835812636001216
base,False,1,0.05,0.3,3,A4,SL,T2,0.003923173118814254,0.07050541800032609,0.003072968284726978,0.0027741161866979467,0.12539402352801585,2.57128852315728,1.2469310333245784,1.2406162710599424
base,False,1,0.05,0.3,3,A5,AP,T1,0.005052272792867697,0.04971438709533143,0.004445769722430188,0.003572514214856777,-0.41748172183763577,-3.653556437056439,1.6513059982823475,1.5976689385962024
base,False,1,0.05,0.3,3,A5,AP,T2,0.004825937556300133,0.050899353177071775,0.004137896073840882,0.0034124702340364867,0.10156479088494061,1.1925747047098976,1.529463777539375,1.5260954523655492
base,False,1,0.05,0.3,3,A5,SL,T1,0.004059040354893364,0.06804224495308303,0.0032672685595277894,0.002870189311037381,-0.20651122492307003,-2.333526659576033,1.3000812553359538,1.2835812636001216
base,False,1,0.05,0.3,3,A5,SL,T2,0.003923173118814254,0.07050541800032609,0.003072968284726978,0.0027741161866979467,0.12539402352801585,2.57128852315728,1.2469310333245784,1.2406162710599424
base,False,1,0.05,0.3,3,A6,AP,T1,0.005717918638320288,0.05754629764877756,0.004855101084871994,0.004043199259476064,-0.449434759597952,-4.11550231515319,1.8631742441291874,1.8081646372620648
base,False,1,0.05,0.3,3,A6,AP,T2,0.00552809439881512,0.05933278558857504,0.004637903486003444,0.003908972581353311,0.06961175312462445,0.706033380845638,1.749513648008072,1.7481369420675001
base,False,1,0.05,0.3,3,A6,SL,T1,0.004712612512306185,0.08126469239989058,0.0037121649281988307,0.003332336926282562,-0.2771574898205388,-3.871678538566133,1.5158053089237458,1.4902589268695832
base,False,1,0.05,0.3,3,A6,SL,T2,0.00460404660476091,0.0845849487802746,0.0035673300872673067,0.0032555688530103003,0.05474775863054715,0.9509206382353056,1.4569490841175532,1.4559273724609505
base,False,1,0.05,0.3,3,A7,AP,T1,0.005070142883845634,0.050899353177071775,0.0043313116092838074,0.0035851503405484836,0.10709260917772834,1.1925747047098976,1.606884565503286,1.6033199575446733
base,False,1,0.05,0.3,3,A7,AP,T2,0.0052978333183596096,0.055399227959847926,0.005095031509281071,0.0037461525958179163,0.6261391219003047,6.442473794959376,1.788498230317362,1.675321994994431
base,False,1,0.05,0.3,3,A7,SL,T1,0.004125240684034096,0.07050541800032609,0.003232112029677479,0.0029170002467448384,0.13181779785558373,2.57128852315728,1.3111521591111401,1.304515645793875
