rhythm_state,p_beat_cv,p_N_beats,p_data_mode,axis,estimator,estimand,metric,W,v_win,se_win,v_none,se_none,diff,mcse_diff,lo95,hi95,ratio
AF_rr0.1,0.05,1,prospective,AP,A1,T2,sd_err_mm,0.15,1.88412,0.00421303,1.88363,0.00421195,0.000485707,0.00595736,-0.0111907,0.0121621,1.00026
AF_rr0.1,0.05,1,prospective,AP,A1,T2,sd_err_mm,0.2,1.8973,0.00424252,1.88363,0.00421195,0.0136715,0.00597825,0.00195415,0.0253889,1.00726
AF_rr0.1,0.05,1,prospective,AP,A1,T2,sd_err_mm,0.25,1.89737,0.00424267,1.88363,0.00421195,0.0137383,0.00597836,0.00202074,0.0254559,1.00729
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,bias_mm,0.1,0.0335142,0.00477084,0.0298788,0.00475732,0.00363548,0.00673743,-0.00956989,0.0168408,1.12167
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,bias_mm,0.15,0.0343301,0.00475221,0.0298788,0.00475732,0.00445133,0.00672425,-0.00872821,0.0176309,1.14898
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,bias_mm,0.2,0.021936,0.00478522,0.0298788,0.00475732,-0.0079428,0.00674763,-0.0211682,0.00528255,0.734166
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,bias_mm,0.25,0.0313592,0.00476694,0.0298788,0.00475732,0.00148042,0.00673468,-0.0117195,0.0146804,1.04955
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,relbias_pct,0.1,0.322308,0.0541941,0.30053,0.0538504,0.0217786,0.0763993,-0.127964,0.171521,1.07247
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,relbias_pct,0.15,0.387097,0.0542041,0.30053,0.0538504,0.0865674,0.0764064,-0.0631892,0.236324,1.28805
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,relbias_pct,0.2,0.228681,0.0542411,0.30053,0.0538504,-0.0718489,0.0764327,-0.221657,0.0779592,0.760926
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,relbias_pct,0.25,0.287766,0.0541777,0.30053,0.0538504,-0.0127635,0.0763877,-0.162483,0.136956,0.95753
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,rmse_mm,0.1,1.50904,0.00363565,1.50469,0.00362662,0.00434844,0.00513521,-0.00571657,0.0144134,1.00289
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,rmse_mm,0.15,1.50316,0.00360697,1.50469,0.00362662,-0.00152216,0.00511494,-0.0115474,0.00850312,0.998988
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,rmse_mm,0.2,1.51337,0.00365934,1.50469,0.00362662,0.00868477,0.00515201,-0.00141316,0.0187827,1.00577
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,rmse_mm,0.25,1.50776,0.00363474,1.50469,0.00362662,0.00307088,0.00513456,-0.00699286,0.0131346,1.00204
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,sd_err_mm,0.1,1.50867,0.00337351,1.5044,0.00336395,0.00427294,0.00476411,-0.00506471,0.0136106,1.00284
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,sd_err_mm,0.15,1.50278,0.00336034,1.5044,0.00336395,-0.00161756,0.00475479,-0.010937,0.00770183,0.998925
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,sd_err_mm,0.2,1.51322,0.00338368,1.5044,0.00336395,0.00882251,0.00477132,-0.000529268,0.0181743,1.00586
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,sd_err_mm,0.25,1.50744,0.00337075,1.5044,0.00336395,0.00304143,0.00476216,-0.0062924,0.0123753,1.00202
AF_rr0.1,0.05,1,prospective,AP,A6,T1,bias_mm,0.1,-0.34003,0.00635385,-0.349741,0.00631991,0.00971055,0.00896173,-0.00785445,0.0272755,0.972235
AF_rr0.1,0.05,1,prospective,AP,A6,T1,bias_mm,0.15,-0.346645,0.00632989,-0.349741,0.00631991,0.00309539,0.00894476,-0.0144363,0.0206271,0.991149
