metric,axis,max_mcse_all_cells,max_mcse_base_slice
bias_mm,AP,0.013620919497707341,0.012447738804311239
bias_mm,SL,0.009224906003408433,0.008584712998528594
relbias_pct,AP,0.12330811146538743,0.1114470000038356
relbias_pct,SL,0.14038256324212314,0.12691002398376944
rmse_mm,AP,0.024334811956591894,0.019187633690251244
rmse_mm,SL,0.01696112493814475,0.011870607017042638
sd_err_mm,AP,0.009631492700408821,0.008801924528700072
sd_err_mm,SL,0.006523026206031165,0.006070339127571387
