u,view_errors,r_mean,beat_cv,N_beats,cell,axis,metric,rule,tau,value,mcse,n,lo95,hi95
base,False,0.53,0.1,1,6,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.24259,0.0013555076241024983,100000,0.23993325385503356,0.24524674614496644
base,False,0.53,0.1,1,6,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.08865,0.0008988391263179414,100000,0.08688830767062539,0.09041169232937463
base,False,0.53,0.1,1,6,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.02502,0.0004939028204009368,100000,0.0240519682525157,0.025988031747484302
base,False,0.53,0.1,3,7,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.17346,0.001197378922480265,100000,0.1711131804175799,0.17580681958242012
base,False,0.53,0.1,3,7,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.05048,0.0006923277374192081,100000,0.049123062558456894,0.0518369374415431
base,False,0.53,0.1,3,7,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.01298,0.00035793183149868075,100000,0.01227846649580852,0.013681533504191481
base,False,0.53,0.1,3,7,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.08853,0.0008982897032694965,100000,0.0867693845200211,0.0902906154799789
base,False,0.53,0.1,3,7,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.01158,0.0003383179510460537,100000,0.010916908995395972,0.012243091004604028
base,False,0.53,0.1,3,7,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00135,0.0001161110459861593,100000,0.0011224265298647833,0.0015775734701352169
base,False,0.53,0.1,5,8,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.10143,0.0009546829583689027,100000,0.09955885577018346,0.10330114422981655
base,False,0.53,0.1,5,8,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.01992,0.0004418505810791698,100000,0.019053988767705747,0.020786011232294253
base,False,0.53,0.1,5,8,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00365,0.00019070074724552075,100000,0.00327623340062568,0.00402376659937432
base,False,0.53,0.1,5,8,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.04096,0.0006267557610425292,100000,0.039731581271564044,0.04218841872843596
base,False,0.53,0.1,5,8,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.00279,0.0001667997571940679,100000,0.002463078480690886,0.003116921519309114
base,False,0.53,0.1,5,8,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00024,4.898391572751203e-05,100000,0.00014399328859504261,0.0003360067114049574
base,False,0.53,0.1,7,9,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.06567,0.000783309971211908,100000,0.06413474065558362,0.06720525934441639
base,False,0.53,0.1,7,9,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.00961,0.0003085068540567616,100000,0.009005337672295494,0.010214662327704507
base,False,0.53,0.1,7,9,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00162,0.00012717608265707826,100000,0.0013707394563311022,0.0018692605436688976
base,False,0.53,0.1,7,9,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.02178,0.00046158023787852965,100000,0.020875319350646647,0.022684680649353355
base,False,0.53,0.1,7,9,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.0008,8.940693485407046e-05,100000,0.0006247656263356767,0.0009752343736643234
base,False,0.53,0.1,7,9,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,4e-05,1.9999599995999918e-05,100000,8.015039934400212e-07,7.919849600655999e-05
base,False,0.53,0.1,10,10,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.03691,0.0005962185161499095,100000,0.035741433172212754,0.03807856682778724
