cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,anchor_alpha,metric,value,mcse,n,test,lo95_mc,hi95_mc,nominal_outside_mc95
3,0.05,0.75,1.0,25,0.0,power_reject_either_unadjusted,0.1385,0.007723915781519112,2000,either_unadjusted,0.1233614031291907,0.15363859687080933,True
3,0.05,0.75,1.0,50,0.0,power_reject_welch_mean,0.051,0.004919298730510275,2000,welch_mean,0.04135835158295416,0.060641648417045835,False
3,0.05,0.75,1.0,50,0.0,power_reject_f_variance,0.093,0.0064942667022536114,2000,f_variance,0.0802714710571842,0.1057285289428158,True
3,0.05,0.75,1.0,50,0.0,power_reject_either_unadjusted,0.14,0.00775886589650833,2000,either_unadjusted,0.12479290216201597,0.15520709783798406,True
3,0.05,0.75,1.0,100,0.0,power_reject_welch_mean,0.051,0.004919298730510275,2000,welch_mean,0.04135835158295416,0.060641648417045835,False
3,0.05,0.75,1.0,100,0.0,power_reject_f_variance,0.0895,0.006383171233799075,2000,f_variance,0.07698921417591822,0.10201078582408177,True
3,0.05,0.75,1.0,100,0.0,power_reject_either_unadjusted,0.135,0.007641171376170017,2000,either_unadjusted,0.12002357918487631,0.1499764208151237,True
4,0.05,0.75,2.0,10,0.0,power_reject_welch_mean,0.041,0.004433903472111228,2000,welch_mean,0.032309708815186994,0.04969029118481301,True
4,0.05,0.75,2.0,10,0.0,power_reject_f_variance,0.0575,0.005205465877325487,2000,f_variance,0.04729747427721363,0.06770252572278637,False
4,0.05,0.75,2.0,10,0.0,power_reject_either_unadjusted,0.0985,0.006663248081829162,2000,either_unadjusted,0.0854402736365458,0.11155972636345421,True
4,0.05,0.75,2.0,25,0.0,power_reject_welch_mean,0.0525,0.004987171041783107,2000,welch_mean,0.042725324296262614,0.06227467570373738,False
4,0.05,0.75,2.0,25,0.0,power_reject_f_variance,0.062,0.005392402062161166,2000,f_variance,0.05143108608463835,0.07256891391536165,True
4,0.05,0.75,2.0,25,0.0,power_reject_either_unadjusted,0.1145,0.007120033356663436,2000,either_unadjusted,0.1005449909421405,0.1284550090578595,True
4,0.05,0.75,2.0,50,0.0,power_reject_welch_mean,0.051,0.004919298730510275,2000,welch_mean,0.04135835158295416,0.060641648417045835,False
4,0.05,0.75,2.0,50,0.0,power_reject_f_variance,0.0615,0.005372045699731156,2000,f_variance,0.050970983822172126,0.07202901617782788,True
4,0.05,0.75,2.0,50,0.0,power_reject_either_unadjusted,0.1115,0.007038030619427568,2000,either_unadjusted,0.09770571335502427,0.12529428664497574,True
4,0.05,0.75,2.0,100,0.0,power_reject_welch_mean,0.047,0.00473238840333293,2000,welch_mean,0.03772468909544997,0.05627531090455003,False
4,0.05,0.75,2.0,100,0.0,power_reject_f_variance,0.062,0.005392402062161166,2000,f_variance,0.05143108608463835,0.07256891391536165,True
4,0.05,0.75,2.0,100,0.0,power_reject_either_unadjusted,0.108,0.0069403169956422026,2000,either_unadjusted,0.09439722853995312,0.12160277146004687,True
5,0.05,0.75,3.0,10,0.0,power_reject_welch_mean,0.049,0.0048269555622566076,2000,welch_mean,0.03953934086837729,0.05846065913162271,False
5,0.05,0.75,3.0,10,0.0,power_reject_f_variance,0.051,0.004919298730510275,2000,f_variance,0.04135835158295416,0.060641648417045835,False
5,0.05,0.75,3.0,10,0.0,power_reject_either_unadjusted,0.1,0.00670820393249937,2000,either_unadjusted,0.08685216178764281,0.1131478382123572,True
5,0.05,0.75,3.0,25,0.0,power_reject_welch_mean,0.054,0.005053909377897471,2000,welch_mean,0.04409451956005856,0.06390548043994143,False
5,0.05,0.75,3.0,25,0.0,power_reject_f_variance,0.047,0.00473238840333293,2000,f_variance,0.03772468909544997,0.05627531090455003,False
5,0.05,0.75,3.0,25,0.0,power_reject_either_unadjusted,0.1005,0.006723085229267884,2000,either_unadjusted,0.0873229949817032,0.1136770050182968,True
5,0.05,0.75,3.0,50,0.0,power_reject_welch_mean,0.0505,0.00489641450451246,2000,welch_mean,0.04090320384207774,0.060096796157922266,False
5,0.05,0.75,3.0,50,0.0,power_reject_f_variance,0.053,0.005009540897128199,2000,f_variance,0.043181480185101026,0.06281851981489897,False
5,0.05,0.75,3.0,50,0.0,power_reject_either_unadjusted,0.102,0.0067674219611311365,2000,either_unadjusted,0.08873609658337357,0.11526390341662641,True
5,0.05,0.75,3.0,100,0.0,power_reject_welch_mean,0.063,0.005432816948876522,2000,welch_mean,0.05235187436161218,0.07364812563838782,True
5,0.05,0.75,3.0,100,0.0,power_reject_f_variance,0.051,0.004919298730510275,2000,f_variance,0.04135835158295416,0.060641648417045835,False
5,0.05,0.75,3.0,100,0.0,power_reject_either_unadjusted,0.1115,0.007038030619427568,2000,either_unadjusted,0.09770571335502427,0.12529428664497574,True
6,0.05,2.0,1.0,10,0.0,power_reject_welch_mean,0.0485,0.004803527349771208,2000,welch_mean,0.03908525932143302,0.05791474067856698,False
