u,view_over,K,axis,beat_cv,bias,bias_adj,bias_adj_mcse,bias_mcse
base,False,4,AP,0.25,1.0201834695363476,0.5979713246553431,0.009478132800149407,0.007365582051329604
base,False,4,SL,0.25,0.8370243333688973,0.4317263272230886,0.006911481519762933,0.005179186666548338
base,False,4,AP,0.3,1.3670045294596025,0.8519660292753002,0.010464664018747042,0.008332149598539052
base,False,4,SL,0.3,1.0673818636054593,0.5908186758458893,0.007458128248017107,0.005728283574312535
base,True,1,AP,0.05,-0.3238433110896223,-0.4341088625514702,0.007355793202369553,0.005312488289433497
base,True,1,SL,0.05,-0.1514052291706222,-0.2816147564336067,0.0058751858289541395,0.00419312746930744
base,True,1,AP,0.1,-0.2615321401253943,-0.43086371028792436,0.007973905623446069,0.005730045225597655
base,True,1,SL,0.1,-0.10967811658306113,-0.2789289889921241,0.006216071632054643,0.004423317707268617
base,True,1,AP,0.15,-0.1978563580017708,-0.43633945813878544,0.008996255837542128,0.006414478861613278
base,True,1,SL,0.15,-0.053045070211367784,-0.28232781690096165,0.006763124866942076,0.0047879963835571705
base,True,1,AP,0.2,-0.1433631528342943,-0.4344185073856589,0.01028682029916536,0.007306827170260071
base,True,1,SL,0.2,-0.014785168699441404,-0.28304106031515414,0.007429194110134553,0.00524877722420166
base,True,1,AP,0.25,-0.08225134521686457,-0.44079535421857485,0.011573336117690828,0.008162023631383408
base,True,1,SL,0.25,0.038871362645851476,-0.2854443375833101,0.00820673693371532,0.005773668820669245
base,True,1,AP,0.3,0.008849038718048636,-0.44693345947211954,0.012998732696372464,0.009128432546501008
base,True,1,SL,0.3,0.09630816515647807,-0.2914081616551026,0.009020896224739224,0.006334259363993743
base,True,2,AP,0.05,-0.038181448409731436,-0.17322189915061986,0.007442436359446537,0.005481077533573626
base,True,2,SL,0.05,0.1067008147317723,-0.059789948049293426,0.005850411318115643,0.004188106433047267
base,True,2,AP,0.1,0.07000168483667482,-0.11237615365968792,0.007876409287806498,0.005831435429270741
