rhythm_state,p_beat_cv,W,p_N_beats,p_data_mode,axis,value,mcse,n
AF_rr0.1,0.05,0.2,7,prospective,AP,4e-05,1.99996e-05,100000
AF_rr0.1,0.05,0.2,7,prospective,SL,0.0009,9.48256e-05,100000
AF_rr0.1,0.05,0.2,7,retrospective,AP,0.92559,0.000829898,100000
AF_rr0.1,0.05,0.2,7,retrospective,SL,0.95288,0.000670072,100000
AF_rr0.1,0.05,0.2,10,prospective,AP,0.00037,6.08164e-05,100000
AF_rr0.1,0.05,0.2,10,prospective,SL,0.00667,0.000257401,100000
AF_rr0.1,0.05,0.2,10,retrospective,AP,0.99587,0.000202804,100000
AF_rr0.1,0.05,0.2,10,retrospective,SL,0.99777,0.000149165,100000
AF_rr0.1,0.05,0.2,13,prospective,AP,0.00201,0.000141632,100000
AF_rr0.1,0.05,0.2,13,prospective,SL,0.03141,0.000551574,100000
AF_rr0.1,0.05,0.2,13,retrospective,AP,0.99983,4.12276e-05,100000
AF_rr0.1,0.05,0.2,13,retrospective,SL,0.9999,3.16212e-05,100000
AF_rr0.1,0.05,0.25,1,prospective,AP,0,0,100000
AF_rr0.1,0.05,0.25,1,prospective,SL,0,0,100000
AF_rr0.1,0.05,0.25,1,retrospective,AP,0,0,100000
AF_rr0.1,0.05,0.25,1,retrospective,SL,0,0,100000
AF_rr0.1,0.05,0.25,3,prospective,AP,0,0,100000
AF_rr0.1,0.05,0.25,3,prospective,SL,0,0,100000
AF_rr0.1,0.05,0.25,3,retrospective,AP,0.24669,0.00136321,100000
AF_rr0.1,0.05,0.25,3,retrospective,SL,0.29632,0.001444,100000
AF_rr0.1,0.05,0.25,5,prospective,AP,0,0,100000
AF_rr0.1,0.05,0.25,5,prospective,SL,1e-05,9.99995e-06,100000
AF_rr0.1,0.05,0.25,5,retrospective,AP,0.66206,0.00149578,100000
AF_rr0.1,0.05,0.25,5,retrospective,SL,0.72324,0.00141479,100000
AF_rr0.1,0.05,0.25,7,prospective,AP,1e-05,9.99995e-06,100000
AF_rr0.1,0.05,0.25,7,prospective,SL,0.00033,5.74361e-05,100000
AF_rr0.1,0.05,0.25,7,retrospective,AP,0.90859,0.000911341,100000
AF_rr0.1,0.05,0.25,7,retrospective,SL,0.9344,0.000782922,100000
AF_rr0.1,0.05,0.25,10,prospective,AP,0.0002,4.47169e-05,100000
AF_rr0.1,0.05,0.25,10,prospective,SL,0.00334,0.000182451,100000
AF_rr0.1,0.05,0.25,10,retrospective,AP,0.99411,0.000241977,100000
AF_rr0.1,0.05,0.25,10,retrospective,SL,0.99656,0.000185153,100000
AF_rr0.1,0.05,0.25,13,prospective,AP,0.00078,8.82832e-05,100000
AF_rr0.1,0.05,0.25,13,prospective,SL,0.01345,0.000364268,100000
AF_rr0.1,0.05,0.25,13,retrospective,AP,0.99988,3.46389e-05,100000
AF_rr0.1,0.05,0.25,13,retrospective,SL,0.99993,2.64566e-05,100000
AF_rr0.1,0.1,0,1,prospective,AP,0,0,100000
AF_rr0.1,0.1,0,1,prospective,SL,0,0,100000
AF_rr0.1,0.1,0,1,retrospective,AP,0,0,100000
AF_rr0.1,0.1,0,1,retrospective,SL,0,0,100000
AF_rr0.1,0.1,0,3,prospective,AP,0,0,100000
AF_rr0.1,0.1,0,3,prospective,SL,0,0,100000
AF_rr0.1,0.1,0,3,retrospective,AP,0.22384,0.00131809,100000
AF_rr0.1,0.1,0,3,retrospective,SL,0.22384,0.00131809,100000
AF_rr0.1,0.1,0,5,prospective,AP,0,0,100000
AF_rr0.1,0.1,0,5,prospective,SL,0,0,100000
AF_rr0.1,0.1,0,5,retrospective,AP,0.62173,0.00153356,100000
AF_rr0.1,0.1,0,5,retrospective,SL,0.62173,0.00153356,100000
AF_rr0.1,0.1,0,7,prospective,AP,0,0,100000
AF_rr0.1,0.1,0,7,prospective,SL,0,0,100000
AF_rr0.1,0.1,0,7,retrospective,AP,0.88971,0.000990586,100000
AF_rr0.1,0.1,0,7,retrospective,SL,0.88971,0.000990586,100000
AF_rr0.1,0.1,0,10,prospective,AP,0,0,100000
AF_rr0.1,0.1,0,10,prospective,SL,0,0,100000
AF_rr0.1,0.1,0,10,retrospective,AP,0.99145,0.000291151,100000
AF_rr0.1,0.1,0,10,retrospective,SL,0.99145,0.000291151,100000
AF_rr0.1,0.1,0,13,prospective,AP,0,0,100000
AF_rr0.1,0.1,0,13,prospective,SL,0,0,100000
AF_rr0.1,0.1,0,13,retrospective,AP,0.99972,5.29076e-05,100000
AF_rr0.1,0.1,0,13,retrospective,SL,0.99972,5.29076e-05,100000
AF_rr0.1,0.1,0.1,1,prospective,AP,0,0,100000
AF_rr0.1,0.1,0.1,1,prospective,SL,0,0,100000
AF_rr0.1,0.1,0.1,1,retrospective,AP,0,0,100000
AF_rr0.1,0.1,0.1,1,retrospective,SL,0,0,100000
AF_rr0.1,0.1,0.1,3,prospective,AP,0,0,100000
AF_rr0.1,0.1,0.1,3,prospective,SL,1e-05,9.99995e-06,100000
AF_rr0.1,0.1,0.1,3,retrospective,AP,0.47452,0.00157908,100000
AF_rr0.1,0.1,0.1,3,retrospective,SL,0.56104,0.00156931,100000
AF_rr0.1,0.1,0.1,5,prospective,AP,5e-05,2.23601e-05,100000
AF_rr0.1,0.1,0.1,5,prospective,SL,0.00103,0.000101437,100000
