cell,p_beat_cv,p_view_over,ref,metric,value,mcse,n
4,0.15,False,adj_tol3,ref_ba_bias_vs_T1,0.25683534150493564,0.008398329961310045,2000
4,0.15,False,adj_tol3,ref_mae_vs_T1,1.2819353798484636,0.0024507521192626072,2000
4,0.15,False,mean2,ref_ba_bias_vs_T1,0.2550650694193268,0.008346441692266927,2000
4,0.15,False,mean2,ref_mae_vs_T1,1.2647183302708267,0.0023625649288976864,2000
4,0.15,False,single,ref_ba_bias_vs_T1,0.25434298778978803,0.008401888853796318,2000
4,0.15,False,single,ref_mae_vs_T1,1.4207058128015786,0.002909486874945978,2000
5,0.15,True,adj_tol1,p_adjudicated,0.524195,0.002012762801362166,2000
5,0.15,True,adj_tol1,ref_ba_bias_vs_T1,0.4016362891389348,0.008923563485000723,2000
5,0.15,True,adj_tol1,ref_mae_vs_T1,1.4346749114098905,0.003086230839424439,2000
5,0.15,True,adj_tol2,p_adjudicated,0.21256,0.0018656502956108244,2000
5,0.15,True,adj_tol2,ref_ba_bias_vs_T1,0.4015833292816177,0.008853605143760058,2000
5,0.15,True,adj_tol2,ref_mae_vs_T1,1.386454785322039,0.002922545922587544,2000
5,0.15,True,adj_tol3,p_adjudicated,0.07216,0.0009502137407323356,2000
5,0.15,True,adj_tol3,ref_ba_bias_vs_T1,0.4000671665006369,0.00874140622358156,2000
5,0.15,True,adj_tol3,ref_mae_vs_T1,1.361092672843969,0.0028231271846259546,2000
5,0.15,True,mean2,ref_ba_bias_vs_T1,0.40155872668008985,0.008693858595380024,2000
5,0.15,True,mean2,ref_mae_vs_T1,1.3419185684081054,0.0027862433454764485,2000
5,0.15,True,single,ref_ba_bias_vs_T1,0.401419570554506,0.008789804598999102,2000
5,0.15,True,single,ref_mae_vs_T1,1.503953678174727,0.0031402446692616608,2000
6,0.2,False,adj_tol1,p_adjudicated,0.5407125,0.0018195075503382415,2000
6,0.2,False,adj_tol1,ref_ba_bias_vs_T1,0.47258605388042657,0.00889705920196453,2000
6,0.2,False,adj_tol1,ref_mae_vs_T1,1.538366720150328,0.0031380803185007294,2000
6,0.2,False,adj_tol2,p_adjudicated,0.23216750000000003,0.0017385751475408886,2000
6,0.2,False,adj_tol2,ref_ba_bias_vs_T1,0.47251480426421966,0.008868860783650838,2000
6,0.2,False,adj_tol2,ref_mae_vs_T1,1.4892244293949986,0.0030163153568665757,2000
6,0.2,False,adj_tol3,p_adjudicated,0.08669000000000002,0.0009463785004600784,2000
6,0.2,False,adj_tol3,ref_ba_bias_vs_T1,0.4722133204746741,0.008797508653857734,2000
6,0.2,False,adj_tol3,ref_mae_vs_T1,1.461171560517068,0.002931812314196812,2000
6,0.2,False,mean2,ref_ba_bias_vs_T1,0.46946003823984983,0.008726868090293374,2000
6,0.2,False,mean2,ref_mae_vs_T1,1.4328304018639129,0.0028651956318185862,2000
6,0.2,False,single,ref_ba_bias_vs_T1,0.4665364149659838,0.008859512388563822,2000
6,0.2,False,single,ref_mae_vs_T1,1.6018189566991898,0.0031589196020823836,2000
7,0.2,True,adj_tol1,p_adjudicated,0.5542699999999999,0.001811128417057039,2000
7,0.2,True,adj_tol1,ref_ba_bias_vs_T1,0.6205599046100397,0.009148981538891168,2000
7,0.2,True,adj_tol1,ref_mae_vs_T1,1.6298292206250227,0.003493727708660476,2000
7,0.2,True,adj_tol2,p_adjudicated,0.2512825,0.0017616357532528025,2000
7,0.2,True,adj_tol2,ref_ba_bias_vs_T1,0.6212312627833574,0.00914743049788402,2000
7,0.2,True,adj_tol2,ref_mae_vs_T1,1.580648294235676,0.0034581797137745963,2000
7,0.2,True,adj_tol3,p_adjudicated,0.1014225,0.0010027386196036444,2000
7,0.2,True,adj_tol3,ref_ba_bias_vs_T1,0.6186416813478859,0.00901644400175173,2000
7,0.2,True,adj_tol3,ref_mae_vs_T1,1.5503210046050142,0.003405437446523967,2000
7,0.2,True,mean2,ref_ba_bias_vs_T1,0.6227567444665753,0.008950634763568754,2000
7,0.2,True,mean2,ref_mae_vs_T1,1.5156333580659962,0.0033705754026800362,2000
7,0.2,True,single,ref_ba_bias_vs_T1,0.6244695141794046,0.009039126521519938,2000
7,0.2,True,single,ref_mae_vs_T1,1.694321891782405,0.0035621189340145206,2000
8,0.25,False,adj_tol1,p_adjudicated,0.5689825000000001,0.0016913549117774768,2000
8,0.25,False,adj_tol1,ref_ba_bias_vs_T1,0.7405395391241135,0.009239678984714677,2000
8,0.25,False,adj_tol1,ref_mae_vs_T1,1.7710503455179467,0.003697906224206137,2000
8,0.25,False,adj_tol2,p_adjudicated,0.271095,0.001665315172816367,2000
8,0.25,False,adj_tol2,ref_ba_bias_vs_T1,0.7435043907695997,0.009256736976626531,2000
8,0.25,False,adj_tol2,ref_mae_vs_T1,1.723773203512891,0.003637773920286661,2000
8,0.25,False,adj_tol3,p_adjudicated,0.1186875,0.00097906803082293,2000
8,0.25,False,adj_tol3,ref_ba_bias_vs_T1,0.7417522566877955,0.00914080521075673,2000
8,0.25,False,adj_tol3,ref_mae_vs_T1,1.6921776084456654,0.003562844009398565,2000
8,0.25,False,mean2,ref_ba_bias_vs_T1,0.7373910315174189,0.009035744336073894,2000
8,0.25,False,mean2,ref_mae_vs_T1,1.6442475468723887,0.003501160167634015,2000
8,0.25,False,single,ref_ba_bias_vs_T1,0.7374728324154175,0.009197355101931022,2000
8,0.25,False,single,ref_mae_vs_T1,1.8313019582979804,0.0036148211867202905,2000
9,0.25,True,adj_tol1,p_adjudicated,0.5745475,0.0016075629073618123,2000
9,0.25,True,adj_tol1,ref_ba_bias_vs_T1,0.8336399694651461,0.008889403282866252,2000
9,0.25,True,adj_tol1,ref_mae_vs_T1,1.836833122586816,0.003862428465919186,2000
9,0.25,True,adj_tol2,p_adjudicated,0.2797725,0.0015623462595700083,2000
9,0.25,True,adj_tol2,ref_ba_bias_vs_T1,0.8328375125129801,0.008920475374623617,2000
9,0.25,True,adj_tol2,ref_mae_vs_T1,1.7883416787203434,0.0038035366981010394,2000
9,0.25,True,adj_tol3,p_adjudicated,0.127755,0.0009404239395576052,2000
9,0.25,True,adj_tol3,ref_ba_bias_vs_T1,0.8299373211759787,0.008798675887892559,2000
9,0.25,True,adj_tol3,ref_mae_vs_T1,1.7557365421741515,0.0037591186958117447,2000
9,0.25,True,mean2,ref_ba_bias_vs_T1,0.833048924784863,0.00872058296173556,2000
9,0.25,True,mean2,ref_mae_vs_T1,1.706037992706853,0.003753814547627927,2000
9,0.25,True,single,ref_ba_bias_vs_T1,0.8329894945508469,0.00885679320027221,2000
9,0.25,True,single,ref_mae_vs_T1,1.9002715291737653,0.0038156812423911957,2000
10,0.3,False,adj_tol1,p_adjudicated,0.58485,0.0015320777986742693,2000
10,0.3,False,adj_tol1,ref_ba_bias_vs_T1,1.0066125860257211,0.008784600030405286,2000
10,0.3,False,adj_tol1,ref_mae_vs_T1,2.0156121143483774,0.004001833159243873,2000
10,0.3,False,adj_tol2,p_adjudicated,0.296185,0.0015166156233451136,2000
10,0.3,False,adj_tol2,ref_ba_bias_vs_T1,1.0075975638778518,0.008751545678635906,2000
10,0.3,False,adj_tol2,ref_mae_vs_T1,1.968013552609541,0.003992821259784746,2000
10,0.3,False,adj_tol3,p_adjudicated,0.14263,0.0009309134492126335,2000
10,0.3,False,adj_tol3,ref_ba_bias_vs_T1,1.0049254730261143,0.008706800445461006,2000
10,0.3,False,adj_tol3,ref_mae_vs_T1,1.9359244353029195,0.0039982298016932715,2000
10,0.3,False,mean2,ref_ba_bias_vs_T1,0.9971585544522615,0.008625536833096475,2000
10,0.3,False,mean2,ref_mae_vs_T1,1.869108005682467,0.003986489562208473,2000
10,0.3,False,single,ref_ba_bias_vs_T1,1.0021312348186318,0.00877180472724802,2000
10,0.3,False,single,ref_mae_vs_T1,2.0712434215856037,0.004026919119022348,2000
11,0.3,True,adj_tol1,p_adjudicated,0.5956224999999999,0.0014815861586987857,2000
11,0.3,True,adj_tol1,ref_ba_bias_vs_T1,1.0735033257200095,0.009182980376956142,2000
11,0.3,True,adj_tol1,ref_mae_vs_T1,2.081299284934327,0.004401352498443266,2000
11,0.3,True,adj_tol2,p_adjudicated,0.31039,0.0014907750182631646,2000
11,0.3,True,adj_tol2,ref_ba_bias_vs_T1,1.071351936701115,0.009191061435246995,2000
11,0.3,True,adj_tol2,ref_mae_vs_T1,2.0339209937838594,0.004368816430716981,2000
11,0.3,True,adj_tol3,p_adjudicated,0.15510500000000002,0.0009458220113417583,2000
11,0.3,True,adj_tol3,ref_ba_bias_vs_T1,1.0708731465566934,0.009136764665214037,2000
11,0.3,True,adj_tol3,ref_mae_vs_T1,2.0005965094192004,0.0043482447805663,2000
11,0.3,True,mean2,ref_ba_bias_vs_T1,1.0770169228420623,0.008947155929938744,2000
11,0.3,True,mean2,ref_mae_vs_T1,1.9334331579586692,0.004269145094839078,2000
11,0.3,True,single,ref_ba_bias_vs_T1,1.0804981586842914,0.009121678907786819,2000
11,0.3,True,single,ref_mae_vs_T1,2.14533769305797,0.004323614854756691,2000
