name,table,selector,value,mcse,lo95,hi95
A1 bias_mm vs Tv AF_rr0.2 N5 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15; estimator=A1; subset=all; estimand=Tv; metric=bias_mm,0.183832,0.00445206,0.175105,0.192558
A1 relbias_pct vs Tv AF_rr0.2 N5 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15; estimator=A1; subset=all; estimand=Tv; metric=relbias_pct,2.17013,0.0466972,2.0786,2.26166
A6 rmse_mm vs Tv AF_rr0.2 N5 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15; estimator=A6; subset=all; estimand=Tv; metric=rmse_mm,2.18932,0.00706433,2.17547,2.20316
window effect (W0.15 - none) A1 rmse_mm vs Tv AF_rr0.2 N5,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15; estimator=A1; estimand=Tv; metric=rmse_mm,0.196374,0.00502202,0.186531,0.206217
window effect (W0.15 - none) A1 bias_mm vs Tv AF_rr0.2 N5,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15; estimator=A1; estimand=Tv; metric=bias_mm,0.0413252,0.00588098,0.0297985,0.0528519
window effect (W0.15 - none) A1 relbias_pct vs Tv AF_rr0.2 N5,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15; estimator=A1; estimand=Tv; metric=relbias_pct,0.79151,0.0623387,0.669326,0.913694
retro p_limited sinus N3 W0.0,results/2026-09-18_full/analysis/E2_limited.csv,p_beat_cv=0.15; p_data_mode=retrospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.0,0.2244,0.00131926,0.221814,0.226986
retro p_limited sinus N3 W0.15,results/2026-09-18_full/analysis/E2_limited.csv,p_beat_cv=0.15; p_data_mode=retrospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15,0.40168,0.00155027,0.398641,0.404719
retro p_limited sinus N5 W0.0,results/2026-09-18_full/analysis/E2_limited.csv,p_beat_cv=0.15; p_data_mode=retrospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.0,0.62278,0.00153273,0.619776,0.625784
retro p_limited sinus N5 W0.15,results/2026-09-18_full/analysis/E2_limited.csv,p_beat_cv=0.15; p_data_mode=retrospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.15,0.84709,0.00113811,0.844859,0.849321
retro p_limited AF_rr0.2 N3 W0.0,results/2026-09-18_full/analysis/E2_limited.csv,p_beat_cv=0.15; p_data_mode=retrospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.0,0.22442,0.0013193,0.221834,0.227006
retro p_limited AF_rr0.2 N3 W0.15,results/2026-09-18_full/analysis/E2_limited.csv,p_beat_cv=0.15; p_data_mode=retrospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15,0.41822,0.00155985,0.415163,0.421277
retro p_limited AF_rr0.2 N5 W0.0,results/2026-09-18_full/analysis/E2_limited.csv,p_beat_cv=0.15; p_data_mode=retrospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.0,0.62459,0.00153127,0.621589,0.627591
retro p_limited AF_rr0.2 N5 W0.15,results/2026-09-18_full/analysis/E2_limited.csv,p_beat_cv=0.15; p_data_mode=retrospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15,0.86067,0.00109507,0.858524,0.862816
window effect (W0.15 - none) A1 relbias_pct vs Tv SL sinus N3,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=SL; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A1; estimand=Tv; metric=relbias_pct,2.3411,0.0961785,2.15259,2.52961
retro A1 relbias_pct vs Tv sinus N3 W0.15 subset=accepted,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=retrospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A1; subset=accepted; estimand=Tv; metric=relbias_pct,2.31417,0.0621307,2.19239,2.43594
retro A1 relbias_pct vs Tv sinus N3 W0.15 subset=limited,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=retrospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A1; subset=limited; estimand=Tv; metric=relbias_pct,0.0246605,0.0863478,-0.144581,0.193902
