name,table,selector,value,mcse,lo95,hi95
window effect (W0.15 - none) A1 bias_mm vs T1 sinus N5,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.15; estimator=A1; estimand=T1; metric=bias_mm,0.0419424,0.00818994,0.0258901,0.0579946
window effect (W0.15 - none) A1 relbias_pct vs T1 sinus N5,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.15; estimator=A1; estimand=T1; metric=relbias_pct,0.684339,0.0767037,0.534,0.834678
A1 rmse_mm vs Tv sinus N5 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.0; estimator=A1; subset=all; estimand=Tv; metric=rmse_mm,1.17499,0.00308642,1.16894,1.18104
A1 bias_mm vs Tv sinus N5 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.0; estimator=A1; subset=all; estimand=Tv; metric=bias_mm,0.122103,0.00369555,0.11486,0.129346
A1 relbias_pct vs Tv sinus N5 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.0; estimator=A1; subset=all; estimand=Tv; metric=relbias_pct,1.18247,0.0402781,1.10352,1.26141
A6 rmse_mm vs Tv sinus N5 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.0; estimator=A6; subset=all; estimand=Tv; metric=rmse_mm,2.1387,0.00644996,2.12606,2.15134
A1 rmse_mm vs Tv sinus N5 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.15; estimator=A1; subset=all; estimand=Tv; metric=rmse_mm,1.34525,0.00348043,1.33843,1.35207
A1 bias_mm vs Tv sinus N5 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.15; estimator=A1; subset=all; estimand=Tv; metric=bias_mm,0.165715,0.00422167,0.15744,0.173989
A1 relbias_pct vs Tv sinus N5 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.15; estimator=A1; subset=all; estimand=Tv; metric=relbias_pct,1.9486,0.0451765,1.86005,2.03714
A6 rmse_mm vs Tv sinus N5 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.15; estimator=A6; subset=all; estimand=Tv; metric=rmse_mm,2.06617,0.0063481,2.05373,2.07861
window effect (W0.15 - none) A1 rmse_mm vs Tv sinus N5,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.15; estimator=A1; estimand=Tv; metric=rmse_mm,0.170255,0.00465181,0.161138,0.179373
window effect (W0.15 - none) A1 bias_mm vs Tv sinus N5,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.15; estimator=A1; estimand=Tv; metric=bias_mm,0.0436118,0.00561067,0.0326149,0.0546087
window effect (W0.15 - none) A1 relbias_pct vs Tv sinus N5,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.15; estimator=A1; estimand=Tv; metric=relbias_pct,0.766126,0.0605247,0.647498,0.884755
p_met_first_N AF_rr0.2 N3 W0.1,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.1,0.19402,0.0012505,0.191569,0.196471
p_met_first_N AF_rr0.2 N3 W0.15,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15,0.37916,0.00153427,0.376153,0.382167
p_met_first_N AF_rr0.2 N3 W0.2,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.2,0.56433,0.001568,0.561257,0.567403
p_met_first_N AF_rr0.2 N3 W0.25,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.25,0.72297,0.00141522,0.720196,0.725744
p_met_first_N AF_rr0.2 N5 W0.1,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.1,0.03142,0.000551659,0.0303387,0.0325013
p_met_first_N AF_rr0.2 N5 W0.15,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15,0.12612,0.00104983,0.124062,0.128178
p_met_first_N AF_rr0.2 N5 W0.2,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.2,0.28902,0.00143348,0.28621,0.29183
p_met_first_N AF_rr0.2 N5 W0.25,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.25,0.47245,0.00157874,0.469356,0.475544
p_met_first_N SL AF_rr0.2 N3 W0.15,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=SL; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15,0.29164,0.00143731,0.288823,0.294457
beats_acquired AF_rr0.2 N3 W0.0,results/2026-09-18_full/analysis/E2_beats_acquired.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.0,3,0,3,3
beats_acquired AF_rr0.2 N3 W0.15,results/2026-09-18_full/analysis/E2_beats_acquired.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15,3.99483,0.00319746,3.98856,4.0011
p_met_first_N SL AF_rr0.2 N5 W0.15,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=SL; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15,0.08188,0.000867039,0.0801806,0.0835794
beats_acquired AF_rr0.2 N5 W0.0,results/2026-09-18_full/analysis/E2_beats_acquired.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.0,5,0,5,5
beats_acquired AF_rr0.2 N5 W0.15,results/2026-09-18_full/analysis/E2_beats_acquired.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=5; W=0.15,7.32189,0.00539491,7.31132,7.33246
A1 rmse_mm vs T1 AF_rr0.2 N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.0; estimator=A1; subset=all; estimand=T1; metric=rmse_mm,1.9825,0.00636201,1.97003,1.99496
A1 bias_mm vs T1 AF_rr0.2 N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.0; estimator=A1; subset=all; estimand=T1; metric=bias_mm,-0.236201,0.00622458,-0.248401,-0.224001
A1 relbias_pct vs T1 AF_rr0.2 N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.0; estimator=A1; subset=all; estimand=T1; metric=relbias_pct,-2.2244,0.0582333,-2.33854,-2.11027
