variant,K,beat_cv,N_beats,n,c_K,mc_A3_minus_A1,mc_mcse,mc_lo95,mc_hi95,sd_err_A1,sd_err_A1_mcse,pred_brief,pred_brief_mcse,ratio_mc_to_brief,z_brief,pred_exact,ratio_mc_to_exact,z_exact
V1_literal,2,0.05,3,100000,0.5641895835477566,0.41093894473613546,0.0019188504759085382,0.40717806688197183,0.4146998225902991,1.5733346057903708,0.003518100720447682,0.8876589960221432,0.0019848757803484405,0.4629468597487006,-172.6779770865389,,,
V1_literal,2,0.15,3,100000,0.5641895835477566,0.7460232981559823,0.003675434633861118,0.7388195785892614,0.7532270177227033,1.9705682608359467,0.0044063466173208795,1.1117740864334598,0.002486014862993333,0.67102058526045,-82.4275616052381,,,
V1_literal,2,0.3,3,100000,0.5641895835477566,1.3317843175015252,0.006909937009974986,1.3182410897197065,1.3453275452833438,2.902707954619005,0.006490684758862398,1.6376775920772568,0.0036619767310423477,0.8132152042284881,-39.11521897687329,,,
V1_literal,3,0.05,3,100000,0.8462843753216347,0.6189120356848242,0.0021963699018242833,0.6146072297465651,0.6232168416230833,1.5713617245578613,0.003513689201842609,1.3298188754717761,0.0029735802712557457,0.46541077668585096,-192.30407306957886,,,
V1_literal,3,0.15,3,100000,0.8462843753216347,1.1326982782535668,0.004296812428296953,1.1242766805793523,1.1411198759277814,1.9616394902321461,0.004386381179467841,1.6601048505973617,0.0037121258563885167,0.6823052639391927,-92.88195518325104,,,
V1_literal,3,0.3,3,100000,0.8462843753216347,2.043097351969428,0.00819341200509504,2.027038559402274,2.0591561445365825,2.909981255324919,0.006506948434980203,2.4626716688603154,0.00550672879154731,0.8296263679010611,-42.50152040715071,,,
V1_literal,4,0.05,3,100000,1.029375373003964,0.7531200271442633,0.002318262286111897,0.7485763165209263,0.7576637377676003,1.5772216177461253,0.0035267923868685445,1.6235530910773335,0.0036303932287403487,0.46387151198395304,-202.0763511801687,,,
V1_literal,4,0.15,3,100000,1.029375373003964,1.3823243865199197,0.004645699814030442,1.3732189821296135,1.391429790910226,1.9751376692522093,0.004416564176244525,2.0331580750206735,0.004546302396317653,0.6798902670201205,-100.12661007457807,,,
V1_literal,4,0.3,3,100000,1.029375373003964,2.537863358662077,0.008923559761296305,2.520373502778088,2.5553532145460665,2.9284414587077348,0.006548226911015547,3.014465518877547,0.006740583519041224,0.8418949703584815,-42.61744842994488,,,
V2_no_shared_no_window,2,0.05,3,100000,0.5641895835477566,0.378045272303543,0.0017663933904405993,0.3745832048484415,0.38150733975864454,0.6699222119693455,0.0014979990956146831,0.377963133780377,0.0008451554859097641,1.000217318875374,0.04194655418331832,0.37542544489160606,1.0069782894249306,1.4831505972084016
V2_no_shared_no_window,2,0.15,3,100000,0.5641895835477566,0.6356699319744968,0.003136588984299747,0.6295223304824727,0.6418175334665209,1.1800474586454537,0.0026386795276377283,0.665770484259767,0.0014887155038139212,0.9547883948043486,-8.669628866873746,0.6371676523514527,0.9976494092701842,-0.47749972484527053
V2_no_shared_no_window,2,0.3,3,100000,0.5641895835477566,1.1589299256939147,0.005978807754403467,1.147211677732363,1.1706481736554664,2.2166650271232173,0.004956638467248224,1.2506193185175245,0.002796483792633566,0.9266848101048865,-13.891301635343364,1.1610592734208867,0.9981660301280759,-0.3561492214570103
V2_no_shared_no_window,3,0.05,3,100000,0.8462843753216347,0.5648458950938848,0.002008590356984617,0.5609091303034478,0.5687826598843219,0.6703016303380541,0.0014988475051210858,0.5672657965077135,0.0012684512245737887,0.995734096029187,-1.0186549802311808,0.5632874743467841,1.0027666525851795,0.7758778397404754
V2_no_shared_no_window,3,0.15,3,100000,0.8462843753216347,0.9609659670715515,0.0036741682797053286,0.9537647295133871,0.9681672046297158,1.1889458210782573,0.00265857697041337,1.006186271482481,0.002249912150650763,0.9550577207296782,-10.496042371546096,0.9550585943172852,1.0061853511286278,1.6078122460792685
V2_no_shared_no_window,3,0.3,3,100000,0.8462843753216347,1.7806229701201932,0.007105172907156179,1.7666970870083918,1.7945488532319946,2.209218067040123,0.004939986475016528,1.8696267318143198,0.004180633368106687,0.9523949031217821,-10.796373862674372,1.7397324958952878,1.023503885983266,5.755028731773919
V2_no_shared_no_window,4,0.05,3,100000,1.029375373003964,0.68647092858276,0.002123915326326949,0.6823081310041109,0.6906337261614092,0.6719606306928216,0.001502557161237369,0.6916997248634023,0.0015466953383084941,0.992440655832739,-1.9900953713068612,0.685156703739171,1.001918137612048,0.6187745939296919
V2_no_shared_no_window,4,0.15,3,100000,1.029375373003964,1.176175642025718,0.003917853101295294,1.1684967909898907,1.183854493061545,1.1739854165419799,0.0026251243216356955,1.2084716760541148,0.0027022383277655222,0.9732753074247884,-6.785769913588173,1.160234829318913,1.0137392985488658,4.0687622263158785
V2_no_shared_no_window,4,0.3,3,100000,1.029375373003964,2.1975806575193095,0.00770593288523318,2.1824773064778364,2.2126840085607826,2.2104576562826717,0.004942758294686178,2.2753906744454433,0.005087953663261022,0.9658036671240654,-8.426374459229041,2.115724011947573,1.0386896613686327,10.622548468933324
V3_homoscedastic,2,0.05,3,100000,0.5641895835477566,0.3692540638926311,0.0017008447327888452,0.36592046944677536,0.37258765833848684,0.6471798814284669,0.0014471454442896168,0.36513214778361325,0.0008164643855467921,1.0112888337387937,2.1847686193640894,0.36427384452204,1.0136716359010778,2.9280858355748576
V3_homoscedastic,2,0.15,3,100000,0.5641895835477566,0.5885429640818142,0.002745783335927489,0.5831613275915963,0.593924600572032,1.052433040920493,0.0023533235879123963,0.5937717590688321,0.0013277206550174072,0.9911939311576256,-1.714389580642266,0.5917830593737805,0.9945248596751063,-1.180025841649985
V3_homoscedastic,2,0.3,3,100000,0.5641895835477566,1.0584979711327283,0.004978617664479025,1.0487400597405854,1.0682558825248711,1.8967152250297477,0.004241205383205258,1.0701069729182229,0.002392843898891078,0.9891515501914389,-2.1016343132113886,1.0709699450570946,0.9883545061353692,-2.505107795955142
V3_homoscedastic,3,0.05,3,100000,0.8462843753216347,0.5481903755736239,0.001934814776692645,0.5443982082646384,0.5519825428826095,0.6442962167994196,0.0014406973419141627,0.5452578213561894,0.0012192396500293667,1.0053782891369454,1.2823098627061595,0.5464107667830599,1.0032569065229833,0.9197825094173065
V3_homoscedastic,3,0.15,3,100000,0.8462843753216347,0.8931655669318671,0.0031581209133617104,0.8869757636340311,0.8993553702297031,1.0485576976846986,0.002344658013673037,0.8873779961737867,0.001984247442444151,1.0065221030756175,1.5517354258062543,0.8876745890606705,1.006185800448571,1.7386851301242965
V3_homoscedastic,3,0.3,3,100000,0.8462843753216347,1.6378565630582458,0.005803062093781527,1.6264827702646694,1.6492303558518222,1.900142514601645,0.004248869073985146,1.6080609209917334,0.0035957515101009314,1.0185289261604198,4.3645219831262585,1.6064549175856415,1.019547168818032,5.411219967171089
V3_homoscedastic,4,0.05,3,100000,1.029375373003964,0.6673835744798297,0.0020380517037364224,0.6633890665103676,0.6713780824492918,0.6450887350528299,0.0014424694754628874,0.6640384572656621,0.0014848425543514422,1.0050375353679692,1.3265908646550504,0.6646250400841062,1.0041505122879126,1.3535154140918915
V3_homoscedastic,4,0.15,3,100000,1.029375373003964,1.0918067736242454,0.0033250066357816727,1.0852898803183522,1.0983236669301386,1.0511155423316412,0.0023503775567772713,1.081992453457897,0.0024194207742077494,1.0090705994621156,2.386700056597434,1.0797202310076832,1.0111941429543114,3.6350431564539583
V3_homoscedastic,4,0.3,3,100000,1.029375373003964,2.0241615772017703,0.006177679490276329,2.0120535477972905,2.03626960660625,1.9085137100931546,0.004267587729750614,1.9645770122103203,0.004392949711139178,1.0303294625871715,7.860395900937373,1.9540064524708918,1.035903220607161,11.35622604592917
