cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,design,n_double,overlap_frac,mcse_ba_bias_empirical_sd,mcse_ba_bias_mean,mcse_icc_ci_width_mean,mcse_icc_empirical_sd,mcse_icc_mean,mcse_loa_ci_width_each_mean,mcse_loa_hi_empirical_sd,mcse_loa_hi_mean,mcse_loa_lo_empirical_sd,mcse_loa_lo_mean,mcse_loa_width_mean,ba_bias_empirical_sd,ba_bias_mean,icc_ci_width_mean,icc_empirical_sd,icc_mean,loa_ci_width_each_mean,loa_hi_empirical_sd,loa_hi_mean,loa_lo_empirical_sd,loa_lo_mean,loa_width_mean,icc_emp95_range,loa_hi_emp95_range
0,0.05,0.0,1.0,gold,25,,0.002912759298078654,0.0041182337585861685,0.0006064528525503504,0.00024986029371072574,0.0003532674660650865,0.007375976166553913,0.00772250750367949,0.010918544187144531,0.007720215076411335,0.010915303016007924,0.02022071949843436,0.18417301262866265,0.005984901435689073,0.043021864146864694,0.015798601367212672,0.976087130070172,1.2948503734086343,0.4882921403558072,1.780855481404747,0.48814719077604385,-1.7688856785333686,3.5497411599381157,0.061929379860175236,1.9140700331606586
0,0.05,0.0,1.0,gold,50,,0.0020456413445613065,0.002892250399368388,0.0002705200357429155,0.00016613774336554673,0.00023489550398298799,0.0038726815034659592,0.005794113288337674,0.00819206480976465,0.005854260546034588,0.00827710460941346,0.015420127224978701,0.1293453700187726,0.00536509717498542,0.026310532072432048,0.010504846290300676,0.9776680583269924,0.9016074526712567,0.3663602758143528,1.8003618732766313,0.3701633712705068,-1.7896316789266604,3.589993552203291,0.04117824110904575,1.4361059032524044
0,0.05,0.0,1.0,gold,100,,0.001467188386348919,0.0020743989202449105,0.00012934296841109568,0.00011601709882377924,0.00016403193125655023,0.002005573704054321,0.004292630131149333,0.006069177886028669,0.00431290535362173,0.006097844211359343,0.011437863653466197,0.0927699399623957,0.002076589547122044,0.01707913001420378,0.007335730975404377,0.9787584652358922,0.6337224127931889,0.2714218864139715,1.8091481863229524,0.2727038834560617,-1.8049950072287084,3.6141431935516604,0.028755537250954928,1.0639542523669465
0,0.05,0.0,1.0,gold,200,,0.0010546748521869668,0.0014911625493645435,6.332256373105888e-05,8.126233390758258e-05,0.00011489356055629394,0.0010122530578783883,0.003068925270992139,0.004339030575549037,0.0031122266432372157,0.00440025265218627,0.008214898446282457,0.06668681651762011,0.002792586466004681,0.011688716135591266,0.005138196231617236,0.9790726296411315,0.44811412248068166,0.1940473464675537,1.821118537606791,0.19678528096924475,-1.8155333646747818,3.636651902281572,0.02014135927781089,0.7606516267438649
0,0.05,0.0,1.0,overlap,50,0.1,0.0020456413445613065,0.002892250399368388,0.0002705200357429155,0.00016613774336554673,0.00023489550398298799,0.0038726815034659592,0.005794113288337674,0.00819206480976465,0.005854260546034588,0.00827710460941346,0.015420127224978701,0.1293453700187726,0.00536509717498542,0.026310532072432048,0.010504846290300676,0.9776680583269924,0.9016074526712567,0.3663602758143528,1.8003618732766313,0.3701633712705068,-1.7896316789266604,3.589993552203291,0.04117824110904575,1.4361059032524044
0,0.05,0.0,1.0,overlap,100,0.2,0.001467188386348919,0.0020743989202449105,0.00012934296841109568,0.00011601709882377924,0.00016403193125655023,0.002005573704054321,0.004292630131149333,0.006069177886028669,0.00431290535362173,0.006097844211359343,0.011437863653466197,0.0927699399623957,0.002076589547122044,0.01707913001420378,0.007335730975404377,0.9787584652358922,0.6337224127931889,0.2714218864139715,1.8091481863229524,0.2727038834560617,-1.8049950072287084,3.6141431935516604,0.028755537250954928,1.0639542523669465
0,0.05,0.0,1.0,overlap,150,0.3,0.0012114182702976082,0.0017127757929735249,8.282628622252686e-05,9.174091623890805e-05,0.00012970880860217756,0.0013287485487228049,0.003511426561378392,0.004964665434388444,0.0035112998876575315,0.00496448633548593,0.009319530633743927,0.07659766206609817,0.0016144204546278582,0.01362226547662161,0.00580075426629957,0.9790004872269497,0.5171542369089489,0.22202658793672167,1.815213674382714,0.22201857839030734,-1.8119848334734583,3.6271985078561726,0.02273853906958714,0.8703282387976176
0,0.05,0.0,1.0,overlap,250,0.5,0.0009462102386764093,0.0013378087747269259,5.116200335295e-05,7.363932839798536e-05,0.00010411569825499782,0.0008165661574531557,0.002772532431475703,0.003919972605910093,0.002804929073571564,0.003965776921162649,0.007418100455512736,0.05982862722370218,0.0028672017686902553,0.010387763426690573,0.004656195576460628,0.9791315638777455,0.4006630925159089,0.17530650433503922,1.8227804090276567,0.17735493558639012,-1.8170460054902764,3.6398264145179335,0.018251951413644156,0.6871888749250417
1,0.05,0.0,2.0,gold,25,,0.0029337106559848094,0.004147856044737401,0.0006192664107060463,0.0002529453487617087,0.0003576293018908052,0.007264030058566759,0.007669170170758653,0.010843132667499764,0.0075886011786260995,0.01072921939512109,0.01991382712277647,0.18549776153832478,0.00514222355217546,0.04285334500627767,0.01599366859547269,0.9761261423994362,1.3039136585461013,0.48491963467156196,1.7924359826612408,0.4798252782599987,-1.78215153555689,3.574587518218131,0.06269402935011407,1.9008500536988266
1,0.05,0.0,2.0,gold,50,,0.0021038746868929682,0.0029745841907062942,0.0002792394108359011,0.0001709337422715076,0.00024167637482724167,0.003688351127555864,0.00562515759022862,0.007953185112387262,0.005581937096556458,0.007892077386726282,0.014686166054813292,0.13302744910430944,0.0005124951295553605,0.026225177343221894,0.010808096053388628,0.9777714543436936,0.9037748924666741,0.3556772509787445,1.7998243946628472,0.3529444304081773,-1.7987994044037363,3.598623799066584,0.04236695834636758,1.3942292150746078
1,0.05,0.0,2.0,gold,100,,0.0014636970523169972,0.0020694626628335122,0.0001281525689145558,0.00011464966909978982,0.00016209857711515518,0.0019087236629089334,0.004120104691803394,0.005825251074431836,0.004116798968211325,0.005820577244190389,0.010885524159178768,0.09254918381986922,0.00023441251109627503,0.017080252500177733,0.0072492687497095745,0.9787550884009802,0.6352849422916863,0.26051314776866547,1.8117615920765804,0.26030412772596206,-1.8112927670543877,3.623054359130968,0.028416611551511553,1.0211927823065292
