u,view_errors,r_mean,beat_cv,N_beats,cell,axis,metric,rule,tau,value,mcse,n,lo95,hi95
base,False,0.64,0.3,3,67,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.34994,0.001508250630366187,100000,0.34698388306150496,0.352896116938495
base,False,0.64,0.3,3,67,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.19965,0.0012640802090848507,100000,0.19717244829708122,0.20212755170291877
base,False,0.64,0.3,3,67,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.10905,0.0009856880718564064,100000,0.10711808686393202,0.11098191313606796
base,True,0.64,0.05,3,181,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.10041,0.0009504095532979454,100000,0.09854723149027994,0.10227276850972006
base,True,0.64,0.05,3,181,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.04015,0.0006207896382833721,100000,0.03893327465739157,0.04136672534260843
base,True,0.64,0.05,3,181,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.01815,0.0004221442585183411,100000,0.017322612450497356,0.018977387549502643
base,True,0.64,0.05,3,181,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.06434,0.0007758889379286187,100000,0.06281928561366167,0.06586071438633832
base,True,0.64,0.05,3,181,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.01664,0.00040451341634116413,100000,0.015847168266454305,0.017432831733545692
base,True,0.64,0.05,3,181,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00546,0.0002330276464284871,100000,0.005003274201995436,0.005916725798004563
base,True,0.64,0.1,3,187,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.13606,0.0010841940619649233,100000,0.13393501866953497,0.138184981330465
base,True,0.64,0.1,3,187,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.05853,0.0007423222959065691,100000,0.05707507502362578,0.05998492497637422
base,True,0.64,0.1,3,187,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.02711,0.0005135664309512451,100000,0.02610342828372707,0.028116571716272926
base,True,0.64,0.1,3,187,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.08472,0.0008805823164247622,100000,0.08299409036077086,0.08644590963922914
base,True,0.64,0.1,3,187,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.02514,0.0004950553544806883,100000,0.02416970932721061,0.026110290672789388
base,True,0.64,0.1,3,187,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00813,0.0002839701234285044,100000,0.007573428781004575,0.008686571218995425
base,True,0.64,0.15,3,193,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.18365,0.0012244291629163364,100000,0.18125016292013385,0.18604983707986616
base,True,0.64,0.15,3,193,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.09269,0.000917052691506873,100000,0.09089260973854342,0.09448739026145657
base,True,0.64,0.15,3,193,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.04641,0.0006652526730498721,100000,0.04510612870991848,0.04771387129008152
base,True,0.64,0.15,3,193,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.11772,0.0010191270853038888,100000,0.11572254760137946,0.11971745239862056
base,True,0.64,0.15,3,193,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.04169,0.0006320755010281603,100000,0.04045115477270284,0.042928845227297154
base,True,0.64,0.15,3,193,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.01562,0.0003921226287782943,100000,0.01485145376400918,0.01638854623599082
base,True,0.64,0.2,3,199,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.23329,0.0013374071029421072,100000,0.23066873022488918,0.23591126977511082
base,True,0.64,0.2,3,199,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.1332,0.0010745127267743273,100000,0.1310939937379805,0.13530600626201952
base,True,0.64,0.2,3,199,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.07448,0.0008302573673265417,100000,0.07285272544930521,0.0761072745506948
base,True,0.64,0.2,3,199,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.15374,0.0011406314584474688,100000,0.15150440340417545,0.15597559659582452
base,True,0.64,0.2,3,199,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.06466,0.0007776829971138626,100000,0.06313576932224473,0.06618423067775527
base,True,0.64,0.2,3,199,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.02716,0.0005140265985335778,100000,0.026152526371831734,0.028167473628168266
base,True,0.64,0.25,3,205,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.28122,0.0014217429852121655,100000,0.27843343493173167,0.2840065650682684
base,True,0.64,0.25,3,205,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.1768,0.0012064068965320118,100000,0.17443548591344554,0.17916451408655448
base,True,0.64,0.25,3,205,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.10972,0.0009883396258371915,100000,0.10778288991358563,0.11165711008641437
base,True,0.64,0.25,3,205,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.19169,0.0012447688295422568,100000,0.18925029790577505,0.19412970209422495
base,True,0.64,0.25,3,205,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.09184,0.0009132656481002666,100000,0.09005003220728681,0.0936299677927132
base,True,0.64,0.25,3,205,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.04472,0.0006536063157589591,100000,0.04343895515093981,0.046001044849060195
base,True,0.64,0.3,3,211,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.3236,0.0014794696347002192,100000,0.32070029277689444,0.32649970722310556
base,True,0.64,0.3,3,211,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.2209,0.001311881054059399,100000,0.21832876036176155,0.22347123963823848
base,True,0.64,0.3,3,211,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.14811,0.001123269459657833,100000,0.1459084322967712,0.1503115677032288
base,True,0.64,0.3,3,211,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.2304,0.0013315999399218972,100000,0.2277901120553509,0.23300988794464908
base,True,0.64,0.3,3,211,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.12287,0.0010381375780694965,100000,0.1208352877199366,0.12490471228006339
base,True,0.64,0.3,3,211,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.06577,0.0007838641916811865,100000,0.06423365440341577,0.06730634559658422
base,False,0.64,0.05,3,37,AP,p_any_adj,any adjudication (diff >= t_adj),4.0,0.00032,5.65594908039314e-05,100000,0.00020914543416596343,0.0004308545658340366
