rhythm_state,p_beat_cv,axis,estimand,W,p_N_beats,rmse_win,smallest_nowin_N_as_good
AF_rr0.1,0.05,SL,T1,0.2,3,1.34612,3
AF_rr0.1,0.05,SL,T1,0.2,5,1.27642,5
AF_rr0.1,0.05,SL,T1,0.2,7,1.24092,7
AF_rr0.1,0.05,SL,T1,0.2,10,1.20954,13
AF_rr0.1,0.05,SL,T1,0.2,13,1.20895,13
AF_rr0.1,0.05,SL,T1,0.25,1,1.62524,3
AF_rr0.1,0.05,SL,T1,0.25,3,1.33124,5
AF_rr0.1,0.05,SL,T1,0.25,5,1.26732,7
AF_rr0.1,0.05,SL,T1,0.25,7,1.23339,10
AF_rr0.1,0.05,SL,T1,0.25,10,1.21247,13
AF_rr0.1,0.05,SL,T1,0.25,13,1.19434,
AF_rr0.1,0.05,SL,T2,0.1,1,1.55103,3
AF_rr0.1,0.05,SL,T2,0.1,3,1.29344,3
AF_rr0.1,0.05,SL,T2,0.1,5,1.23013,5
AF_rr0.1,0.05,SL,T2,0.1,7,1.19648,5
AF_rr0.1,0.05,SL,T2,0.1,10,1.16441,7
AF_rr0.1,0.05,SL,T2,0.1,13,1.14216,7
AF_rr0.1,0.05,SL,T2,0.15,1,1.54681,3
AF_rr0.1,0.05,SL,T2,0.15,3,1.29064,3
AF_rr0.1,0.05,SL,T2,0.15,5,1.21305,5
AF_rr0.1,0.05,SL,T2,0.15,7,1.17633,5
AF_rr0.1,0.05,SL,T2,0.15,10,1.14757,7
AF_rr0.1,0.05,SL,T2,0.15,13,1.13086,10
AF_rr0.1,0.05,SL,T2,0.2,1,1.54452,3
AF_rr0.1,0.05,SL,T2,0.2,3,1.26541,3
AF_rr0.1,0.05,SL,T2,0.2,5,1.19795,5
AF_rr0.1,0.05,SL,T2,0.2,7,1.15844,7
AF_rr0.1,0.05,SL,T2,0.2,10,1.1306,10
AF_rr0.1,0.05,SL,T2,0.2,13,1.11996,10
AF_rr0.1,0.05,SL,T2,0.25,1,1.55227,3
AF_rr0.1,0.05,SL,T2,0.25,3,1.25393,3
AF_rr0.1,0.05,SL,T2,0.25,5,1.18047,5
AF_rr0.1,0.05,SL,T2,0.25,7,1.14346,7
AF_rr0.1,0.05,SL,T2,0.25,10,1.12239,10
AF_rr0.1,0.05,SL,T2,0.25,13,1.10478,13
AF_rr0.1,0.05,SL,Tv,0.1,1,1.36242,3
AF_rr0.1,0.05,SL,Tv,0.1,3,1.06634,3
AF_rr0.1,0.05,SL,Tv,0.1,5,0.988319,5
AF_rr0.1,0.05,SL,Tv,0.1,7,0.945312,5
AF_rr0.1,0.05,SL,Tv,0.1,10,0.907509,7
AF_rr0.1,0.05,SL,Tv,0.1,13,0.86324,7
AF_rr0.1,0.05,SL,Tv,0.15,1,1.36237,3
AF_rr0.1,0.05,SL,Tv,0.15,3,1.05573,3
AF_rr0.1,0.05,SL,Tv,0.15,5,0.965144,5
AF_rr0.1,0.05,SL,Tv,0.15,7,0.920926,5
AF_rr0.1,0.05,SL,Tv,0.15,10,0.882877,7
AF_rr0.1,0.05,SL,Tv,0.15,13,0.860647,7
AF_rr0.1,0.05,SL,Tv,0.2,1,1.35971,3
AF_rr0.1,0.05,SL,Tv,0.2,3,1.03579,3
AF_rr0.1,0.05,SL,Tv,0.2,5,0.947453,5
AF_rr0.1,0.05,SL,Tv,0.2,7,0.900145,7
AF_rr0.1,0.05,SL,Tv,0.2,10,0.863011,7
AF_rr0.1,0.05,SL,Tv,0.2,13,0.843525,10
AF_rr0.1,0.05,SL,Tv,0.25,1,1.36054,3
AF_rr0.1,0.05,SL,Tv,0.25,3,1.01704,3
AF_rr0.1,0.05,SL,Tv,0.25,5,0.929118,5
AF_rr0.1,0.05,SL,Tv,0.25,7,0.881626,7
AF_rr0.1,0.05,SL,Tv,0.25,10,0.847131,10
AF_rr0.1,0.05,SL,Tv,0.25,13,0.829767,13
AF_rr0.1,0.1,AP,T1,0.1,1,2.26116,3
AF_rr0.1,0.1,AP,T1,0.1,3,1.89721,3
AF_rr0.1,0.1,AP,T1,0.1,5,1.80256,5
AF_rr0.1,0.1,AP,T1,0.1,7,1.74232,5
AF_rr0.1,0.1,AP,T1,0.1,10,1.70886,7
AF_rr0.1,0.1,AP,T1,0.1,13,1.67513,7
AF_rr0.1,0.1,AP,T1,0.15,1,2.25583,3
AF_rr0.1,0.1,AP,T1,0.15,3,1.88304,3
AF_rr0.1,0.1,AP,T1,0.15,5,1.77901,5
AF_rr0.1,0.1,AP,T1,0.15,7,1.72344,5
AF_rr0.1,0.1,AP,T1,0.15,10,1.68171,7
AF_rr0.1,0.1,AP,T1,0.15,13,1.65856,10
AF_rr0.1,0.1,AP,T1,0.2,1,2.26093,3
AF_rr0.1,0.1,AP,T1,0.2,3,1.86269,3
AF_rr0.1,0.1,AP,T1,0.2,5,1.74669,5
AF_rr0.1,0.1,AP,T1,0.2,7,1.70417,7
AF_rr0.1,0.1,AP,T1,0.2,10,1.65805,10
AF_rr0.1,0.1,AP,T1,0.2,13,1.64149,10
AF_rr0.1,0.1,AP,T1,0.25,1,2.26733,3
AF_rr0.1,0.1,AP,T1,0.25,3,1.83821,3
AF_rr0.1,0.1,AP,T1,0.25,5,1.74006,5
AF_rr0.1,0.1,AP,T1,0.25,7,1.68407,7
AF_rr0.1,0.1,AP,T1,0.25,10,1.64332,10
AF_rr0.1,0.1,AP,T1,0.25,13,1.62834,13
AF_rr0.1,0.1,AP,T2,0.1,1,2.13953,3
AF_rr0.1,0.1,AP,T2,0.1,3,1.76696,3
AF_rr0.1,0.1,AP,T2,0.1,5,1.66316,5
AF_rr0.1,0.1,AP,T2,0.1,7,1.60255,5
AF_rr0.1,0.1,AP,T2,0.1,10,1.55624,7
AF_rr0.1,0.1,AP,T2,0.1,13,1.51843,7
AF_rr0.1,0.1,AP,T2,0.15,1,2.13606,3
AF_rr0.1,0.1,AP,T2,0.15,3,1.74842,3
AF_rr0.1,0.1,AP,T2,0.15,5,1.63014,5
AF_rr0.1,0.1,AP,T2,0.15,7,1.57333,5
AF_rr0.1,0.1,AP,T2,0.15,10,1.53002,7
AF_rr0.1,0.1,AP,T2,0.15,13,1.50353,10
AF_rr0.1,0.1,AP,T2,0.2,1,2.14362,3
AF_rr0.1,0.1,AP,T2,0.2,3,1.72111,3
AF_rr0.1,0.1,AP,T2,0.2,5,1.59605,5
AF_rr0.1,0.1,AP,T2,0.2,7,1.54511,7
AF_rr0.1,0.1,AP,T2,0.2,10,1.49879,10
AF_rr0.1,0.1,AP,T2,0.2,13,1.47134,13
AF_rr0.1,0.1,AP,T2,0.25,1,2.14461,3
AF_rr0.1,0.1,AP,T2,0.25,3,1.69189,3
AF_rr0.1,0.1,AP,T2,0.25,5,1.58509,5
AF_rr0.1,0.1,AP,T2,0.25,7,1.52302,7
AF_rr0.1,0.1,AP,T2,0.25,10,1.47397,13
AF_rr0.1,0.1,AP,T2,0.25,13,1.45834,13
AF_rr0.1,0.1,AP,Tv,0.1,1,1.80808,3
AF_rr0.1,0.1,AP,Tv,0.1,3,1.34863,3
AF_rr0.1,0.1,AP,Tv,0.1,5,1.21064,3
AF_rr0.1,0.1,AP,Tv,0.1,7,1.12464,5
AF_rr0.1,0.1,AP,Tv,0.1,10,1.05475,5
AF_rr0.1,0.1,AP,Tv,0.1,13,1.00026,7
AF_rr0.1,0.1,AP,Tv,0.15,1,1.80534,3
AF_rr0.1,0.1,AP,Tv,0.15,3,1.31989,3
AF_rr0.1,0.1,AP,Tv,0.15,5,1.16558,5
AF_rr0.1,0.1,AP,Tv,0.15,7,1.0796,5
AF_rr0.1,0.1,AP,Tv,0.15,10,1.01358,7
AF_rr0.1,0.1,AP,Tv,0.15,13,0.963688,10
AF_rr0.1,0.1,AP,Tv,0.2,1,1.80549,3
AF_rr0.1,0.1,AP,Tv,0.2,3,1.28436,3
AF_rr0.1,0.1,AP,Tv,0.2,5,1.12288,5
AF_rr0.1,0.1,AP,Tv,0.2,7,1.04009,7
AF_rr0.1,0.1,AP,Tv,0.2,10,0.972899,10
AF_rr0.1,0.1,AP,Tv,0.2,13,0.928956,10
AF_rr0.1,0.1,AP,Tv,0.25,1,1.81291,1
AF_rr0.1,0.1,AP,Tv,0.25,3,1.24503,3
AF_rr0.1,0.1,AP,Tv,0.25,5,1.09446,5
AF_rr0.1,0.1,AP,Tv,0.25,7,1.01298,7
AF_rr0.1,0.1,AP,Tv,0.25,10,0.944974,10
AF_rr0.1,0.1,AP,Tv,0.25,13,0.90605,13
AF_rr0.1,0.1,SL,T1,0.1,1,1.75057,1
AF_rr0.1,0.1,SL,T1,0.1,3,1.43353,3
AF_rr0.1,0.1,SL,T1,0.1,5,1.35013,5
AF_rr0.1,0.1,SL,T1,0.1,7,1.3114,5
AF_rr0.1,0.1,SL,T1,0.1,10,1.28259,7
AF_rr0.1,0.1,SL,T1,0.1,13,1.25403,10
AF_rr0.1,0.1,SL,T1,0.15,1,1.75521,1
AF_rr0.1,0.1,SL,T1,0.15,3,1.42727,3
AF_rr0.1,0.1,SL,T1,0.15,5,1.34023,5
AF_rr0.1,0.1,SL,T1,0.15,7,1.29446,7
AF_rr0.1,0.1,SL,T1,0.15,10,1.25832,7
AF_rr0.1,0.1,SL,T1,0.15,13,1.25116,10
AF_rr0.1,0.1,SL,T1,0.2,1,1.74958,1
AF_rr0.1,0.1,SL,T1,0.2,3,1.41161,3
AF_rr0.1,0.1,SL,T1,0.2,5,1.31576,5
AF_rr0.1,0.1,SL,T1,0.2,7,1.27932,7
AF_rr0.1,0.1,SL,T1,0.2,10,1.24217,10
AF_rr0.1,0.1,SL,T1,0.2,13,1.22314,13
AF_rr0.1,0.1,SL,T1,0.25,1,1.74417,3
AF_rr0.1,0.1,SL,T1,0.25,3,1.39844,3
AF_rr0.1,0.1,SL,T1,0.25,5,1.30792,5
AF_rr0.1,0.1,SL,T1,0.25,7,1.26356,7
AF_rr0.1,0.1,SL,T1,0.25,10,1.22904,10
AF_rr0.1,0.1,SL,T1,0.25,13,1.20761,
AF_rr0.1,0.1,SL,T2,0.1,1,1.68844,1
AF_rr0.1,0.1,SL,T2,0.1,3,1.37726,3
AF_rr0.1,0.1,SL,T2,0.1,5,1.29177,5
AF_rr0.1,0.1,SL,T2,0.1,7,1.2505,5
AF_rr0.1,0.1,SL,T2,0.1,10,1.21679,5
AF_rr0.1,0.1,SL,T2,0.1,13,1.17228,7
AF_rr0.1,0.1,SL,T2,0.15,1,1.69016,1
AF_rr0.1,0.1,SL,T2,0.15,3,1.36354,3
AF_rr0.1,0.1,SL,T2,0.15,5,1.27223,5
AF_rr0.1,0.1,SL,T2,0.15,7,1.23177,5
AF_rr0.1,0.1,SL,T2,0.15,10,1.19331,7
AF_rr0.1,0.1,SL,T2,0.15,13,1.17542,7
AF_rr0.1,0.1,SL,T2,0.2,1,1.68408,3
AF_rr0.1,0.1,SL,T2,0.2,3,1.34467,3
AF_rr0.1,0.1,SL,T2,0.2,5,1.24753,5
AF_rr0.1,0.1,SL,T2,0.2,7,1.21092,5
AF_rr0.1,0.1,SL,T2,0.2,10,1.16575,10
AF_rr0.1,0.1,SL,T2,0.2,13,1.14593,10
AF_rr0.1,0.1,SL,T2,0.25,1,1.68224,3
AF_rr0.1,0.1,SL,T2,0.25,3,1.3296,3
AF_rr0.1,0.1,SL,T2,0.25,5,1.23722,5
AF_rr0.1,0.1,SL,T2,0.25,7,1.1859,7
AF_rr0.1,0.1,SL,T2,0.25,10,1.14604,10
AF_rr0.1,0.1,SL,T2,0.25,13,1.12832,13
AF_rr0.1,0.1,SL,Tv,0.1,1,1.51754,1
AF_rr0.1,0.1,SL,Tv,0.1,3,1.15877,3
AF_rr0.1,0.1,SL,Tv,0.1,5,1.05996,5
AF_rr0.1,0.1,SL,Tv,0.1,7,1.01087,5
AF_rr0.1,0.1,SL,Tv,0.1,10,0.961582,5
AF_rr0.1,0.1,SL,Tv,0.1,13,0.901793,7
AF_rr0.1,0.1,SL,Tv,0.15,1,1.51501,1
AF_rr0.1,0.1,SL,Tv,0.15,3,1.14713,3
AF_rr0.1,0.1,SL,Tv,0.15,5,1.03899,5
AF_rr0.1,0.1,SL,Tv,0.15,7,0.988663,5
AF_rr0.1,0.1,SL,Tv,0.15,10,0.93935,7
AF_rr0.1,0.1,SL,Tv,0.15,13,0.905353,7
AF_rr0.1,0.1,SL,Tv,0.2,1,1.51203,1
AF_rr0.1,0.1,SL,Tv,0.2,3,1.12459,3
AF_rr0.1,0.1,SL,Tv,0.2,5,1.01131,5
AF_rr0.1,0.1,SL,Tv,0.2,7,0.956918,5
AF_rr0.1,0.1,SL,Tv,0.2,10,0.90637,7
AF_rr0.1,0.1,SL,Tv,0.2,13,0.882307,10
AF_rr0.1,0.1,SL,Tv,0.25,1,1.50785,3
AF_rr0.1,0.1,SL,Tv,0.25,3,1.10545,3
AF_rr0.1,0.1,SL,Tv,0.25,5,0.993942,5
AF_rr0.1,0.1,SL,Tv,0.25,7,0.935443,7
AF_rr0.1,0.1,SL,Tv,0.25,10,0.88494,10
AF_rr0.1,0.1,SL,Tv,0.25,13,0.86072,10
AF_rr0.1,0.15,AP,T1,0.1,1,2.61113,1
AF_rr0.1,0.15,AP,T1,0.1,3,2.09344,3
AF_rr0.1,0.15,AP,T1,0.1,5,1.94056,5
AF_rr0.1,0.15,AP,T1,0.1,7,1.86781,5
AF_rr0.1,0.15,AP,T1,0.1,10,1.80387,7
AF_rr0.1,0.15,AP,T1,0.1,13,1.72357,10
AF_rr0.1,0.15,AP,T1,0.15,1,2.59937,3
AF_rr0.1,0.15,AP,T1,0.15,3,2.07831,3
AF_rr0.1,0.15,AP,T1,0.15,5,1.92345,5
AF_rr0.1,0.15,AP,T1,0.15,7,1.85052,5
AF_rr0.1,0.15,AP,T1,0.15,10,1.77698,7
AF_rr0.1,0.15,AP,T1,0.15,13,1.7282,10
AF_rr0.1,0.15,AP,T1,0.2,1,2.60288,3
AF_rr0.1,0.15,AP,T1,0.2,3,2.05915,3
AF_rr0.1,0.15,AP,T1,0.2,5,1.90114,5
AF_rr0.1,0.15,AP,T1,0.2,7,1.81494,5
AF_rr0.1,0.15,AP,T1,0.2,10,1.73909,10
AF_rr0.1,0.15,AP,T1,0.2,13,1.70814,10
AF_rr0.1,0.15,AP,T1,0.25,1,2.59952,3
AF_rr0.1,0.15,AP,T1,0.25,3,2.03661,3
AF_rr0.1,0.15,AP,T1,0.25,5,1.86189,5
AF_rr0.1,0.15,AP,T1,0.25,7,1.78231,7
AF_rr0.1,0.15,AP,T1,0.25,10,1.72657,10
AF_rr0.1,0.15,AP,T1,0.25,13,1.6891,10
AF_rr0.1,0.15,AP,T2,0.1,1,2.52128,1
AF_rr0.1,0.15,AP,T2,0.1,3,1.97845,3
AF_rr0.1,0.15,AP,T2,0.1,5,1.82414,5
AF_rr0.1,0.15,AP,T2,0.1,7,1.7503,5
AF_rr0.1,0.15,AP,T2,0.1,10,1.67209,7
AF_rr0.1,0.15,AP,T2,0.1,13,1.58194,10
AF_rr0.1,0.15,AP,T2,0.15,1,2.50937,3
AF_rr0.1,0.15,AP,T2,0.15,3,1.96571,3
AF_rr0.1,0.15,AP,T2,0.15,5,1.80074,5
AF_rr0.1,0.15,AP,T2,0.15,7,1.72308,5
AF_rr0.1,0.15,AP,T2,0.15,10,1.64255,7
AF_rr0.1,0.15,AP,T2,0.15,13,1.59326,10
AF_rr0.1,0.15,AP,T2,0.2,1,2.51538,3
AF_rr0.1,0.15,AP,T2,0.2,3,1.94557,3
AF_rr0.1,0.15,AP,T2,0.2,5,1.77926,5
AF_rr0.1,0.15,AP,T2,0.2,7,1.68157,5
AF_rr0.1,0.15,AP,T2,0.2,10,1.59986,7
AF_rr0.1,0.15,AP,T2,0.2,13,1.55869,10
AF_rr0.1,0.15,AP,T2,0.25,1,2.5097,3
AF_rr0.1,0.15,AP,T2,0.25,3,1.924,3
AF_rr0.1,0.15,AP,T2,0.25,5,1.73222,5
AF_rr0.1,0.15,AP,T2,0.25,7,1.64352,7
AF_rr0.1,0.15,AP,T2,0.25,10,1.57593,10
AF_rr0.1,0.15,AP,T2,0.25,13,1.52842,13
AF_rr0.1,0.15,AP,Tv,0.1,1,2.24155,1
AF_rr0.1,0.15,AP,Tv,0.1,3,1.61208,3
AF_rr0.1,0.15,AP,Tv,0.1,5,1.41903,5
AF_rr0.1,0.15,AP,Tv,0.1,7,1.32457,5
AF_rr0.1,0.15,AP,Tv,0.1,10,1.22166,5
AF_rr0.1,0.15,AP,Tv,0.1,13,1.09287,10
AF_rr0.1,0.15,AP,Tv,0.15,1,2.22335,3
AF_rr0.1,0.15,AP,Tv,0.15,3,1.60143,3
AF_rr0.1,0.15,AP,Tv,0.15,5,1.39339,5
AF_rr0.1,0.15,AP,Tv,0.15,7,1.28386,5
AF_rr0.1,0.15,AP,Tv,0.15,10,1.18027,7
AF_rr0.1,0.15,AP,Tv,0.15,13,1.11332,7
AF_rr0.1,0.15,AP,Tv,0.2,1,2.23354,3
AF_rr0.1,0.15,AP,Tv,0.2,3,1.56952,3
AF_rr0.1,0.15,AP,Tv,0.2,5,1.35419,5
AF_rr0.1,0.15,AP,Tv,0.2,7,1.23261,5
AF_rr0.1,0.15,AP,Tv,0.2,10,1.13285,7
AF_rr0.1,0.15,AP,Tv,0.2,13,1.06192,10
AF_rr0.1,0.15,AP,Tv,0.25,1,2.22358,3
AF_rr0.1,0.15,AP,Tv,0.25,3,1.53518,3
AF_rr0.1,0.15,AP,Tv,0.25,5,1.29997,5
AF_rr0.1,0.15,AP,Tv,0.25,7,1.18589,7
AF_rr0.1,0.15,AP,Tv,0.25,10,1.08266,10
AF_rr0.1,0.15,AP,Tv,0.25,13,1.02663,10
AF_rr0.1,0.15,SL,T1,0.1,1,1.94088,1
AF_rr0.1,0.15,SL,T1,0.1,3,1.53836,3
AF_rr0.1,0.15,SL,T1,0.1,5,1.42402,5
AF_rr0.1,0.15,SL,T1,0.1,7,1.36838,5
AF_rr0.1,0.15,SL,T1,0.1,10,1.32854,7
AF_rr0.1,0.15,SL,T1,0.1,13,1.26445,10
AF_rr0.1,0.15,SL,T1,0.15,1,1.94736,1
AF_rr0.1,0.15,SL,T1,0.15,3,1.54071,3
AF_rr0.1,0.15,SL,T1,0.15,5,1.42309,5
