rhythm_state,p_beat_cv,W,p_N_beats,p_data_mode,axis,value,mcse,n
AF_rr0.1,0.05,0.2,1,prospective,SL,1,0,100000
AF_rr0.1,0.05,0.2,1,retrospective,AP,1,0,100000
AF_rr0.1,0.05,0.2,1,retrospective,SL,1,0,100000
AF_rr0.1,0.05,0.2,3,prospective,AP,0.81333,0.00123217,100000
AF_rr0.1,0.05,0.2,3,prospective,SL,0.61567,0.00153825,100000
AF_rr0.1,0.05,0.2,3,retrospective,AP,0.62847,0.00152806,100000
AF_rr0.1,0.05,0.2,3,retrospective,SL,0.47672,0.00157942,100000
AF_rr0.1,0.05,0.2,5,prospective,AP,0.64269,0.00151539,100000
AF_rr0.1,0.05,0.2,5,prospective,SL,0.38575,0.00153931,100000
AF_rr0.1,0.05,0.2,5,retrospective,AP,0.24413,0.00135842,100000
AF_rr0.1,0.05,0.2,5,retrospective,SL,0.14776,0.00112217,100000
AF_rr0.1,0.05,0.2,7,prospective,AP,0.51834,0.00158007,100000
AF_rr0.1,0.05,0.2,7,prospective,SL,0.26431,0.00139445,100000
AF_rr0.1,0.05,0.2,7,retrospective,AP,0.05815,0.000740058,100000
AF_rr0.1,0.05,0.2,7,retrospective,SL,0.02995,0.000539008,100000
AF_rr0.1,0.05,0.2,10,prospective,AP,0.39616,0.00154666,100000
AF_rr0.1,0.05,0.2,10,prospective,SL,0.17151,0.00119203,100000
AF_rr0.1,0.05,0.2,10,retrospective,AP,0.00342,0.000184616,100000
AF_rr0.1,0.05,0.2,10,retrospective,SL,0.00148,0.000121565,100000
AF_rr0.1,0.05,0.2,13,prospective,AP,0.31559,0.00146967,100000
AF_rr0.1,0.05,0.2,13,prospective,SL,0.11514,0.00100937,100000
AF_rr0.1,0.05,0.2,13,retrospective,AP,0.00013,3.60532e-05,100000
AF_rr0.1,0.05,0.2,13,retrospective,SL,7e-05,2.64566e-05,100000
AF_rr0.1,0.05,0.25,1,prospective,AP,1,0,100000
AF_rr0.1,0.05,0.25,1,prospective,SL,1,0,100000
AF_rr0.1,0.05,0.25,1,retrospective,AP,1,0,100000
AF_rr0.1,0.05,0.25,1,retrospective,SL,1,0,100000
AF_rr0.1,0.05,0.25,3,prospective,AP,0.90397,0.000931709,100000
AF_rr0.1,0.05,0.25,3,prospective,SL,0.73513,0.0013954,100000
AF_rr0.1,0.05,0.25,3,retrospective,AP,0.70079,0.00144804,100000
AF_rr0.1,0.05,0.25,3,retrospective,SL,0.57119,0.00156503,100000
AF_rr0.1,0.05,0.25,5,prospective,AP,0.79825,0.00126904,100000
AF_rr0.1,0.05,0.25,5,prospective,SL,0.55346,0.00157208,100000
AF_rr0.1,0.05,0.25,5,retrospective,AP,0.30005,0.00144921,100000
AF_rr0.1,0.05,0.25,5,retrospective,SL,0.20798,0.00128345,100000
AF_rr0.1,0.05,0.25,7,prospective,AP,0.71412,0.00142882,100000
AF_rr0.1,0.05,0.25,7,prospective,SL,0.43246,0.00156665,100000
AF_rr0.1,0.05,0.25,7,retrospective,AP,0.08011,0.000858443,100000
AF_rr0.1,0.05,0.25,7,retrospective,SL,0.04928,0.000684481,100000
AF_rr0.1,0.05,0.25,10,prospective,AP,0.61777,0.00153665,100000
AF_rr0.1,0.05,0.25,10,prospective,SL,0.32392,0.00147985,100000
AF_rr0.1,0.05,0.25,10,retrospective,AP,0.00524,0.00022831,100000
AF_rr0.1,0.05,0.25,10,retrospective,SL,0.00268,0.000163488,100000
AF_rr0.1,0.05,0.25,13,prospective,AP,0.54573,0.00157451,100000
AF_rr0.1,0.05,0.25,13,prospective,SL,0.25454,0.0013775,100000
AF_rr0.1,0.05,0.25,13,retrospective,AP,0.0001,3.16212e-05,100000
AF_rr0.1,0.05,0.25,13,retrospective,SL,5e-05,2.23601e-05,100000
AF_rr0.1,0.1,0,1,prospective,AP,1,0,100000
AF_rr0.1,0.1,0,1,prospective,SL,1,0,100000
AF_rr0.1,0.1,0,1,retrospective,AP,1,0,100000
AF_rr0.1,0.1,0,1,retrospective,SL,1,0,100000
AF_rr0.1,0.1,0,3,prospective,AP,1,0,100000
AF_rr0.1,0.1,0,3,prospective,SL,1,0,100000
AF_rr0.1,0.1,0,3,retrospective,AP,0.77616,0.00131809,100000
AF_rr0.1,0.1,0,3,retrospective,SL,0.77616,0.00131809,100000
AF_rr0.1,0.1,0,5,prospective,AP,1,0,100000
AF_rr0.1,0.1,0,5,prospective,SL,1,0,100000
AF_rr0.1,0.1,0,5,retrospective,AP,0.37827,0.00153356,100000
AF_rr0.1,0.1,0,5,retrospective,SL,0.37827,0.00153356,100000
AF_rr0.1,0.1,0,7,prospective,AP,1,0,100000
AF_rr0.1,0.1,0,7,prospective,SL,1,0,100000
AF_rr0.1,0.1,0,7,retrospective,AP,0.11029,0.000990586,100000
AF_rr0.1,0.1,0,7,retrospective,SL,0.11029,0.000990586,100000
AF_rr0.1,0.1,0,10,prospective,AP,1,0,100000
AF_rr0.1,0.1,0,10,prospective,SL,1,0,100000
AF_rr0.1,0.1,0,10,retrospective,AP,0.00855,0.000291151,100000
AF_rr0.1,0.1,0,10,retrospective,SL,0.00855,0.000291151,100000
AF_rr0.1,0.1,0,13,prospective,AP,1,0,100000
AF_rr0.1,0.1,0,13,prospective,SL,1,0,100000
AF_rr0.1,0.1,0,13,retrospective,AP,0.00028,5.29076e-05,100000
AF_rr0.1,0.1,0,13,retrospective,SL,0.00028,5.29076e-05,100000
AF_rr0.1,0.1,0.1,1,prospective,AP,1,0,100000
AF_rr0.1,0.1,0.1,1,prospective,SL,1,0,100000
AF_rr0.1,0.1,0.1,1,retrospective,AP,1,0,100000
AF_rr0.1,0.1,0.1,1,retrospective,SL,1,0,100000
AF_rr0.1,0.1,0.1,3,prospective,AP,0.28892,0.00143334,100000
AF_rr0.1,0.1,0.1,3,prospective,SL,0.19595,0.0012552,100000
AF_rr0.1,0.1,0.1,3,retrospective,AP,0.22679,0.00132422,100000
AF_rr0.1,0.1,0.1,3,retrospective,SL,0.15307,0.00113859,100000
AF_rr0.1,0.1,0.1,5,prospective,AP,0.07643,0.000840169,100000
AF_rr0.1,0.1,0.1,5,prospective,SL,0.03934,0.000614755,100000
AF_rr0.1,0.1,0.1,5,retrospective,AP,0.02846,0.000525833,100000
AF_rr0.1,0.1,0.1,5,retrospective,SL,0.01491,0.000383245,100000
AF_rr0.1,0.1,0.1,7,prospective,AP,0.02054,0.000448532,100000
AF_rr0.1,0.1,0.1,7,prospective,SL,0.00854,0.000290982,100000
AF_rr0.1,0.1,0.1,7,retrospective,AP,0.00243,0.000155695,100000
AF_rr0.1,0.1,0.1,7,retrospective,SL,0.00097,9.84408e-05,100000
AF_rr0.1,0.1,0.1,10,prospective,AP,0.00334,0.000182451,100000
AF_rr0.1,0.1,0.1,10,prospective,SL,0.00102,0.000100944,100000
AF_rr0.1,0.1,0.1,10,retrospective,AP,2e-05,1.4142e-05,100000
AF_rr0.1,0.1,0.1,10,retrospective,SL,1e-05,9.99995e-06,100000
AF_rr0.1,0.1,0.1,13,prospective,AP,0.00049,6.99828e-05,100000
AF_rr0.1,0.1,0.1,13,prospective,SL,0.00014,3.7414e-05,100000
AF_rr0.1,0.1,0.1,13,retrospective,AP,0,0,100000
AF_rr0.1,0.1,0.1,13,retrospective,SL,0,0,100000
AF_rr0.1,0.1,0.15,1,prospective,AP,1,0,100000
AF_rr0.1,0.1,0.15,1,prospective,SL,1,0,100000
AF_rr0.1,0.1,0.15,1,retrospective,AP,1,0,100000
AF_rr0.1,0.1,0.15,1,retrospective,SL,1,0,100000
AF_rr0.1,0.1,0.15,3,prospective,AP,0.52461,0.00157922,100000
AF_rr0.1,0.1,0.15,3,prospective,SL,0.37619,0.0015319,100000
AF_rr0.1,0.1,0.15,3,retrospective,AP,0.40814,0.00155423,100000
AF_rr0.1,0.1,0.15,3,retrospective,SL,0.29164,0.00143731,100000
AF_rr0.1,0.1,0.15,5,prospective,AP,0.25208,0.00137308,100000
AF_rr0.1,0.1,0.15,5,prospective,SL,0.1441,0.00111056,100000
AF_rr0.1,0.1,0.15,5,retrospective,AP,0.09518,0.000928013,100000
AF_rr0.1,0.1,0.15,5,retrospective,SL,0.05258,0.0007058,100000
AF_rr0.1,0.1,0.15,7,prospective,AP,0.1245,0.00104403,100000
AF_rr0.1,0.1,0.15,7,prospective,SL,0.05868,0.000743214,100000
AF_rr0.1,0.1,0.15,7,retrospective,AP,0.01321,0.000361047,100000
AF_rr0.1,0.1,0.15,7,retrospective,SL,0.00656,0.000255283,100000
AF_rr0.1,0.1,0.15,10,prospective,AP,0.04777,0.000674448,100000
AF_rr0.1,0.1,0.15,10,prospective,SL,0.0184,0.000424988,100000
AF_rr0.1,0.1,0.15,10,retrospective,AP,0.0003,5.4764e-05,100000
AF_rr0.1,0.1,0.15,10,retrospective,SL,0.00011,3.31644e-05,100000
AF_rr0.1,0.1,0.15,13,prospective,AP,0.01794,0.00041974,100000
AF_rr0.1,0.1,0.15,13,prospective,SL,0.00591,0.000242385,100000
AF_rr0.1,0.1,0.15,13,retrospective,AP,0,0,100000
AF_rr0.1,0.1,0.15,13,retrospective,SL,2e-05,1.4142e-05,100000
AF_rr0.1,0.1,0.2,1,prospective,AP,1,0,100000
AF_rr0.1,0.1,0.2,1,prospective,SL,1,0,100000
AF_rr0.1,0.1,0.2,1,retrospective,AP,1,0,100000
AF_rr0.1,0.1,0.2,1,retrospective,SL,1,0,100000
AF_rr0.1,0.1,0.2,3,prospective,AP,0.7143,0.00142855,100000
AF_rr0.1,0.1,0.2,3,prospective,SL,0.54382,0.00157505,100000
AF_rr0.1,0.1,0.2,3,retrospective,AP,0.55241,0.00157243,100000
AF_rr0.1,0.1,0.2,3,retrospective,SL,0.42182,0.00156169,100000
AF_rr0.1,0.1,0.2,5,prospective,AP,0.4768,0.00157944,100000
AF_rr0.1,0.1,0.2,5,prospective,SL,0.29643,0.00144416,100000
AF_rr0.1,0.1,0.2,5,retrospective,AP,0.18024,0.00121554,100000
AF_rr0.1,0.1,0.2,5,retrospective,SL,0.11266,0.000999839,100000
AF_rr0.1,0.1,0.2,7,prospective,AP,0.32676,0.0014832,100000
AF_rr0.1,0.1,0.2,7,prospective,SL,0.17375,0.00119817,100000
AF_rr0.1,0.1,0.2,7,retrospective,AP,0.03672,0.000594741,100000
AF_rr0.1,0.1,0.2,7,retrospective,SL,0.01926,0.000434615,100000
AF_rr0.1,0.1,0.2,10,prospective,AP,0.19075,0.00124243,100000
AF_rr0.1,0.1,0.2,10,prospective,SL,0.08465,0.000880252,100000
AF_rr0.1,0.1,0.2,10,retrospective,AP,0.00157,0.000125201,100000
AF_rr0.1,0.1,0.2,10,retrospective,SL,0.00061,7.80787e-05,100000
AF_rr0.1,0.1,0.2,13,prospective,AP,0.11696,0.00101627,100000
AF_rr0.1,0.1,0.2,13,prospective,SL,0.04555,0.000659357,100000
AF_rr0.1,0.1,0.2,13,retrospective,AP,3e-05,1.73202e-05,100000
AF_rr0.1,0.1,0.2,13,retrospective,SL,2e-05,1.4142e-05,100000
AF_rr0.1,0.1,0.25,1,prospective,AP,1,0,100000
AF_rr0.1,0.1,0.25,1,prospective,SL,1,0,100000
AF_rr0.1,0.1,0.25,1,retrospective,AP,1,0,100000
AF_rr0.1,0.1,0.25,1,retrospective,SL,1,0,100000
AF_rr0.1,0.1,0.25,3,prospective,AP,0.84131,0.00115545,100000
AF_rr0.1,0.1,0.25,3,prospective,SL,0.6814,0.00147341,100000
AF_rr0.1,0.1,0.25,3,retrospective,AP,0.65299,0.0015053,100000
AF_rr0.1,0.1,0.25,3,retrospective,SL,0.52713,0.00157881,100000
AF_rr0.1,0.1,0.25,5,prospective,AP,0.6719,0.00148476,100000
AF_rr0.1,0.1,0.25,5,prospective,SL,0.4573,0.00157536,100000
AF_rr0.1,0.1,0.25,5,retrospective,AP,0.25449,0.00137741,100000
AF_rr0.1,0.1,0.25,5,retrospective,SL,0.17348,0.00119743,100000
AF_rr0.1,0.1,0.25,7,prospective,AP,0.54645,0.0015743,100000
AF_rr0.1,0.1,0.25,7,prospective,SL,0.32634,0.00148271,100000
AF_rr0.1,0.1,0.25,7,retrospective,AP,0.06021,0.000752228,100000
AF_rr0.1,0.1,0.25,7,retrospective,SL,0.03681,0.000595441,100000
AF_rr0.1,0.1,0.25,10,prospective,AP,0.4082,0.00155426,100000
AF_rr0.1,0.1,0.25,10,prospective,SL,0.21129,0.00129092,100000
AF_rr0.1,0.1,0.25,10,retrospective,AP,0.00334,0.000182451,100000
AF_rr0.1,0.1,0.25,10,retrospective,SL,0.00162,0.000127176,100000
AF_rr0.1,0.1,0.25,13,prospective,AP,0.31452,0.00146832,100000
AF_rr0.1,0.1,0.25,13,prospective,SL,0.14295,0.00110687,100000
AF_rr0.1,0.1,0.25,13,retrospective,AP,7e-05,2.64566e-05,100000
AF_rr0.1,0.1,0.25,13,retrospective,SL,2e-05,1.4142e-05,100000
AF_rr0.1,0.15,0,1,prospective,AP,1,0,100000
AF_rr0.1,0.15,0,1,prospective,SL,1,0,100000
AF_rr0.1,0.15,0,1,retrospective,AP,1,0,100000
AF_rr0.1,0.15,0,1,retrospective,SL,1,0,100000
AF_rr0.1,0.15,0,3,prospective,AP,1,0,100000
AF_rr0.1,0.15,0,3,prospective,SL,1,0,100000
AF_rr0.1,0.15,0,3,retrospective,AP,0.77528,0.00131993,100000
AF_rr0.1,0.15,0,3,retrospective,SL,0.77528,0.00131993,100000
AF_rr0.1,0.15,0,5,prospective,AP,1,0,100000
AF_rr0.1,0.15,0,5,prospective,SL,1,0,100000
AF_rr0.1,0.15,0,5,retrospective,AP,0.37996,0.0015349,100000
AF_rr0.1,0.15,0,5,retrospective,SL,0.37996,0.0015349,100000
AF_rr0.1,0.15,0,7,prospective,AP,1,0,100000
AF_rr0.1,0.15,0,7,prospective,SL,1,0,100000
AF_rr0.1,0.15,0,7,retrospective,AP,0.11238,0.000998753,100000
AF_rr0.1,0.15,0,7,retrospective,SL,0.11238,0.000998753,100000
AF_rr0.1,0.15,0,10,prospective,AP,1,0,100000
AF_rr0.1,0.15,0,10,prospective,SL,1,0,100000
AF_rr0.1,0.15,0,10,retrospective,AP,0.00898,0.000298318,100000
AF_rr0.1,0.15,0,10,retrospective,SL,0.00898,0.000298318,100000
AF_rr0.1,0.15,0,13,prospective,AP,1,0,100000
AF_rr0.1,0.15,0,13,prospective,SL,1,0,100000
AF_rr0.1,0.15,0,13,retrospective,AP,0.00025,4.99937e-05,100000
AF_rr0.1,0.15,0,13,retrospective,SL,0.00025,4.99937e-05,100000
AF_rr0.1,0.15,0.1,1,prospective,AP,1,0,100000
AF_rr0.1,0.15,0.1,1,prospective,SL,1,0,100000
AF_rr0.1,0.15,0.1,1,retrospective,AP,1,0,100000
AF_rr0.1,0.15,0.1,1,retrospective,SL,1,0,100000
AF_rr0.1,0.15,0.1,3,prospective,AP,0.19966,0.0012641,100000
AF_rr0.1,0.15,0.1,3,prospective,SL,0.14636,0.00111776,100000
AF_rr0.1,0.15,0.1,3,retrospective,AP,0.15403,0.00114151,100000
AF_rr0.1,0.15,0.1,3,retrospective,SL,0.11607,0.00101291,100000
AF_rr0.1,0.15,0.1,5,prospective,AP,0.03455,0.000577549,100000
AF_rr0.1,0.15,0.1,5,prospective,SL,0.02112,0.000454686,100000
AF_rr0.1,0.15,0.1,5,retrospective,AP,0.01357,0.000365867,100000
AF_rr0.1,0.15,0.1,5,retrospective,SL,0.00809,0.000283276,100000
AF_rr0.1,0.15,0.1,7,prospective,AP,0.00595,0.000243199,100000
AF_rr0.1,0.15,0.1,7,prospective,SL,0.00276,0.000165903,100000
AF_rr0.1,0.15,0.1,7,retrospective,AP,0.00065,8.05964e-05,100000
AF_rr0.1,0.15,0.1,7,retrospective,SL,0.00036,5.99892e-05,100000
AF_rr0.1,0.15,0.1,10,prospective,AP,0.0006,7.74364e-05,100000
AF_rr0.1,0.15,0.1,10,prospective,SL,0.00021,4.58209e-05,100000
AF_rr0.1,0.15,0.1,10,retrospective,AP,0,0,100000
AF_rr0.1,0.15,0.1,10,retrospective,SL,0,0,100000
AF_rr0.1,0.15,0.1,13,prospective,AP,6e-05,2.44942e-05,100000
AF_rr0.1,0.15,0.1,13,prospective,SL,1e-05,9.99995e-06,100000
AF_rr0.1,0.15,0.1,13,retrospective,AP,0,0,100000
AF_rr0.1,0.15,0.1,13,retrospective,SL,0,0,100000
AF_rr0.1,0.15,0.15,1,prospective,AP,1,0,100000
AF_rr0.1,0.15,0.15,1,prospective,SL,1,0,100000
AF_rr0.1,0.15,0.15,1,retrospective,AP,1,0,100000
AF_rr0.1,0.15,0.15,1,retrospective,SL,1,0,100000
AF_rr0.1,0.15,0.15,3,prospective,AP,0.38871,0.00154148,100000
AF_rr0.1,0.15,0.15,3,prospective,SL,0.29488,0.00144196,100000
AF_rr0.1,0.15,0.15,3,retrospective,AP,0.30197,0.00145184,100000
AF_rr0.1,0.15,0.15,3,retrospective,SL,0.2319,0.00133463,100000
AF_rr0.1,0.15,0.15,5,prospective,AP,0.13383,0.00107666,100000
AF_rr0.1,0.15,0.15,5,prospective,SL,0.08585,0.000885888,100000
AF_rr0.1,0.15,0.15,5,retrospective,AP,0.05048,0.000692328,100000
AF_rr0.1,0.15,0.15,5,retrospective,SL,0.03251,0.000560831,100000
AF_rr0.1,0.15,0.15,7,prospective,AP,0.04779,0.000674582,100000
AF_rr0.1,0.15,0.15,7,prospective,SL,0.02495,0.000493229,100000
AF_rr0.1,0.15,0.15,7,retrospective,AP,0.00523,0.000228093,100000
AF_rr0.1,0.15,0.15,7,retrospective,SL,0.00287,0.000169167,100000
AF_rr0.1,0.15,0.15,10,prospective,AP,0.0107,0.000325354,100000
AF_rr0.1,0.15,0.15,10,prospective,SL,0.00475,0.000217427,100000
AF_rr0.1,0.15,0.15,10,retrospective,AP,0.00011,3.31644e-05,100000
AF_rr0.1,0.15,0.15,10,retrospective,SL,7e-05,2.64566e-05,100000
AF_rr0.1,0.15,0.15,13,prospective,AP,0.00242,0.000155375,100000
AF_rr0.1,0.15,0.15,13,prospective,SL,0.00101,0.000100448,100000
AF_rr0.1,0.15,0.15,13,retrospective,AP,0,0,100000
AF_rr0.1,0.15,0.15,13,retrospective,SL,0,0,100000
AF_rr0.1,0.15,0.2,1,prospective,AP,1,0,100000
AF_rr0.1,0.15,0.2,1,prospective,SL,1,0,100000
AF_rr0.1,0.15,0.2,1,retrospective,AP,1,0,100000
AF_rr0.1,0.15,0.2,1,retrospective,SL,1,0,100000
AF_rr0.1,0.15,0.2,3,prospective,AP,0.57916,0.0015612,100000
AF_rr0.1,0.15,0.2,3,prospective,SL,0.45484,0.00157468,100000
AF_rr0.1,0.15,0.2,3,retrospective,AP,0.4445,0.00157137,100000
AF_rr0.1,0.15,0.2,3,retrospective,SL,0.35123,0.00150953,100000
AF_rr0.1,0.15,0.2,5,prospective,AP,0.30087,0.00145034,100000
AF_rr0.1,0.15,0.2,5,prospective,SL,0.19753,0.00125902,100000
AF_rr0.1,0.15,0.2,5,retrospective,AP,0.11338,0.00100262,100000
AF_rr0.1,0.15,0.2,5,retrospective,SL,0.07451,0.000830411,100000
AF_rr0.1,0.15,0.2,7,prospective,AP,0.15663,0.00114933,100000
AF_rr0.1,0.15,0.2,7,prospective,SL,0.09118,0.000910309,100000
AF_rr0.1,0.15,0.2,7,retrospective,AP,0.01808,0.000421344,100000
AF_rr0.1,0.15,0.2,7,retrospective,SL,0.01026,0.000318665,100000
AF_rr0.1,0.15,0.2,10,prospective,AP,0.06253,0.000765637,100000
AF_rr0.1,0.15,0.2,10,prospective,SL,0.03107,0.000548677,100000
AF_rr0.1,0.15,0.2,10,retrospective,AP,0.00052,7.20923e-05,100000
AF_rr0.1,0.15,0.2,10,retrospective,SL,0.00025,4.99937e-05,100000
AF_rr0.1,0.15,0.2,13,prospective,AP,0.02542,0.000497733,100000
AF_rr0.1,0.15,0.2,13,prospective,SL,0.01086,0.000327751,100000
AF_rr0.1,0.15,0.2,13,retrospective,AP,1e-05,9.99995e-06,100000
AF_rr0.1,0.15,0.2,13,retrospective,SL,0,0,100000
AF_rr0.1,0.15,0.25,1,prospective,AP,1,0,100000
AF_rr0.1,0.15,0.25,1,prospective,SL,1,0,100000
AF_rr0.1,0.15,0.25,1,retrospective,AP,1,0,100000
AF_rr0.1,0.15,0.25,1,retrospective,SL,1,0,100000
AF_rr0.1,0.15,0.25,3,prospective,AP,0.72871,0.00140603,100000
AF_rr0.1,0.15,0.25,3,prospective,SL,0.60158,0.00154817,100000
AF_rr0.1,0.15,0.25,3,retrospective,AP,0.56808,0.00156641,100000
AF_rr0.1,0.15,0.25,3,retrospective,SL,0.46503,0.00157727,100000
AF_rr0.1,0.15,0.25,5,prospective,AP,0.48919,0.00158077,100000
AF_rr0.1,0.15,0.25,5,prospective,SL,0.33858,0.00149647,100000
