cell,u,K,beat_cv,view_over,estimator,axis,estimand,cutoff_mm,metric,value,mcse,n
0,base,1,0.05,False,A1,AP,T1,10.0,nri_nonevents_vs_A1,0.0,0.0,49901
0,base,1,0.05,False,A1,AP,T1,10.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A2,AP,T1,10.0,sensitivity,0.8450667677997565,0.0016166026027856746,50099
0,base,1,0.05,False,A2,AP,T1,10.0,specificity,0.9206228332097554,0.0012101356169912352,49901
0,base,1,0.05,False,A2,AP,T1,10.0,ppv,0.9144455484038188,0.001299927452960156,46298
0,base,1,0.05,False,A2,AP,T1,10.0,prevalence,0.50099,0.0015811357307328171,100000
0,base,1,0.05,False,A2,AP,T1,10.0,nri_events_vs_A1,0.0,0.0,50099
0,base,1,0.05,False,A2,AP,T1,10.0,nri_nonevents_vs_A1,0.0,0.0,49901
0,base,1,0.05,False,A2,AP,T1,10.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A3,AP,T1,10.0,sensitivity,0.8450667677997565,0.0016166026027856746,50099
0,base,1,0.05,False,A3,AP,T1,10.0,specificity,0.9206228332097554,0.0012101356169912352,49901
0,base,1,0.05,False,A3,AP,T1,10.0,ppv,0.9144455484038188,0.001299927452960156,46298
0,base,1,0.05,False,A3,AP,T1,10.0,prevalence,0.50099,0.0015811357307328171,100000
0,base,1,0.05,False,A3,AP,T1,10.0,nri_events_vs_A1,0.0,0.0,50099
0,base,1,0.05,False,A3,AP,T1,10.0,nri_nonevents_vs_A1,0.0,0.0,49901
0,base,1,0.05,False,A3,AP,T1,10.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A4,AP,T1,10.0,sensitivity,0.8450667677997565,0.0016166026027856746,50099
0,base,1,0.05,False,A4,AP,T1,10.0,specificity,0.9206228332097554,0.0012101356169912352,49901
0,base,1,0.05,False,A4,AP,T1,10.0,ppv,0.9144455484038188,0.001299927452960156,46298
0,base,1,0.05,False,A4,AP,T1,10.0,prevalence,0.50099,0.0015811357307328171,100000
0,base,1,0.05,False,A4,AP,T1,10.0,nri_events_vs_A1,0.0,0.0,50099
0,base,1,0.05,False,A4,AP,T1,10.0,nri_nonevents_vs_A1,0.0,0.0,49901
0,base,1,0.05,False,A4,AP,T1,10.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A5,AP,T1,10.0,sensitivity,0.8450667677997565,0.0016166026027856746,50099
0,base,1,0.05,False,A5,AP,T1,10.0,specificity,0.9206228332097554,0.0012101356169912352,49901
0,base,1,0.05,False,A5,AP,T1,10.0,ppv,0.9144455484038188,0.001299927452960156,46298
0,base,1,0.05,False,A5,AP,T1,10.0,prevalence,0.50099,0.0015811357307328171,100000
0,base,1,0.05,False,A5,AP,T1,10.0,nri_events_vs_A1,0.0,0.0,50099
0,base,1,0.05,False,A5,AP,T1,10.0,nri_nonevents_vs_A1,0.0,0.0,49901
0,base,1,0.05,False,A5,AP,T1,10.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A6,AP,T1,10.0,sensitivity,0.8284995708497176,0.0016840858267288177,50099
0,base,1,0.05,False,A6,AP,T1,10.0,specificity,0.9082383118574778,0.0012923376048367494,49901
0,base,1,0.05,False,A6,AP,T1,10.0,ppv,0.9006422774812307,0.0013934534688542115,46086
0,base,1,0.05,False,A6,AP,T1,10.0,prevalence,0.50099,0.0015811357307328171,100000
0,base,1,0.05,False,A6,AP,T1,10.0,nri_events_vs_A1,-0.016567196950038925,0.001222365285971342,50099
0,base,1,0.05,False,A6,AP,T1,10.0,nri_nonevents_vs_A1,-0.012384521352277508,0.0010478943881361818,49901
0,base,1,0.05,False,A6,AP,T1,10.0,nri_vs_A1,-0.028951718302316434,0.0016100495461429452,100000
0,base,1,0.05,False,A7,AP,T1,10.0,sensitivity,0.8980418770833749,0.0013519003533247326,50099
0,base,1,0.05,False,A7,AP,T1,10.0,specificity,0.8783190717620889,0.001463466512292639,49901
0,base,1,0.05,False,A7,AP,T1,10.0,ppv,0.8810880676810998,0.0014324161697938141,51063
0,base,1,0.05,False,A7,AP,T1,10.0,prevalence,0.50099,0.0015811357307328171,100000
0,base,1,0.05,False,A7,AP,T1,10.0,nri_events_vs_A1,0.052975109283618434,0.0010006958504329357,50099
0,base,1,0.05,False,A7,AP,T1,10.0,nri_nonevents_vs_A1,-0.04230376144766638,0.0009010497254337079,49901
0,base,1,0.05,False,A7,AP,T1,10.0,nri_vs_A1,0.010671347835952055,0.001346581892339956,100000
0,base,1,0.05,False,A1,AP,T1,13.0,sensitivity,0.7942719465278048,0.002519916558470495,25733
0,base,1,0.05,False,A1,AP,T1,13.0,specificity,0.9591339356645616,0.0007264790509387512,74267
0,base,1,0.05,False,A1,AP,T1,13.0,ppv,0.8707080173809321,0.002189921357704619,23474
0,base,1,0.05,False,A1,AP,T1,13.0,prevalence,0.25733,0.00138243000220626,100000
0,base,1,0.05,False,A1,AP,T1,13.0,nri_events_vs_A1,0.0,0.0,25733
0,base,1,0.05,False,A1,AP,T1,13.0,nri_nonevents_vs_A1,0.0,0.0,74267
0,base,1,0.05,False,A1,AP,T1,13.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A2,AP,T1,13.0,sensitivity,0.7942719465278048,0.002519916558470495,25733
0,base,1,0.05,False,A2,AP,T1,13.0,specificity,0.9591339356645616,0.0007264790509387512,74267
0,base,1,0.05,False,A2,AP,T1,13.0,ppv,0.8707080173809321,0.002189921357704619,23474
0,base,1,0.05,False,A2,AP,T1,13.0,prevalence,0.25733,0.00138243000220626,100000
0,base,1,0.05,False,A2,AP,T1,13.0,nri_events_vs_A1,0.0,0.0,25733
0,base,1,0.05,False,A2,AP,T1,13.0,nri_nonevents_vs_A1,0.0,0.0,74267
0,base,1,0.05,False,A2,AP,T1,13.0,nri_vs_A1,0.0,0.0,100000
