cell,p_beat_cv,p_view_over,ai,sigma_ai_mm,ref,m,mcse_apparent,mcse_diff,mcse_true,apparent,diff,true,rel_diff_pct
0,0.05,False,independent,1.0,adj_tol1,ba_bias,0.009037514087342881,0.008919360594863118,0.0015942635089184543,0.11836731313096216,0.11628894136457442,0.0020783717663877283,
0,0.05,False,independent,1.0,adj_tol1,icc,0.00034146882356580213,0.00028791821827366484,0.00010348235235689343,0.9230342530702378,-0.052454343305264176,0.9754885963755021,
0,0.05,False,independent,1.0,adj_tol1,loa_hi,0.010622269293584032,0.010465863824070033,0.0027023760093450536,3.516388102295794,1.5561592490346734,1.9602288532611205,
0,0.05,False,independent,1.0,adj_tol1,loa_lo,0.010417832759672068,0.010266661917148754,0.002666235501538653,-3.27965347603387,-1.3235813663055247,-1.956072109728345,
0,0.05,False,independent,1.0,adj_tol1,loa_width,0.0210401020532561,0.02073252574121879,0.0053686115108837066,6.796041578329664,2.8797406153401983,3.9163009629894656,73.53215808884053
0,0.05,False,independent,1.0,adj_tol1,mae,0.0025240844409331327,0.002512667690010757,0.0009536705240680575,1.3939578758484112,0.5959988397487079,0.7979590360997034,74.69040549523135
0,0.05,False,independent,1.0,adj_tol2,ba_bias,0.008959778504277498,0.008839146529829157,0.0015942635089184543,0.1182093537749493,0.11613098200856158,0.0020783717663877283,
0,0.05,False,independent,1.0,adj_tol2,icc,0.000318450532616736,0.0002649015742317909,0.00010348235235689343,0.9260597949176989,-0.04942880145780329,0.9754885963755021,
0,0.05,False,independent,1.0,adj_tol2,loa_hi,0.010319147316225177,0.010152425866054408,0.0027023760093450536,3.442310706858185,1.482081853597064,1.9602288532611205,
0,0.05,False,independent,1.0,adj_tol2,loa_lo,0.010118021446657365,0.009960191976333696,0.002666235501538653,-3.2058919993082857,-1.249819889579941,-1.956072109728345,
0,0.05,False,independent,1.0,adj_tol2,loa_width,0.02043716876288254,0.020112617842388103,0.0053686115108837066,6.648202706166471,2.731901743177005,3.9163009629894656,69.75719611425465
0,0.05,False,independent,1.0,adj_tol2,mae,0.002355810761851624,0.0023332046461556327,0.0009536705240680575,1.3626723918274057,0.5647133557277025,0.7979590360997034,70.76971751431394
0,0.05,False,independent,1.0,adj_tol3,ba_bias,0.008794153429146726,0.008663836712387145,0.0015942635089184543,0.11642578696516048,0.11434741519877277,0.0020783717663877283,
0,0.05,False,independent,1.0,adj_tol3,icc,0.0003081456201849816,0.0002536833468452224,0.00010348235235689343,0.9269839702980908,-0.048504626077411316,0.9754885963755021,
0,0.05,False,independent,1.0,adj_tol3,loa_hi,0.01008437379987794,0.009908553497262471,0.0027023760093450536,3.4201102733667095,1.4598814201055885,1.9602288532611205,
0,0.05,False,independent,1.0,adj_tol3,loa_lo,0.009864371596871452,0.00970059443427915,0.002666235501538653,-3.1872586994363883,-1.231186589708043,-1.956072109728345,
0,0.05,False,independent,1.0,adj_tol3,loa_width,0.019948745396749394,0.019609147931541622,0.0053686115108837066,6.607368972803098,2.6910680098136313,3.9163009629894656,68.71453535479647
0,0.05,False,independent,1.0,adj_tol3,mae,0.002230941534576743,0.0022072237533470544,0.0009536705240680575,1.3526435044945697,0.5546844683948662,0.7979590360997034,69.51290019924775
0,0.05,False,independent,1.0,mean2,ba_bias,0.008781917246753602,0.008648617349679286,0.0015942635089184543,0.11549430900957078,0.11341593724318307,0.0020783717663877283,
0,0.05,False,independent,1.0,mean2,icc,0.000304140999810038,0.00024931544835942745,0.00010348235235689343,0.9271744179586069,-0.048314178416895184,0.9754885963755021,
0,0.05,False,independent,1.0,mean2,loa_hi,0.009988212209416937,0.009807179147569806,0.0027023760093450536,3.4145207615213984,1.4542919082602779,1.9602288532611205,
0,0.05,False,independent,1.0,mean2,loa_lo,0.009864807127465581,0.00970310354360072,0.002666235501538653,-3.1835321435022568,-1.2274600337739119,-1.956072109728345,
0,0.05,False,independent,1.0,mean2,loa_width,0.019853019336882518,0.019510282691170527,0.0053686115108837066,6.598052905023655,2.6817519420341895,3.9163009629894656,68.47665609404808
0,0.05,False,independent,1.0,mean2,mae,0.0021924401514949645,0.002167788361311781,0.0009536705240680575,1.3504886181026805,0.552529582002977,0.7979590360997034,69.24285044801968
0,0.05,False,independent,1.0,single,ba_bias,0.008863109919592957,0.00873213592536614,0.0015942635089184543,0.11597877066879639,0.11390039890240865,0.0020783717663877283,
0,0.05,False,independent,1.0,single,icc,0.0003714768771237371,0.0003198095675322482,0.00010348235235689343,0.9174253550237809,-0.0580632413517212,0.9754885963755021,
0,0.05,False,independent,1.0,single,loa_hi,0.01077191083574869,0.010642723985725633,0.0027023760093450536,3.6553252147325024,1.6950963614713819,1.9602288532611205,
0,0.05,False,independent,1.0,single,loa_lo,0.010580042013423607,0.010437328919100815,0.002666235501538653,-3.4233676733949094,-1.4672955636665646,-1.956072109728345,
0,0.05,False,independent,1.0,single,loa_width,0.021351952849172295,0.02108005290482645,0.0053686115108837066,7.078692888127412,3.162391925137946,3.9163009629894656,80.74946116306569
0,0.05,False,independent,1.0,single,mae,0.002713873840325116,0.0027164621861828033,0.0009536705240680575,1.4525037672983752,0.6545447311986718,0.7979590360997034,82.02736000058125
0,0.05,False,independent,2.0,adj_tol1,ba_bias,0.009427708131268338,0.008919360594863118,0.0031885270178369086,0.12044568489734987,0.11628894136457442,0.0041567435327754575,
0,0.05,False,independent,2.0,adj_tol1,icc,0.0005384796227932859,0.00031721437146049834,0.00036141998925160433,0.8604757562222053,-0.04837837227466846,0.9088541284968737,
0,0.05,False,independent,2.0,adj_tol1,loa_hi,0.011281707871429127,0.010294557066399361,0.005404752018690106,4.923170034443723,1.0027123279214814,3.920457706522241,
0,0.05,False,independent,2.0,adj_tol1,loa_lo,0.011078313283862223,0.010083417396591082,0.005332471003077305,-4.682278664649022,-0.7701344451923325,-3.91214421945669,
0,0.05,False,independent,2.0,adj_tol1,loa_width,0.02236002115529135,0.020377974462990445,0.010737223021767411,9.605448699092745,1.7728467731138138,7.832601925978931,22.634199846588533
0,0.05,False,independent,2.0,adj_tol1,mae,0.0026795566875299,0.0023188165765213446,0.001907341048136115,1.9714702320278608,0.3755521598284536,1.5959180721994068,23.53204505735612
0,0.05,False,independent,2.0,adj_tol2,ba_bias,0.009354576558421729,0.008839146529829157,0.0031885270178369086,0.12028772554133704,0.11613098200856158,0.0041567435327754575,
0,0.05,False,independent,2.0,adj_tol2,icc,0.0005209489886134844,0.00029934907636659753,0.00036141998925160433,0.8631110336534321,-0.04574309484344166,0.9088541284968737,
0,0.05,False,independent,2.0,adj_tol2,loa_hi,0.01109655623071053,0.010061648966597978,0.005404752018690106,4.870762025089587,0.9503043185673461,3.920457706522241,
0,0.05,False,independent,2.0,adj_tol2,loa_lo,0.010880190577363275,0.00984468814754762,0.005332471003077305,-4.630186574006913,-0.7180423545502228,-3.91214421945669,
0,0.05,False,independent,2.0,adj_tol2,loa_width,0.021976746808073804,0.0199063371141456,0.010737223021767411,9.5009485990965,1.668346673117569,7.832601925978931,21.300031444009026
0,0.05,False,independent,2.0,adj_tol2,mae,0.0026171025175535166,0.002205373044453248,0.001907341048136115,1.9496025782021684,0.3536845060027614,1.5959180721994068,22.16182097088059
0,0.05,False,independent,2.0,adj_tol3,ba_bias,0.009203018785353909,0.008663836712387143,0.0031885270178369086,0.11850415873154818,0.11434741519877276,0.0041567435327754575,
0,0.05,False,independent,2.0,adj_tol3,icc,0.0005146243091551137,0.00029163994466509225,0.00036141998925160433,0.8638738096960271,-0.044980318800846505,0.9088541284968737,
0,0.05,False,independent,2.0,adj_tol3,loa_hi,0.01091879739534004,0.009852483183549527,0.005404752018690106,4.854913047877821,0.9344553413555793,3.920457706522241,
0,0.05,False,independent,2.0,adj_tol3,loa_lo,0.01068131468432607,0.009621993242138926,0.005332471003077305,-4.6179047304147245,-0.7057605109580338,-3.91214421945669,
0,0.05,False,independent,2.0,adj_tol3,loa_width,0.02160011207966611,0.019474476425688454,0.010737223021767411,9.472817778292544,1.640215852313613,7.832601925978931,20.940881048395884
0,0.05,False,independent,2.0,adj_tol3,mae,0.002560441645617931,0.00213367894693415,0.001907341048136115,1.9427783926080442,0.3468603204086374,1.5959180721994068,21.734218469662014
0,0.05,False,independent,2.0,mean2,ba_bias,0.009193960586614517,0.008648617349679286,0.0031885270178369086,0.11757268077595852,0.11341593724318307,0.0041567435327754575,
0,0.05,False,independent,2.0,mean2,icc,0.0005120288919318395,0.0002883461146906931,0.00036141998925160433,0.8640228439020923,-0.04483128459478142,0.9088541284968737,
0,0.05,False,independent,2.0,mean2,loa_hi,0.0108502736231977,0.009767144962537772,0.005404752018690106,4.850738758742725,0.9302810522204847,3.920457706522241,
0,0.05,False,independent,2.0,mean2,loa_lo,0.010691960510136059,0.009636522835008505,0.005332471003077305,-4.615593397190809,-0.7034491777341186,-3.91214421945669,
0,0.05,False,independent,2.0,mean2,loa_width,0.02154223413333376,0.01940366779754628,0.010737223021767411,9.466332155933534,1.6337302299546033,7.832601925978931,20.85807813794159
0,0.05,False,independent,2.0,mean2,mae,0.002541291781789094,0.0021068468963749737,0.001907341048136115,1.9412458009435407,0.3453277287441338,1.5959180721994068,21.638186493384467
0,0.05,False,independent,2.0,single,ba_bias,0.009270522603728557,0.008732135925366142,0.0031885270178369086,0.11805714243518411,0.11390039890240865,0.0041567435327754575,
0,0.05,False,independent,2.0,single,icc,0.0005597369663367523,0.0003485312853813587,0.00036141998925160433,0.855507171441033,-0.053346957055840735,0.9088541284968737,
0,0.05,False,independent,2.0,single,loa_hi,0.011323857989805983,0.010395313035073583,0.005404752018690106,5.023310663238271,1.1028529567160295,3.920457706522241,
0,0.05,False,independent,2.0,single,loa_lo,0.011163086931071329,0.01018974785675477,0.005332471003077305,-4.787196378367902,-0.875052158911212,-3.91214421945669,
0,0.05,False,independent,2.0,single,loa_width,0.022486944920877314,0.020585060891828353,0.010737223021767411,9.810507041606172,1.9779051156272414,7.832601925978931,25.252210367885375
0,0.05,False,independent,2.0,single,mae,0.0028187527940996627,0.0025116101644000223,0.001907341048136115,2.012977011287853,0.4170589390884461,1.5959180721994068,26.13285395745148
0,0.05,False,independent,3.0,adj_tol1,ba_bias,0.010058332496471926,0.008919360594863118,0.004782790526755364,0.12252405666373761,0.11628894136457442,0.006235115299163185,
0,0.05,False,independent,3.0,adj_tol1,icc,0.0007912602753986894,0.0003536588854442912,0.0006637096645562298,0.7734818955357036,-0.042851107654877436,0.8163330031905809,
0,0.05,False,independent,3.0,adj_tol1,loa_hi,0.012625392935113841,0.010198047714251745,0.008107128028035161,6.622369075342061,0.7416825155586994,5.880686559783361,
0,0.05,False,independent,3.0,adj_tol1,loa_lo,0.01243271861678511,0.009990218498918964,0.007998706504615958,-6.377320962014586,-0.5091046328295507,-5.868216329185036,
0,0.05,False,independent,3.0,adj_tol1,loa_width,0.02505811155189895,0.020188266213170707,0.016105834532651117,12.999690037356647,1.25078714838825,11.748902888968397,10.645991036002803
0,0.05,False,independent,3.0,adj_tol1,mae,0.0032852790392742096,0.00226149255688772,0.0028610115722041726,2.6619006813770825,0.26802357307797203,2.3938771082991104,11.196212710702063
0,0.05,False,independent,3.0,adj_tol2,ba_bias,0.009991092362738497,0.008839146529829157,0.004782790526755364,0.12236609730772477,0.11613098200856158,0.006235115299163185,
0,0.05,False,independent,3.0,adj_tol2,icc,0.000778557556853286,0.00034046865045115227,0.0006637096645562298,0.7756178945262543,-0.04071510866432669,0.8163330031905809,
0,0.05,False,independent,3.0,adj_tol2,loa_hi,0.012515235916251076,0.010007813371056577,0.008107128028035161,6.583645765517816,0.7029592057344537,5.880686559783361,
0,0.05,False,independent,3.0,adj_tol2,loa_lo,0.012300150007934321,0.009787769813147688,0.007998706504615958,-6.338913570902366,-0.47069724171733074,-5.868216329185036,
0,0.05,False,independent,3.0,adj_tol2,loa_width,0.024815385924185397,0.019795583184204265,0.016105834532651117,12.922559336420182,1.1736564474517843,11.748902888968397,9.989498241182895
0,0.05,False,independent,3.0,adj_tol2,mae,0.003271168840519511,0.0021835903136686614,0.0028610115722041726,2.6458616433414917,0.25198453504238144,2.3938771082991104,10.526210145408035
0,0.05,False,independent,3.0,adj_tol3,ba_bias,0.009855827071510472,0.008663836712387145,0.004782790526755364,0.12058253049793595,0.11434741519877276,0.006235115299163185,
0,0.05,False,independent,3.0,adj_tol3,icc,0.0007743738488866874,0.00033522682863670953,0.0006637096645562298,0.7761890212871436,-0.0401439819034373,0.8163330031905809,
0,0.05,False,independent,3.0,adj_tol3,loa_hi,0.01237721344870412,0.009815221997185613,0.008107128028035161,6.5717366560627175,0.6910500962793561,5.880686559783361,
0,0.05,False,independent,3.0,adj_tol3,loa_lo,0.012139809441248685,0.009583302148893726,0.007998706504615958,-6.330571595066846,-0.46235526588181064,-5.868216329185036,
0,0.05,False,independent,3.0,adj_tol3,loa_width,0.024517022889952805,0.019398524146079336,0.016105834532651117,12.902308251129565,1.1534053621611666,11.748902888968397,9.817132485145942
0,0.05,False,independent,3.0,adj_tol3,mae,0.003237138188984624,0.002130877928855915,0.0028610115722041726,2.6409186222140972,0.24704151391498633,2.3938771082991104,10.319724143672248
0,0.05,False,independent,3.0,mean2,ba_bias,0.009849827626885247,0.008648617349679286,0.004782790526755364,0.11965105254234623,0.11341593724318307,0.006235115299163185,
0,0.05,False,independent,3.0,mean2,icc,0.0007727188717618222,0.0003330967367938596,0.0006637096645562298,0.776289517573831,-0.040043485616749835,0.8163330031905809,
0,0.05,False,independent,3.0,mean2,loa_hi,0.01233087507770718,0.00974096057512771,0.008107128028035161,6.5684479146572015,0.6877613548738395,5.880686559783361,
0,0.05,False,independent,3.0,mean2,loa_lo,0.01215159334170206,0.00960159374645503,0.007998706504615958,-6.329145809572508,-0.4609294803874734,-5.868216329185036,
0,0.05,False,independent,3.0,mean2,loa_width,0.02448246841940924,0.019342554321582738,0.016105834532651117,12.89759372422971,1.1486908352613128,11.748902888968397,9.777005105216022
0,0.05,False,independent,3.0,mean2,mae,0.003232158791173023,0.002112533711741563,0.0028610115722041726,2.639837692115261,0.2459605838161508,2.3938771082991104,10.274570192573917
0,0.05,False,independent,3.0,single,ba_bias,0.009920373658155983,0.008732135925366142,0.004782790526755364,0.12013551420157186,0.11390039890240865,0.006235115299163185,
0,0.05,False,independent,3.0,single,icc,0.0008030630511090542,0.0003843090182018294,0.0006637096645562298,0.7693543207251868,-0.046978682465394085,0.8163330031905809,
0,0.05,False,independent,3.0,single,loa_hi,0.012604307557402508,0.010244115918881799,0.008107128028035161,6.697140288745672,0.8164537289623097,5.880686559783361,
0,0.05,False,independent,3.0,single,loa_lo,0.012467620712888572,0.010046188276605158,0.007998706504615958,-6.456869260342528,-0.5886529311574925,-5.868216329185036,
0,0.05,False,independent,3.0,single,loa_width,0.02507192827029108,0.020290304195486955,0.016105834532651117,13.154009549088201,1.4051066601198023,11.748902888968397,11.959471223812086
0,0.05,False,independent,3.0,single,mae,0.0033623351554083235,0.002429533759993582,0.0028610115722041726,2.693098797512968,0.29922168921385833,2.3938771082991104,12.499459064816419
0,0.05,False,inherited,1.0,adj_tol1,ba_bias,0.009035282442330818,0.008919360594863118,0.0016296164096491227,0.008952163792489656,0.11628894136457442,-0.10733677757208478,
0,0.05,False,inherited,1.0,adj_tol1,icc,0.00034728331631495257,0.00028757512141655583,0.00011208789485140208,0.9206456568422254,-0.052006336006773415,0.9726519928489988,
0,0.05,False,inherited,1.0,adj_tol1,loa_hi,0.01049025642611913,0.010366735779835079,0.002762868403277297,3.3814908322201016,1.4806675648846543,1.9008232673354475,
0,0.05,False,inherited,1.0,adj_tol1,loa_lo,0.01058745777788514,0.010403713368556678,0.0027446923470177288,-3.3635865046351223,-1.2480896821555056,-2.115496822479617,
0,0.05,False,inherited,1.0,adj_tol1,loa_width,0.02107771420400427,0.020770449148391757,0.005507560750295026,6.745077336855224,2.7287572470401598,4.016320089815064,67.94172740265351
0,0.05,False,inherited,1.0,adj_tol1,mae,0.0024907479235798673,0.0024695618411078564,0.000987465741145974,1.3806880497955196,0.5581644446466266,0.8225236051488928,67.859991026712
0,0.05,False,inherited,1.0,adj_tol2,ba_bias,0.008958481140991558,0.008839146529829157,0.0016296164096491227,0.008794204436476816,0.11613098200856158,-0.10733677757208478,
0,0.05,False,inherited,1.0,adj_tol2,icc,0.00032203970727214513,0.0002617094250559003,0.00011208789485140208,0.9238072285885388,-0.04884476426046002,0.9726519928489988,
0,0.05,False,inherited,1.0,adj_tol2,loa_hi,0.01016991013511478,0.010030900967539641,0.002762868403277297,3.3070495286259782,1.4062262612905307,1.9008232673354475,
0,0.05,False,inherited,1.0,adj_tol2,loa_lo,0.010299063899882582,0.010099135192689283,0.0027446923470177288,-3.289461119753025,-1.1739642972734077,-2.115496822479617,
0,0.05,False,inherited,1.0,adj_tol2,loa_width,0.02046897403499736,0.020130036160228924,0.005507560750295026,6.596510648379003,2.580190558563938,4.016320089815064,64.24265249941138
0,0.05,False,inherited,1.0,adj_tol2,mae,0.002305645103248002,0.0022691412352517674,0.000987465741145974,1.3491364414803027,0.5266128363314099,0.8225236051488928,64.02403931448055
0,0.05,False,inherited,1.0,adj_tol3,ba_bias,0.008793095545453917,0.008663836712387145,0.0016296164096491227,0.007010637626687993,0.11434741519877276,-0.10733677757208478,
0,0.05,False,inherited,1.0,adj_tol3,icc,0.0003113495460927802,0.0002498871193319548,0.00011208789485140208,0.9247786622179803,-0.04787333063101849,0.9726519928489988,
0,0.05,False,inherited,1.0,adj_tol3,loa_hi,0.009927694893797275,0.009775902956570685,0.002762868403277297,3.284392930794208,1.3835696634587606,1.9008232673354475,
0,0.05,False,inherited,1.0,adj_tol3,loa_lo,0.010050056566597899,0.00984318318554987,0.0027446923470177288,-3.2703716555408318,-1.1548748330612153,-2.115496822479617,
0,0.05,False,inherited,1.0,adj_tol3,loa_width,0.019977751460395175,0.019619086142120556,0.005507560750295026,6.55476458633504,2.538444496519976,4.016320089815064,63.20324176743745
0,0.05,False,inherited,1.0,adj_tol3,mae,0.002177308105124264,0.0021373069726454857,0.000987465741145974,1.3389250069748009,0.5164014018259081,0.8225236051488928,62.78256314995719
0,0.05,False,inherited,1.0,mean2,ba_bias,0.00878096722718085,0.008648617349679286,0.0016296164096491227,0.006079159671098297,0.11341593724318307,-0.10733677757208478,
0,0.05,False,inherited,1.0,mean2,icc,0.0003074640226370729,0.00024555116500161897,0.00011208789485140208,0.9249818652689287,-0.047670127580070144,0.9726519928489988,
0,0.05,False,inherited,1.0,mean2,loa_hi,0.009826419185305668,0.009669131791199399,0.002762868403277297,3.2785646710353777,1.3777414036999298,1.9008232673354475,
0,0.05,False,inherited,1.0,mean2,loa_lo,0.01005058285008415,0.009843259667605764,0.0027446923470177288,-3.266406351693181,-1.1509095292135636,-2.115496822479617,
0,0.05,False,inherited,1.0,mean2,loa_width,0.019877002035389817,0.019512391458805164,0.005507560750295026,6.544971022728559,2.5286509329134934,4.016320089815064,62.95939756708803
0,0.05,False,inherited,1.0,mean2,mae,0.002139338841258324,0.0020974902698619046,0.000987465741145974,1.3367104338550717,0.5141868287061788,0.8225236051488928,62.51332186546805
0,0.05,False,inherited,1.0,single,ba_bias,0.00886079821487809,0.008732135925366142,0.0016296164096491227,0.006563621330323905,0.11390039890240865,-0.10733677757208478,
0,0.05,False,inherited,1.0,single,icc,0.0003779004288438265,0.0003201778204585512,0.00011208789485140208,0.9148003801069894,-0.05785161274200951,0.9726519928489988,
0,0.05,False,inherited,1.0,single,loa_hi,0.01062600291815559,0.010524881279365798,0.002762868403277297,3.5206405555679923,1.6198172882325448,1.9008232673354475,
0,0.05,False,inherited,1.0,single,loa_lo,0.010743202322169883,0.010563215974365648,0.0027446923470177288,-3.507513312907345,-1.3920164904277277,-2.115496822479617,
0,0.05,False,inherited,1.0,single,loa_width,0.021369205240325474,0.021088097253731446,0.005507560750295026,7.0281538684753375,3.0118337786602725,4.016320089815064,74.98988405575402
0,0.05,False,inherited,1.0,single,mae,0.0026770120013139857,0.002664929351429477,0.000987465741145974,1.4396606065347568,0.6171370013858639,0.8225236051488928,75.02970097425352
0,0.05,False,inherited,2.0,adj_tol1,ba_bias,0.009424420749558425,0.008919360594863118,0.0032029729897016645,0.011030535558877388,0.11628894136457442,-0.10525840580569702,
0,0.05,False,inherited,2.0,adj_tol1,icc,0.0005569792323559634,0.0003164368454695358,0.0003839934154795832,0.8553144486314452,-0.04779584337083459,0.9031102920022798,
0,0.05,False,inherited,2.0,adj_tol1,loa_hi,0.011192335386160029,0.010225648398246922,0.0054376231301376315,4.795412054680695,0.959616637123445,3.8357954175572506,
0,0.05,False,inherited,2.0,adj_tol1,loa_lo,0.011175479444464157,0.010180717985586438,0.00536163302827133,-4.77335098356294,-0.7270387543942961,-4.046312229168644,
0,0.05,False,inherited,2.0,adj_tol1,loa_width,0.022367814830624187,0.02040636638383336,0.010799256158408961,9.568763038243635,1.6866553915177411,7.8821076467258955,21.398532817784485
0,0.05,False,inherited,2.0,adj_tol1,mae,0.0026585929033128217,0.002291628804491527,0.0019264969533602553,1.9618082346685388,0.3536901521927472,1.6081180824757917,21.99404111221861
0,0.05,False,inherited,2.0,adj_tol2,ba_bias,0.009352176966766369,0.008839146529829157,0.0032029729897016645,0.010872576202864548,0.11613098200856158,-0.10525840580569702,
0,0.05,False,inherited,2.0,adj_tol2,icc,0.000538537609003761,0.0002965579405739169,0.0003839934154795832,0.8580489403953638,-0.04506135160691593,0.9031102920022798,
0,0.05,False,inherited,2.0,adj_tol2,loa_hi,0.01100080927338545,0.00997896151570062,0.0054376231301376315,4.742926718768933,0.9071313012116832,3.8357954175572506,
0,0.05,False,inherited,2.0,adj_tol2,loa_lo,0.010986012787933631,0.009941673957916447,0.00536163302827133,-4.721181566363204,-0.67486933719456,-4.046312229168644,
0,0.05,False,inherited,2.0,adj_tol2,loa_width,0.02198682206131908,0.019920635473617068,0.010799256158408961,9.464108285132138,1.5820006384062433,7.8821076467258955,20.070781944514316
0,0.05,False,inherited,2.0,adj_tol2,mae,0.0025906862474669415,0.002169091880103237,0.0019264969533602553,1.9398027409606946,0.3316846584849028,1.6081180824757917,20.62564074736694
0,0.05,False,inherited,2.0,adj_tol3,ba_bias,0.009200831887510991,0.008663836712387143,0.0032029729897016645,0.00908900939307572,0.11434741519877277,-0.10525840580569702,
0,0.05,False,inherited,2.0,adj_tol3,icc,0.0005321682119370952,0.0002884922427170377,0.0003839934154795832,0.8588449905983193,-0.04426530140396047,0.9031102920022798,
0,0.05,False,inherited,2.0,adj_tol3,loa_hi,0.010821960322451349,0.009764038094823058,0.0054376231301376315,4.726805283834294,0.8910098662770449,3.8357954175572506,
0,0.05,False,inherited,2.0,adj_tol3,loa_lo,0.010790529528240752,0.009722365224447619,0.00536163302827133,-4.708627265048144,-0.6623150358794995,-4.046312229168644,
0,0.05,False,inherited,2.0,adj_tol3,loa_width,0.0216124898506921,0.01948640331927068,0.010799256158408961,9.435432548882439,1.5533249021565445,7.8821076467258955,19.706973969097863
0,0.05,False,inherited,2.0,adj_tol3,mae,0.002534005578257801,0.002095177005020097,0.0019264969533602553,1.9329302308309788,0.32481214835518724,1.6081180824757917,20.198277221976134
0,0.05,False,inherited,2.0,mean2,ba_bias,0.009191875984083482,0.008648617349679286,0.0032029729897016645,0.00815753143748603,0.11341593724318307,-0.10525840580569702,
0,0.05,False,inherited,2.0,mean2,icc,0.0005297063294148744,0.00028523103148390337,0.0003839934154795832,0.8590031522320151,-0.04410713977026475,0.9031102920022798,
0,0.05,False,inherited,2.0,mean2,loa_hi,0.010750482897146545,0.009675328141884664,0.0054376231301376315,4.722474369480221,0.8866789519229709,3.8357954175572506,
0,0.05,False,inherited,2.0,mean2,loa_lo,0.010801983303566952,0.009735185040980083,0.00536163302827133,-4.706159306605248,-0.6598470774366049,-4.046312229168644,
0,0.05,False,inherited,2.0,mean2,loa_width,0.021552466200713497,0.01941051318286475,0.010799256158408961,9.428633676085468,1.5465260293595757,7.8821076467258955,19.620716928447155
0,0.05,False,inherited,2.0,mean2,mae,0.002516883262453861,0.0020686007763887813,0.0019264969533602553,1.9313801341749501,0.3232620516991585,1.6081180824757917,20.101885254687126
0,0.05,False,inherited,2.0,single,ba_bias,0.009267144912366245,0.00873213592536614,0.0032029729897016645,0.008641993096711634,0.11390039890240865,-0.10525840580569702,
0,0.05,False,inherited,2.0,single,icc,0.0005781531649335928,0.00034798590234108774,0.0003839934154795832,0.8501710185775507,-0.05293927342472901,0.9031102920022798,
0,0.05,False,inherited,2.0,single,loa_hi,0.011222598461522836,0.01031021252611981,0.0054376231301376315,4.895330296793235,1.059534879235985,3.8357954175572506,
0,0.05,False,inherited,2.0,single,loa_lo,0.011263171684971434,0.010279995699282259,0.00536163302827133,-4.878046310599812,-0.8317340814311679,-4.046312229168644,
0,0.05,False,inherited,2.0,single,loa_width,0.02248577014649427,0.02059020822540207,0.010799256158408961,9.773376607393047,1.891268960667153,7.8821076467258955,23.99445738923341
0,0.05,False,inherited,2.0,single,mae,0.0027926388823084026,0.0024743892363654325,0.0019264969533602553,2.0032350494815265,0.3951169670057346,1.6081180824757917,24.570146391080247
0,0.05,False,inherited,3.0,adj_tol1,ba_bias,0.010054175072499045,0.008919360594863118,0.00479017479583544,0.013108907325265113,0.11628894136457442,-0.1031800340393093,
0,0.05,False,inherited,3.0,adj_tol1,icc,0.0008205478676611628,0.0003538264089615441,0.0006974207612916833,0.7652078381544851,-0.042136158709027836,0.8073439968635129,
0,0.05,False,inherited,3.0,adj_tol1,loa_hi,0.01256667597249834,0.010146326849166734,0.00812973536639163,6.499130638520404,0.7116581467668095,5.787472491753594,
0,0.05,False,inherited,3.0,adj_tol1,loa_lo,0.012486382057694282,0.010061110463405167,0.008013537818619515,-6.472912823869873,-0.47908026403766063,-5.993832559832212,
0,0.05,False,inherited,3.0,adj_tol1,loa_width,0.025053058030192622,0.0202074373125719,0.016143273185011145,12.972043462390277,1.19073841080447,11.781305051585806,10.107016205680816
0,0.05,False,inherited,3.0,adj_tol1,mae,0.003278537298582877,0.002249934080319748,0.002873779828655541,2.654447516872408,0.2526047196114397,2.401842797260969,10.517121266200556
0,0.05,False,inherited,3.0,adj_tol2,ba_bias,0.00998776230963009,0.008839146529829157,0.00479017479583544,0.012950947969252278,0.11613098200856158,-0.1031800340393093,
0,0.05,False,inherited,3.0,adj_tol2,icc,0.0008076376083023066,0.0003394059276004921,0.0006974207612916833,0.7674030461817233,-0.03994095068178958,0.8073439968635129,
0,0.05,False,inherited,3.0,adj_tol2,loa_hi,0.012455015849289848,0.009946834435534931,0.00812973536639163,6.460408398259755,0.6729359065061614,5.787472491753594,
0,0.05,False,inherited,3.0,adj_tol2,loa_lo,0.012361428671477617,0.009858025886893848,0.008013537818619515,-6.434506502321251,-0.4406739424890383,-5.993832559832212,
0,0.05,False,inherited,3.0,adj_tol2,loa_width,0.024816444520767464,0.01980486032242878,0.016143273185011145,12.894914900581007,1.1136098489951998,11.781305051585806,9.45234712214929
0,0.05,False,inherited,3.0,adj_tol2,mae,0.0032631552054993287,0.002165900826609817,0.002873779828655541,2.6383449135262165,0.23650211626524756,2.401842797260969,9.846694235565773
