cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,anchor_alpha,metric,value,mcse,n,test
0,0.05,0.0,1.0,100,0.5,power_reject_welch_mean,0.6595,0.010596219844831457,2000,welch_mean
0,0.05,0.0,1.0,100,0.5,power_reject_f_variance,1.0,0.0,2000,f_variance
0,0.05,0.0,1.0,100,0.5,power_reject_either_unadjusted,1.0,0.0,2000,either_unadjusted
1,0.05,0.0,2.0,10,0.0,power_reject_welch_mean,0.0375,0.004248161366991607,2000,welch_mean
1,0.05,0.0,2.0,10,0.0,power_reject_f_variance,0.0625,0.005412658773652742,2000,f_variance
1,0.05,0.0,2.0,10,0.0,power_reject_either_unadjusted,0.1,0.00670820393249937,2000,either_unadjusted
1,0.05,0.0,2.0,10,0.1,power_reject_welch_mean,0.0435,0.004561126505590478,2000,welch_mean
1,0.05,0.0,2.0,10,0.1,power_reject_f_variance,0.147,0.007918049002121673,2000,f_variance
1,0.05,0.0,2.0,10,0.1,power_reject_either_unadjusted,0.1905,0.008780938161722813,2000,either_unadjusted
1,0.05,0.0,2.0,10,0.2,power_reject_welch_mean,0.0505,0.00489641450451246,2000,welch_mean
1,0.05,0.0,2.0,10,0.2,power_reject_f_variance,0.295,0.010197426145846804,2000,f_variance
1,0.05,0.0,2.0,10,0.2,power_reject_either_unadjusted,0.3445,0.010625905843738688,2000,either_unadjusted
1,0.05,0.0,2.0,10,0.3,power_reject_welch_mean,0.06,0.0053103672189407005,2000,welch_mean
1,0.05,0.0,2.0,10,0.3,power_reject_f_variance,0.5115,0.01117738229640554,2000,f_variance
1,0.05,0.0,2.0,10,0.3,power_reject_either_unadjusted,0.5635,0.01108980951143887,2000,either_unadjusted
1,0.05,0.0,2.0,10,0.5,power_reject_welch_mean,0.0855,0.006252589463574272,2000,welch_mean
1,0.05,0.0,2.0,10,0.5,power_reject_f_variance,0.8795,0.007279414468211026,2000,f_variance
1,0.05,0.0,2.0,10,0.5,power_reject_either_unadjusted,0.9115,0.006350895606133045,2000,either_unadjusted
1,0.05,0.0,2.0,25,0.0,power_reject_welch_mean,0.0405,0.004407933189148856,2000,welch_mean
1,0.05,0.0,2.0,25,0.0,power_reject_f_variance,0.064,0.005472842040475863,2000,f_variance
