u,view_errors,r_mean,beat_cv,N_beats,cell,axis,tau,value,mcse,n,quantity
base,False,0.53,0.1,7,9,AP-SL,2.0,0.923,0.0008430361795320529,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,7,9,AP-SL,3.0,0.7889,0.0012904913405366188,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,7,9,AP-SL,4.0,0.60962,0.0015426712404138477,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,7,9,AP-SL,5.0,0.43248,0.0015666558320192728,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,7,9,AP-SL,6.0,0.29194,0.0014377448883581537,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,10,10,AP-SL,2.0,0.93364,0.0007871235633621953,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,10,10,AP-SL,3.0,0.79853,0.0012683841653852355,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,10,10,AP-SL,4.0,0.61363,0.0015397669404815782,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,10,10,AP-SL,5.0,0.4358,0.0015680508920312504,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,10,10,AP-SL,6.0,0.29083,0.0014361333889997825,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,13,11,AP-SL,2.0,0.94515,0.000720010260343559,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,13,11,AP-SL,3.0,0.81052,0.001239263206909654,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,13,11,AP-SL,4.0,0.61952,0.0015353011743628674,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,13,11,AP-SL,5.0,0.43471,0.0015676007651822578,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,13,11,AP-SL,6.0,0.28819,0.0014322587891159894,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,1,12,AP-SL,2.0,0.84523,0.0011437493042620833,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,1,12,AP-SL,3.0,0.72815,0.001406938440373281,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,1,12,AP-SL,4.0,0.59344,0.0015532835105028316,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,1,12,AP-SL,5.0,0.45833,0.0015756383185871051,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,1,12,AP-SL,6.0,0.3399,0.0014978918185236207,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,3,13,AP-SL,2.0,0.88756,0.0009989857176156223,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,3,13,AP-SL,3.0,0.75931,0.0013518813701652967,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,3,13,AP-SL,4.0,0.60003,0.0015491739705404298,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,3,13,AP-SL,5.0,0.44252,0.001570656071837498,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,3,13,AP-SL,6.0,0.31107,0.0014639175355873023,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,5,14,AP-SL,2.0,0.90447,0.0009295376221541547,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,5,14,AP-SL,3.0,0.77047,0.0013298344975973514,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,5,14,AP-SL,4.0,0.60053,0.0015488502803692808,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,5,14,AP-SL,5.0,0.43755,0.0015687574621336467,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,5,14,AP-SL,6.0,0.30311,0.0014533902707118966,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,7,15,AP-SL,2.0,0.91453,0.0008841090379585543,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,7,15,AP-SL,3.0,0.7807,0.0013084628768138592,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,7,15,AP-SL,4.0,0.60669,0.0015447240656505613,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,7,15,AP-SL,5.0,0.43663,0.0015683884821688788,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,7,15,AP-SL,6.0,0.30029,0.0014495375672951701,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,10,16,AP-SL,2.0,0.92819,0.0008164148694138295,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,10,16,AP-SL,3.0,0.79233,0.0012827438212675204,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,10,16,AP-SL,4.0,0.6102,0.0015422579550775544,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,10,16,AP-SL,5.0,0.4342,0.00156738750792521,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,10,16,AP-SL,6.0,0.29396,0.001440650958421227,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,13,17,AP-SL,2.0,0.93946,0.000754154549147587,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,13,17,AP-SL,3.0,0.80407,0.0012551551103349738,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,13,17,AP-SL,4.0,0.61485,0.0015388615191108002,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,13,17,AP-SL,5.0,0.43332,0.0015670155634198405,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.15,13,17,AP-SL,6.0,0.29056,0.0014357398315850963,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,1,18,AP-SL,2.0,0.82119,0.0012117631117508076,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,1,18,AP-SL,3.0,0.70687,0.001439461021007516,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,1,18,AP-SL,4.0,0.58049,0.001560517093466137,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,1,18,AP-SL,5.0,0.45736,0.0015753787811190044,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,1,18,AP-SL,6.0,0.35108,0.0015093801164716592,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,3,19,AP-SL,2.0,0.86791,0.0010707111277090569,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,3,19,AP-SL,3.0,0.73907,0.0013886883563276535,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,3,19,AP-SL,4.0,0.5885,0.001556173994127906,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,3,19,AP-SL,5.0,0.44203,0.0015704759759385051,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,3,19,AP-SL,6.0,0.31653,0.0014708458760182863,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,5,20,AP-SL,2.0,0.88618,0.0010043157252577499,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,5,20,AP-SL,3.0,0.75229,0.0013650998348106265,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,5,20,AP-SL,4.0,0.59264,0.0015537626279454658,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,5,20,AP-SL,5.0,0.43696,0.0015685214643096218,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,5,20,AP-SL,6.0,0.31,0.0014625320509308504,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,7,21,AP-SL,2.0,0.89775,0.000958096746158758,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,7,21,AP-SL,3.0,0.75845,0.0013535272346724319,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,7,21,AP-SL,4.0,0.59111,0.0015546670637149294,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,7,21,AP-SL,5.0,0.43097,0.001565997634417115,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,7,21,AP-SL,6.0,0.30085,0.0014503078207746105,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,10,22,AP-SL,2.0,0.91402,0.0008864955702088983,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,10,22,AP-SL,3.0,0.77525,0.0013199902935249184,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,10,22,AP-SL,4.0,0.60086,0.0015486357234675947,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,10,22,AP-SL,5.0,0.43373,0.001567189481524171,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,10,22,AP-SL,6.0,0.2988,0.0014474755956491979,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,13,23,AP-SL,2.0,0.93276,0.0007919519076307599,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,13,23,AP-SL,3.0,0.79693,0.001272134328992029,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,13,23,AP-SL,4.0,0.61211,0.0015408807478192463,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,13,23,AP-SL,5.0,0.43449,0.0015675089789216519,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.2,13,23,AP-SL,6.0,0.2945,0.0014414220409026636,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,1,24,AP-SL,2.0,0.80089,0.001262795343276178,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,1,24,AP-SL,3.0,0.68835,0.0014646647312610487,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,1,24,AP-SL,4.0,0.57018,0.0015654864023682863,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,1,24,AP-SL,5.0,0.46021,0.0015761242206755151,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,1,24,AP-SL,6.0,0.36345,0.0015210328645364635,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,3,25,AP-SL,2.0,0.84284,0.001150915871816876,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,3,25,AP-SL,3.0,0.71325,0.0014301204057700877,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,3,25,AP-SL,4.0,0.57321,0.001564098129594176,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,3,25,AP-SL,5.0,0.44008,0.0015697439077760422,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,3,25,AP-SL,6.0,0.32538,0.0014815797501315953,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,5,26,AP-SL,2.0,0.86463,0.0010818732046778865,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,5,26,AP-SL,3.0,0.73141,0.0014016041234956467,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,5,26,AP-SL,4.0,0.57934,0.0015611059041589716,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,5,26,AP-SL,5.0,0.43378,0.0015672106163499532,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,5,26,AP-SL,6.0,0.31492,0.0014688274017051832,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,7,27,AP-SL,2.0,0.88021,0.001026841545224968,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,7,27,AP-SL,3.0,0.74356,0.0013808639556451606,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,7,27,AP-SL,4.0,0.58368,0.0015588382135423805,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,7,27,AP-SL,5.0,0.43467,0.0015675841001362575,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,7,27,AP-SL,6.0,0.3105,0.0014631806108611472,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,10,28,AP-SL,2.0,0.90068,0.0009458093761429941,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,10,28,AP-SL,3.0,0.76244,0.0013458277987915095,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,10,28,AP-SL,4.0,0.59081,0.0015548425769189625,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,10,28,AP-SL,5.0,0.43239,0.0015666170173338472,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,10,28,AP-SL,6.0,0.3048,0.0014556680940379233,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,13,29,AP-SL,2.0,0.92889,0.0008127322308116001,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,13,29,AP-SL,3.0,0.79087,0.0012860584866171523,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,13,29,AP-SL,4.0,0.60978,0.0015425574595456727,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,13,29,AP-SL,5.0,0.43659,0.001568372315172644,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.25,13,29,AP-SL,6.0,0.29987,0.0014489581881476084,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,1,30,AP-SL,2.0,0.78479,0.001299594767225538,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,1,30,AP-SL,3.0,0.67292,0.0014835722887678916,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,1,30,AP-SL,4.0,0.56194,0.0015689596438404653,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,1,30,AP-SL,5.0,0.45941,0.001575920213399143,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,1,30,AP-SL,6.0,0.37096,0.0015275754593472627,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,3,31,AP-SL,2.0,0.82142,0.0012111531018000985,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,3,31,AP-SL,3.0,0.69666,0.0014537016351370044,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,3,31,AP-SL,4.0,0.56307,0.0015685094041796499,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,3,31,AP-SL,5.0,0.43903,0.0015693395397427543,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,3,31,AP-SL,6.0,0.33399,0.001491444534335756,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,5,32,AP-SL,2.0,0.84351,0.0011489163585744614,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,5,32,AP-SL,3.0,0.71047,0.0014342328231497143,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,5,32,AP-SL,4.0,0.56512,0.0015676714757882151,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,5,32,AP-SL,5.0,0.43147,0.0015662172234399672,100000,measured anchor |AP-SL| >= tau
