cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,T1,A1,0.0048989218412707,0.04814654519812999,0.00427651832562807,0.0034640781748995755,-0.19536505301669913,-1.787361627556288,1.5614374868027607,1.549175109756128
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,T1,A2,0.00473650344258465,0.04547398358158384,0.004343961743865571,0.0033492304495591468,-0.49824693073621923,-4.590949602836754,1.5785037395219643,1.4978139023796062
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,T1,A3,0.004808329691798551,0.04692465985839919,0.004285895183272598,0.003400019531391535,0.021064492019050272,0.569136434143983,1.5206656553275446,1.5205273567098867
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,T1,A4,0.00480812830151504,0.04692080539905941,0.004285488177418351,0.0033998771262443725,0.02085311874066114,0.5677048197610034,1.5205990631479553,1.5204636715104347
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,T1,A5,0.00473650344258465,0.04547398358158384,0.004343961743865571,0.0033492304495591468,-0.49824693073621923,-4.590949602836754,1.5785037395219643,1.4978139023796062
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,T1,A6,0.005747569515408293,0.05838163068739385,0.004793218050272019,0.004064165700565589,-0.19250451644118438,-1.7549987715922193,1.8276981391192564,1.8175410678840445
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,T1,A7,0.004791225658605234,0.04688674200074088,0.004314475288835674,0.0033879250930625585,0.06820429382782603,0.6350728653357106,1.5166453774765403,1.5151185865032863
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,T2,A1,0.0048459271135628795,0.04903022154587767,0.00430553358853691,0.003426605056204179,0.06555901902219348,0.6317934230318207,1.5338107643910799,1.5324167054024131
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,T2,A2,0.0046877088549946615,0.046541970625407235,0.004188019821831161,0.003314727293272852,-0.2373228586973267,-2.2293807887928727,1.501253341566805,1.4823836989523111
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,T2,A3,0.004779375911540938,0.047976769773086174,0.004431207596746516,0.0033795460146625526,0.28198856405794287,3.0563928857412064,1.537445322021936,1.5113713674612794
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,T2,A4,0.004778815733612334,0.04797134381759603,0.004429617685513562,0.0033791499070700225,0.28177719077955377,3.0548731742032933,1.5372324254145435,1.511194223646345
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,T2,A5,0.0046877088549946615,0.046541970625407235,0.004188019821831161,0.003314727293272852,-0.2373228586973267,-2.2293807887928727,1.501253341566805,1.4823836989523111
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,T2,A6,0.00570201709590586,0.05957440708719673,0.00481568016796622,0.0040319551147826324,0.06841955559770824,0.664443820194889,1.8044247334786498,1.8031361280281282
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,T2,A7,0.004857269938839783,0.048512569154556026,0.004625722513418327,0.003434625684978536,0.3291283658667187,3.1496839322693675,1.5708625064029318,1.5360036217000477
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,T1,A1,0.003922885637394331,0.06594568006164064,0.0031398144425518917,0.0027739129056200454,-0.12242173418375711,-1.772437778276584,1.2465451714143003,1.2405253614527487
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,T1,A2,0.0036974783936113394,0.06073049635778443,0.003124534327730487,0.002614525118071593,-0.32138071164898635,-4.639009764010452,1.2126032069872679,1.1692453323072405
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,T1,A3,0.003798239313837526,0.0633582435193732,0.0031168672505413014,0.002685774204288448,0.10136373953089953,2.2240478644661574,1.2053722950142411,1.2011087330121684
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,T1,A4,0.0037982604366564986,0.06335850197309116,0.003116870201364001,0.002685789140451662,0.10129466852790053,2.2228221730848907,1.2053731445311175,1.201115412634024
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,T1,A5,0.0036974783936113394,0.06073049635778443,0.003124534327730487,0.002614525118071593,-0.32138071164898635,-4.639009764010452,1.2126032069872679,1.1692453323072405
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,T1,A6,0.004809801294226017,0.08355903108172195,0.0036685409136485362,0.003401060116650146,-0.12235155221829434,-1.777715912329672,1.5258982984247549,1.5209927182579892
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,T1,A7,0.0037934501784178515,0.0633929614413437,0.003102823826311748,0.002682387757224898,0.04161307124298883,0.5879392874385481,1.2003098279393787,1.1995942754172526
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,T2,A1,0.003892913042388929,0.06731151420401756,0.003130146995593893,0.0027527189744720472,0.043662975661147074,0.6330387819478349,1.2318151225861018,1.231047194692463
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,T2,A2,0.0036670412510222536,0.06214508241062874,0.003002728467974829,0.002593002700534552,-0.15529600180408215,-2.292170109269932,1.169966903230464,1.159620262702358
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,T2,A3,0.003778869082807301,0.06481508192166284,0.0031881560088150274,0.0026720773140892036,0.26744844937580375,4.738877544114065,1.2245405455605243,1.1949833281262503
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,T2,A4,0.0037788724340326115,0.06481468254684303,0.0031881460625243717,0.0026720796837751944,0.2673793783728048,4.737587164946407,1.2245264959858202,1.1949843878767437
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,T2,A5,0.0036670412510222536,0.06214508241062874,0.003002728467974829,0.002593002700534552,-0.15529600180408215,-2.292170109269932,1.169966903230464,1.159620262702358
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,T2,A6,0.004784529979270324,0.08542934026686703,0.0036622300316433375,0.0033831905091272134,0.04373315762660986,0.6283879835689311,1.513625584351203,1.5130012267852424
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,T2,A7,0.003827756993877188,0.06527130339734312,0.0032595592074526254,0.002706646460370929,0.20769778108789302,3.086961847202969,1.2281270605938146,1.2104430430291104
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,T1,A1,0.00583274424845438,0.042422559131024905,0.00552954192397555,0.004124393633028646,-0.24667252002820306,-1.7392685698606387,1.8608879219392453,1.8444756834362892
