cell,p_beat_cv,p_view_over,p_ai_shared_lambda,ai,sigma_ai_mm,ref,m,mcse_apparent,mcse_diff,mcse_true,apparent,diff,true,rel_diff_pct,diff_mci_lo,diff_mci_hi
0,0.05,False,0.0,independent,1.0,adj_tol1,ba_bias,0.009072643295515563,0.008997345949930288,0.0015859586356525568,0.12382009844543594,0.1241182838600092,-0.0002981854145732572,,0.10648380970260003,0.14175275801741838
0,0.05,False,0.0,independent,1.0,adj_tol1,icc,0.00033861770905679845,0.0002890560731209378,0.00010056663149164725,0.9229654487830093,-0.05256298961245884,0.9755284383954681,,-0.05312952910975725,-0.05199645011516043
0,0.05,False,0.0,independent,1.0,adj_tol1,loa_hi,0.010559755283990498,0.01050631860813428,0.0026840660520767536,3.524833273507367,1.5677535818706498,1.9570796916367177,,1.5471615756261765,1.5883455881151232
0,0.05,False,0.0,independent,1.0,adj_tol1,loa_lo,0.010543272490182004,0.010411545187207206,0.0026756831764145994,-3.2771930766164954,-1.3195170141506314,-1.957676062465864,,-1.3399232679019308,-1.299110760399332
0,0.05,False,0.0,independent,1.0,adj_tol1,loa_width,0.0211030277741725,0.020917863795341485,0.005359749228491353,6.802026350123862,2.887270596021281,3.9147557541025817,73.75353093217839,2.8462723360255087,2.928268856017054
0,0.05,False,0.0,independent,1.0,adj_tol1,mae,0.0025447378336179056,0.002544005439404585,0.0009408109058465069,1.3968417647893048,0.598622003570754,0.7982197612185505,74.99463589537127,0.5936358444937169,0.6036081626477912
0,0.05,False,0.0,independent,1.0,adj_tol2,ba_bias,0.008945924499288131,0.008857643502043237,0.0015859586356525568,0.1217609467123832,0.12205913212695647,-0.0002981854145732572,,0.1046984697381178,0.13941979451579514
0,0.05,False,0.0,independent,1.0,adj_tol2,icc,0.0003178957689816168,0.00026788053174843756,0.00010056663149164725,0.925887049259549,-0.049641389135919256,0.9755284383954681,,-0.050166425334447054,-0.04911635293739146
0,0.05,False,0.0,independent,1.0,adj_tol2,loa_hi,0.010196887080983123,0.010124322706614262,0.0026840660520767536,3.4514831254453613,1.4944034338086436,1.9570796916367177,,1.474560125779297,1.5142467418379901
0,0.05,False,0.0,independent,1.0,adj_tol2,loa_lo,0.010274186483039018,0.010112717122381041,0.0026756831764145994,-3.207961232020595,-1.2502851695547306,-1.957676062465864,,-1.270105731056781,-1.2304646080526802
0,0.05,False,0.0,independent,1.0,adj_tol2,loa_width,0.02047107356402214,0.0202370398289953,0.005359749228491353,6.659444357465956,2.7446886033633744,3.9147557541025817,70.11136264342925,2.7050247338319773,2.7843524728947715
0,0.05,False,0.0,independent,1.0,adj_tol2,mae,0.00236004146799704,0.0023436767786102993,0.0009408109058465069,1.3660033925783723,0.5677836313598215,0.7982197612185505,71.13124216482079,0.5631901092461093,0.5723771534735336
0,0.05,False,0.0,independent,1.0,adj_tol3,ba_bias,0.008762557985981021,0.008663944240388587,0.0015859586356525568,0.12001356955929825,0.12031175497387152,-0.0002981854145732572,,0.10333073616470254,0.1372927737830405
0,0.05,False,0.0,independent,1.0,adj_tol3,icc,0.0003048220534237236,0.00025308609227476175,0.00010056663149164725,0.9269765350233452,-0.048551903372123006,0.9755284383954681,,-0.04904794300188222,-0.04805586374236379
0,0.05,False,0.0,independent,1.0,adj_tol3,loa_hi,0.009884703835462243,0.009798023471491486,0.0026840660520767536,3.4259204626454247,1.4688407710087072,1.9570796916367177,,1.449636997733429,1.4880445442839856
0,0.05,False,0.0,independent,1.0,adj_tol3,loa_lo,0.010029625404465324,0.009844817889728703,0.0026756831764145994,-3.1858933235268285,-1.2282172610609643,-1.957676062465864,,-1.2475127497113885,-1.20892177241054
0,0.05,False,0.0,independent,1.0,adj_tol3,loa_width,0.019914329239927565,0.019642841361220187,0.005359749228491353,6.611813786172253,2.6970580320696715,3.9147557541025817,68.89466933519957,2.658558770143969,2.7355572939953743
0,0.05,False,0.0,independent,1.0,adj_tol3,mae,0.002225425853506148,0.002205011640663532,0.0009408109058465069,1.3543847856211013,0.556165024402551,0.7982197612185505,69.67567722872678,0.5518432809672695,0.5604867678378325
0,0.05,False,0.0,independent,1.0,mean2,ba_bias,0.008712507503863978,0.008612266307218668,0.0015859586356525568,0.11961729717795663,0.1199154825925299,-0.0002981854145732572,,0.10303575067196838,0.13679521451309143
0,0.05,False,0.0,independent,1.0,mean2,icc,0.0003015625740825424,0.0002493207314037241,0.00010056663149164725,0.9271992770899318,-0.04832916130553647,0.9755284383954681,,-0.04881782096354143,-0.0478405016475315
0,0.05,False,0.0,independent,1.0,mean2,loa_hi,0.009797133843106817,0.009710540783646067,0.0026840660520767536,3.42050852544218,1.4634288338054622,1.9570796916367177,,1.4443965234489842,1.4824611441619402
0,0.05,False,0.0,independent,1.0,mean2,loa_lo,0.009955700263598606,0.009770665753129027,0.0026756831764145994,-3.1812739310862663,-1.223597868620402,-1.957676062465864,,-1.242748021752568,-1.2044477154882363
0,0.05,False,0.0,independent,1.0,mean2,loa_width,0.019752834106705423,0.019481206536775094,0.005359749228491353,6.601782456528446,2.6870267024258645,3.9147557541025817,68.6384252608842,2.6488442389372207,2.7252091659145083
0,0.05,False,0.0,independent,1.0,mean2,mae,0.0021768346822175376,0.002159110046106181,0.0009408109058465069,1.3519366187885618,0.553716857570011,0.7982197612185505,69.36897386813814,0.5494850796076045,0.5579486355324175
0,0.05,False,0.0,independent,1.0,single,ba_bias,0.008771962763143846,0.008677540832030853,0.0015859586356525568,0.120134753074279,0.12043293848885227,-0.0002981854145732572,,0.10342527084954176,0.13744060612816278
0,0.05,False,0.0,independent,1.0,single,icc,0.0003666579096380515,0.00031736326223968974,0.00010056663149164725,0.9175857970505698,-0.05794264134489846,0.9755284383954681,,-0.05856466191381081,-0.05732062077598611
0,0.05,False,0.0,independent,1.0,single,loa_hi,0.010592611334617764,0.010533186773829906,0.0026840660520767536,3.660304692286222,1.703225000649505,1.9570796916367177,,1.6825803337675223,1.723869667531488
0,0.05,False,0.0,independent,1.0,single,loa_lo,0.010615112693093638,0.010443472999328548,0.0026756831764145994,-3.4200351861376643,-1.4623591236718003,-1.957676062465864,,-1.4828279547854564,-1.4418902925581443
0,0.05,False,0.0,independent,1.0,single,loa_width,0.0212077240277114,0.020976659773158456,0.005359749228491353,7.080339878423887,3.165584124321305,3.9147557541025817,80.86287684752337,3.1244706263256665,3.206697622316944
0,0.05,False,0.0,independent,1.0,single,mae,0.002712810300135467,0.0027085831799232695,0.0009408109058465069,1.4536166105654194,0.6553968493468685,0.7982197612185505,82.10731946129087,0.6500881238232133,0.6607055748705236
0,0.05,False,0.0,independent,2.0,adj_tol1,ba_bias,0.009418280532061146,0.008997345949930288,0.0031719172713051136,0.1235219130308627,0.1241182838600092,-0.000596370829146518,,0.10648380970260003,0.14175275801741838
0,0.05,False,0.0,independent,2.0,adj_tol1,icc,0.0005282861990104623,0.0003201224928012012,0.0003520120505073868,0.860722244070411,-0.04823114413481922,0.9089533882052301,,-0.04885857269629983,-0.04760371557333861
0,0.05,False,0.0,independent,2.0,adj_tol1,loa_hi,0.011088583135864263,0.010259389637281726,0.005368132104153507,4.92470205279559,1.010542669522155,3.9141593832734354,,0.9904346351711099,1.0306507038732002
0,0.05,False,0.0,independent,2.0,adj_tol1,loa_lo,0.01126049621355745,0.010292006138246509,0.005351366352829199,-4.6776582267338656,-0.762306101802137,-3.915352124931728,,-0.7824780633208792,-0.7421341402833947
0,0.05,False,0.0,independent,2.0,adj_tol1,loa_width,0.022349079349421715,0.020551395775528235,0.010719498456982706,9.602360279529456,1.7728487713242922,7.829511508205163,22.643159403576888,1.7325687754545047,1.8131287671940797
0,0.05,False,0.0,independent,2.0,adj_tol1,mae,0.002713013924000513,0.002356368279906611,0.001881621811693014,1.9736096629908364,0.3771701405537351,1.596439522437101,23.62570803671615,0.3725517435543762,0.381788537553094
0,0.05,False,0.0,independent,2.0,adj_tol2,ba_bias,0.0093076211500383,0.008857643502043235,0.0031719172713051136,0.12146276129780995,0.12205913212695647,-0.000596370829146518,,0.1046984697381178,0.13941979451579514
0,0.05,False,0.0,independent,2.0,adj_tol2,icc,0.000515713910244675,0.0003066688345343317,0.0003520120505073868,0.8631486221724571,-0.04580476603277302,0.9089533882052301,,-0.04640582590838226,-0.04520370615716377
0,0.05,False,0.0,independent,2.0,adj_tol2,loa_hi,0.010886533598970334,0.010002305006541538,0.005368132104153507,4.873432098477305,0.9592727152038697,3.9141593832734354,,0.9396685574740286,0.9788768729337108
0,0.05,False,0.0,independent,2.0,adj_tol2,loa_lo,0.011088271976339069,0.010046421483891984,0.005351366352829199,-4.630506575881685,-0.7151544509499568,-3.915352124931728,,-0.7348450753872117,-0.6954638265127019
0,0.05,False,0.0,independent,2.0,adj_tol2,loa_width,0.021974805575309404,0.020048726490433523,0.010719498456982706,9.50393867435899,1.6744271661538264,7.829511508205163,21.3861000702159,1.6351323839867302,1.7137219483209225
0,0.05,False,0.0,independent,2.0,adj_tol2,mae,0.0026248004913030105,0.002216951782024023,0.001881621811693014,1.9525466934096665,0.35610717097256533,1.596439522437101,22.30633644229362,0.3517620252900624,0.36045231665506827
0,0.05,False,0.0,independent,2.0,adj_tol3,ba_bias,0.009139553856879383,0.008663944240388587,0.0031719172713051136,0.11971538414472499,0.12031175497387153,-0.000596370829146518,,0.10333073616470255,0.1372927737830405
0,0.05,False,0.0,independent,2.0,adj_tol3,icc,0.0005071773140287686,0.00029439881401914215,0.0003520120505073868,0.8641168934330145,-0.04483649477221571,0.9089533882052301,,-0.04541350584933593,-0.0442594836950955
0,0.05,False,0.0,independent,2.0,adj_tol3,loa_hi,0.010660768955823,0.00973121491199358,0.005368132104153507,4.854365626896591,0.9402062436231565,3.9141593832734354,,0.921133412719386,0.9592790745269271
0,0.05,False,0.0,independent,2.0,adj_tol3,loa_lo,0.010914978795318194,0.009808491723757348,0.005351366352829199,-4.614934858607142,-0.6995827336754136,-3.915352124931728,,-0.7188070243482759,-0.6803584430025512
0,0.05,False,0.0,independent,2.0,adj_tol3,loa_width,0.021575747751141194,0.019539706635750928,0.010719498456982706,9.469300485503734,1.63978897729857,7.829511508205163,20.94369457890324,1.601491855721937,1.678086098875203
