cell,p_beat_cv,p_view_over,p_ai_shared_lambda,ai,sigma_ai_mm,ref,metric,value,mcse,n,mci_lo,mci_hi,note
0,0.05,False,0.0,inherited,1.0,T1,p_lower_mae_than_independent,0.064,0.005472842040475863,2000,0.05327342662298077,0.07472657337701924,
0,0.05,False,0.0,inherited,1.0,T1,paired_mae_diff_mean,0.026906646765452437,0.00039586157994667023,2000,0.026130772319773843,0.02768252121113103,
0,0.05,False,0.0,inherited,1.0,T1,paired_mae_diff_sd,0.017703468048824444,0.00027998641294651127,2000,0.017154704758960148,0.01825223133868874,
0,0.05,False,0.0,inherited,1.0,adj_tol1,p_lower_mae_than_independent,0.7245,0.009989988738732391,2000,0.7049199817116791,0.7440800182883209,
0,0.05,False,0.0,inherited,1.0,adj_tol1,paired_mae_diff_mean,-0.013713733674799894,0.0005188780536893561,2000,-0.014730715980421099,-0.012696751369178689,
0,0.05,False,0.0,inherited,1.0,adj_tol1,paired_mae_diff_sd,0.023204932001643717,0.00036699395033163313,2000,0.02248563707077593,0.023924226932511505,
0,0.05,False,0.0,inherited,1.0,adj_tol2,p_lower_mae_than_independent,0.7225,0.010012336140981284,2000,0.7028761816077778,0.7421238183922223,
0,0.05,False,0.0,inherited,1.0,adj_tol2,paired_mae_diff_mean,-0.014160284034319669,0.0005212696256799038,2000,-0.015181953734945757,-0.013138614333693581,
0,0.05,False,0.0,inherited,1.0,adj_tol2,paired_mae_diff_sd,0.0233118863525227,0.00036868547003664464,2000,0.022589276103927795,0.024034496601117603,
0,0.05,False,0.0,inherited,1.0,adj_tol3,p_lower_mae_than_independent,0.724,0.009995599031573845,2000,0.7044089857396804,0.7435910142603196,
0,0.05,False,0.0,inherited,1.0,adj_tol3,paired_mae_diff_mean,-0.014189061923734361,0.0005165417000080073,2000,-0.015201465060248855,-0.013176658787219866,
0,0.05,False,0.0,inherited,1.0,adj_tol3,paired_mae_diff_sd,0.02310044708862416,0.000365341485632474,2000,0.022384390929077992,0.023816503248170327,
0,0.05,False,0.0,inherited,1.0,mean2,p_lower_mae_than_independent,0.727,0.009961701661864804,2000,0.7074754233640048,0.7465245766359951,
0,0.05,False,0.0,inherited,1.0,mean2,paired_mae_diff_mean,-0.014228467672027227,0.0005142700751510899,2000,-0.015236418505600658,-0.013220516838453796,
0,0.05,False,0.0,inherited,1.0,mean2,paired_mae_diff_sd,0.022998856936635254,0.000363734802570849,2000,0.02228594981804928,0.023711764055221227,
0,0.05,False,0.0,inherited,1.0,single,p_lower_mae_than_independent,0.7195,0.01004539073406306,2000,0.6998113957953028,0.7391886042046972,
0,0.05,False,0.0,inherited,1.0,single,paired_mae_diff_mean,-0.013124376984876722,0.0005135614220132298,2000,-0.01413093888381146,-0.012117815085941983,
0,0.05,False,0.0,inherited,1.0,single,paired_mae_diff_sd,0.022967165004860773,0.000363233583811202,2000,0.022255240256999834,0.023679089752721712,
0,0.05,False,0.0,inherited,2.0,T1,p_lower_mae_than_independent,0.2295,0.0094029184299344,2000,0.21107061838239205,0.24792938161760797,
0,0.05,False,0.0,inherited,2.0,T1,paired_mae_diff_mean,0.01357511003847275,0.00041050246044216506,2000,0.012770539994094682,0.014379680082850819,
0,0.05,False,0.0,inherited,2.0,T1,paired_mae_diff_sd,0.01835822812959199,0.00029034166796485476,2000,0.01778916891268092,0.01892728734650306,
0,0.05,False,0.0,inherited,2.0,adj_tol1,p_lower_mae_than_independent,0.6735,0.010485650909695592,2000,0.6529485017004294,0.6940514982995706,
0,0.05,False,0.0,inherited,2.0,adj_tol1,paired_mae_diff_mean,-0.009766309438264368,0.0004974557233919023,2000,-0.010741304747706454,-0.008791314128822282,
0,0.05,False,0.0,inherited,2.0,adj_tol1,paired_mae_diff_sd,0.022246896266012516,0.0003518422869200247,2000,0.021557298049971595,0.022936494482053437,
0,0.05,False,0.0,inherited,2.0,adj_tol2,p_lower_mae_than_independent,0.672,0.01049799980948752,2000,0.6514242983013977,0.6925757016986024,
0,0.05,False,0.0,inherited,2.0,adj_tol2,paired_mae_diff_mean,-0.009810582868738956,0.0004970923940113754,2000,-0.010784866065675067,-0.008836299671802845,
0,0.05,False,0.0,inherited,2.0,adj_tol2,paired_mae_diff_sd,0.022230647682150894,0.000351585309998987,2000,0.02154155313162404,0.02291974223267775,
0,0.05,False,0.0,inherited,2.0,adj_tol3,p_lower_mae_than_independent,0.6685,0.010526341957204316,2000,0.64786874871219,0.6891312512878099,
0,0.05,False,0.0,inherited,2.0,adj_tol3,paired_mae_diff_mean,-0.009674843483191047,0.0004957603371814061,2000,-0.010646515896694464,-0.00870317106968763,
0,0.05,False,0.0,inherited,2.0,adj_tol3,paired_mae_diff_sd,0.02217107628971681,0.00035064316801664496,2000,0.021483828303558234,0.022858324275875388,
0,0.05,False,0.0,inherited,2.0,mean2,p_lower_mae_than_independent,0.6695,0.010518311413910506,2000,0.6488844882879463,0.6901155117120537,
0,0.05,False,0.0,inherited,2.0,mean2,paired_mae_diff_mean,-0.00973652975932605,0.0004946072142955274,2000,-0.01070594209348557,-0.008767117425166532,
0,0.05,False,0.0,inherited,2.0,mean2,paired_mae_diff_sd,0.0221195070665321,0.0003498275830827719,2000,0.02143385759748286,0.02280515653558134,
0,0.05,False,0.0,inherited,2.0,single,p_lower_mae_than_independent,0.6765,0.010460586742625864,2000,0.655997626565576,0.697002373434424,
0,0.05,False,0.0,inherited,2.0,single,paired_mae_diff_mean,-0.009630343843132416,0.0004900417604201352,2000,-0.010590808052052505,-0.008669879634212327,
0,0.05,False,0.0,inherited,2.0,single,paired_mae_diff_sd,0.021915333762261763,0.00034659851231966314,2000,0.021236013155661666,0.02259465436886186,
