beat_cv_param,source,axis,view,n_series,n_excluded_mean_le0,pooled_cv_pct,pooled_cv_mcse,mean_cv_pct,mean_cv_mcse,median_cv_pct,median_cv_ci_lo,median_cv_ci_hi,n_series_mean_ge3,pooled_cv_ge3_pct,pooled_cv_ge3_mcse,mean_cv_ge3_pct,mean_cv_ge3_mcse,p05_cv_pct,p95_cv_pct,mean_level_mm
0.05,measured (with caliper),AP,long-axis view,29993,7,21.96533570901473,1.6907936898968805,14.684239555250983,0.09432572293738001,12.007206245239228,11.920871101461938,12.110553061990743,29002,15.284719989712196,0.055712793276877906,13.387964033669691,0.04330453863049794,4.701917570793008,31.64759790822904,9.019038081865304
0.05,measured (with caliper),AP,anchor view,30000,0,14.140764624527455,0.2830408257260522,11.99957886306337,0.04319459728895302,10.505507193949985,10.425374115004676,10.576416262178896,29772,13.373198234153739,0.04844498215125209,11.770594570437014,0.03679016612559397,4.23708160988803,24.73035602218107,10.494241659992346
0.05,measured (with caliper),AP,all views,89984,16,29.918846874414058,8.791442516253682,13.85573082477179,0.0883986528980621,11.44887515265156,11.39299973111714,11.499894595244326,87705,14.641278733672813,0.031155386949386216,12.820362253157622,0.023878033400042242,4.522622999704363,29.42886149360517,9.516265899842669
0.05,measured (with caliper),SL,long-axis view,29948,52,778.2912602986423,382.54294913127126,29.109312837488194,4.494294397404695,17.922893430856448,17.755876885766824,18.078353898753793,25231,19.85410320154639,0.06676026073320875,17.684665215393608,0.05681395263764358,6.506036265558396,54.72850618018119,5.789946878814959
0.05,measured (with caliper),SL,anchor view,29993,7,42.54212532008374,12.043165344717536,19.11362188561675,0.21946048911012248,15.484488163805372,15.367037885591051,15.597771383594994,27575,18.400689021360332,0.06196447990844805,16.327339977737033,0.0511006462456,5.894633698154022,41.580550928430995,6.7160802235266415
0.05,measured (with caliper),SL,all views,89892,108,455.92478363302024,217.5971302562209,24.45390455135596,1.5184814986753772,17.007438199505437,16.919716447668403,17.08790718060236,77986,19.36752502667752,0.037857656181602306,17.212486788283833,0.03179390503759669,6.274399390903607,50.31025927837308,6.092257812027049
0.05,true beat spans (no caliper),AP,long-axis view,30000,0,5.026815307829964,0.010456495860026926,4.715620793271782,0.010053015693845316,4.595172187743255,4.568262970623287,4.622556477177773,29309,5.025202453917707,0.010573293677417692,4.713936924865298,0.010170275391749086,2.0714537144784653,7.7527223660550915,9.019145693567275
0.05,true beat spans (no caliper),AP,anchor view,30000,0,5.032721845472097,0.010335668041068419,4.729165622722772,0.00993878004937908,4.603534023217313,4.575128344820926,4.629611734757647,29910,5.033332090107126,0.01035072434151,4.730009505489888,0.009950632106379444,2.116949525025191,7.76344266247852,10.49245233760652
0.05,true beat spans (no caliper),AP,all views,90000,0,5.028951785660999,0.005980260951494076,4.724088597857567,0.005747826661352978,4.601909356821351,4.584370646399563,4.615270735363921,88490,5.028546541557507,0.006029921186467062,4.7237545065283735,0.005795764265110154,2.107046801017496,7.752108764155772,9.515020303508996
0.05,true beat spans (no caliper),SL,long-axis view,30000,0,5.042846696420509,0.01029801592254856,4.739568951808058,0.009944659958855646,4.625693927133651,4.599577101018075,4.652425058759178,25763,5.043573063943149,0.01111352447551308,4.740455760160612,0.010729375344152832,2.141006269446917,7.7603201479280335,5.778193708273493
0.05,true beat spans (no caliper),SL,anchor view,30000,0,5.046152680963427,0.010262289779708465,4.744406818281536,0.009923640630469955,4.627538601827121,4.6016574311852425,4.652239001837757,28278,5.045597809005562,0.010570632632997796,4.743971556864684,0.010218795239148298,2.1311079036815643,7.773085470458987,6.711834077936455
0.05,true beat spans (no caliper),SL,all views,90000,0,5.039148198501579,0.005939687426242987,4.736906686260577,0.005729807484467479,4.620082678042812,4.604921727134895,4.634472034608177,79779,5.03833185408729,0.006304189136361391,4.7362255542330844,0.006083967276144316,2.130066546058682,7.76101041962685,6.083157153662835
0.1,measured (with caliper),AP,long-axis view,29997,3,25.736942091317903,2.260463110735813,17.141672315643298,0.11084559913416335,14.744392013725744,14.652997183440256,14.84182874074078,29019,17.543829372355614,0.05535708875751223,15.81448539273731,0.04458707740526047,6.298679735571612,33.979410413270045,9.061208759067235
0.1,measured (with caliper),AP,anchor view,30000,0,16.545338821182387,0.1277837188848611,14.749881098016903,0.04327860030828677,13.517773047539633,13.42459859320176,13.594782517207769,29784,15.979364928501111,0.047151191550195766,14.534910660963558,0.03846973631695769,5.910386407525488,27.590508076820463,10.51535492543681
0.1,measured (with caliper),AP,all views,89995,5,22.910420133666896,1.1869475812460286,16.337277151892756,0.05354104612611545,14.292627384152325,14.23524828828861,14.346135962856238,87809,17.052288726857817,0.03081494473180883,15.394244991565904,0.024752273902874218,6.159183841475383,31.90793378347077,9.53566181951033
0.1,measured (with caliper),SL,long-axis view,29954,46,388.96283131247895,169.54232468585394,29.074149340817968,2.241151845053337,19.741891437229572,19.579428267002,19.912049760788523,25241,21.543440474377633,0.06696946105082392,19.485484354704198,0.05783869001305201,7.816866943952901,56.429292111845506,5.8024446127980545
0.1,measured (with caliper),SL,anchor view,29988,12,42.69313769931548,8.441248754973527,21.129066136978075,0.21423221135930282,17.652124325921513,17.50964759091816,17.787599742579186,27621,20.377043699738845,0.06331632722634298,18.382017971908596,0.052911374133792266,7.210256435101643,43.685750905495254,6.7408046223509555
0.1,measured (with caliper),SL,all views,89895,105,246.17105829859983,90.09418853161021,25.941939227506168,0.8164820872420385,19.00157880792759,18.92246759635311,19.086847341249374,78148,21.15590947662985,0.03795105445235916,19.112899879683535,0.03244617024137926,7.6038461976499425,52.256927239544204,6.115067420063553
0.1,true beat spans (no caliper),AP,long-axis view,30000,0,9.960962756903143,0.02058700292073997,9.354838715497337,0.019755304708278323,9.111526579774287,9.065963997870309,9.156979756836055,29349,9.96236899997585,0.020815268549017895,9.356759126199545,0.01996645574066631,4.169483678395019,15.467763260458842,9.062973557451208
0.1,true beat spans (no caliper),AP,anchor view,30000,0,10.010701140744924,0.020499790528498738,9.40996249359774,0.0197206593050697,9.163939544237817,9.117206869608596,9.217559136337291,29923,10.01102010677048,0.020525030074527877,9.410374517692235,0.01974485929169963,4.218988881600863,15.422008262773037,10.519232442552523
0.1,true beat spans (no caliper),AP,all views,90000,0,9.987384963662207,0.01189038210675801,9.382396037736871,0.011410829753879075,9.13133002698995,9.104842529199185,9.159169631914555,88619,9.988980964210374,0.011981606534206051,9.38430717472568,0.011497443092032768,4.201320931428143,15.437741360643981,9.539049090073608
0.1,true beat spans (no caliper),SL,long-axis view,30000,0,9.96591656630579,0.02074422712089472,9.354975130560437,0.019836268794578962,9.080488721025295,9.032044860313771,9.129610709666085,25877,9.968317107161138,0.02231243695441077,9.35801305165401,0.021350067574916306,4.1613972278456535,15.386225260704117,5.800616696336514
0.1,true beat spans (no caliper),SL,anchor view,30000,0,9.998714784212916,0.02058700570930062,9.391405571682819,0.0198126148904443,9.157007032564412,9.112373665203217,9.20034820994729,28306,10.004187446955513,0.02118833373026135,9.397439372070314,0.020393496719029687,4.148538978664924,15.432230755929814,6.739787776598841
0.1,true beat spans (no caliper),SL,all views,90000,0,9.972850091885363,0.011911568965973176,9.366093990818825,0.01141838317501878,9.113965872078843,9.086598767948297,9.140736950967844,80094,9.977432429310781,0.012616271232620924,9.37130467884679,0.01210071730996813,4.168375420963337,15.39513332054175,6.111264828027265
0.15,measured (with caliper),AP,long-axis view,29993,7,48.550246533716404,15.689045889920344,20.682330561873137,0.25363242933345664,18.264184105193227,18.15061456519492,18.36473455114741,28991,20.817749283346476,0.05679856670142994,19.10314676362125,0.04859121533132954,8.008432667778399,37.95224446445836,9.088599813205587
0.15,measured (with caliper),AP,anchor view,30000,0,20.06342896633076,0.08186467660286567,18.276286410474512,0.04779149888026464,17.085871688440637,16.98527535895972,17.183773816964454,29773,19.604088752215386,0.05103681740914863,18.064111770111715,0.04414083521399122,7.699725569189954,32.543755415503895,10.56883105898696
0.15,measured (with caliper),AP,all views,89985,15,33.515629846860016,7.579611220762605,19.72198035253331,0.09033711601664973,17.835441262567958,17.77606942342123,17.897399004202384,87766,20.414639014899105,0.031939128462414625,18.745185658616304,0.027292720994754514,7.881513729019252,36.14276068116903,9.591505058470498
0.15,measured (with caliper),SL,long-axis view,29953,47,106.50489283390618,33.144080044228566,29.11924636909557,0.591951044663411,22.695061512244564,22.5414620247049,22.86402283418329,25261,24.30078766411997,0.0709662959878568,22.19974042115952,0.062191377790556925,9.27135088354714,59.13448733151655,5.834135519746329
0.15,measured (with caliper),SL,anchor view,29994,6,54.96751190842184,13.474669303014759,24.10413795300648,0.2852476971970281,20.59930370093257,20.4517387281559,20.72704046954369,27651,23.231466185079785,0.06495416981171322,21.25545709841118,0.05638493528883826,8.911144949202,46.75933670111602,6.770827198658715
0.15,measured (with caliper),SL,all views,89890,110,158.82294199850583,58.91861894256145,27.95276741269191,0.5214675205466465,21.931780570295167,21.83776590083749,22.0207124868717,78102,23.909727623682866,0.03964852255010241,21.867562254035203,0.03459729903150336,9.216348062991583,55.06328149119463,6.14642915235985
0.15,true beat spans (no caliper),AP,long-axis view,30000,0,14.928963689455118,0.031216149480320046,14.011174185822984,0.029755582204727748,13.595582423442421,13.51800306335958,13.660245593479623,29327,14.934486178606415,0.03154849740069793,14.016982588273772,0.030096276745387257,6.270867884191193,23.020396599531495,9.092132732832587
0.15,true beat spans (no caliper),AP,anchor view,30000,0,14.948745093886624,0.03142296484219442,14.024836239485191,0.02987186003897561,13.631134125963996,13.541185930225314,13.703510538752283,29900,14.951039173479428,0.031483409269930665,14.0267676704236,0.029929827004663845,6.235893395251241,23.125069188710533,10.57585373741332
0.15,true beat spans (no caliper),AP,all views,90000,0,14.93714261850422,0.01804484826798485,14.01860370019088,0.017190848801942465,13.602814591528489,13.560783037903262,13.645761550728084,88562,14.941060145919948,0.018193336278121114,14.02226538072264,0.017334535667616148,6.256220347754093,23.115361769124434,9.596094817820168
0.15,true beat spans (no caliper),SL,long-axis view,30000,0,14.905922442365583,0.03065935466309376,14.009974397591202,0.029387074730691957,13.616047941231542,13.541767090916338,13.683687930161081,25923,14.926979314858343,0.03307283274153303,14.025340707145324,0.031733917035583724,6.356118046964215,22.99758739469969,5.831676552555821
0.15,true beat spans (no caliper),SL,anchor view,30000,0,14.917510235223377,0.031147377362258158,14.005909639015934,0.02964652071655023,13.618738398453731,13.547401036228642,13.690856717675837,28376,14.932415069089327,0.032074938979047944,14.02062170862364,0.030501931302607487,6.2778117027471865,23.031079628070742,6.774750223392641
0.15,true beat spans (no caliper),SL,all views,90000,0,14.910578187569849,0.017798963529106992,14.00822696067458,0.017027823392133833,13.619309516031164,13.577913851388166,13.66163203662159,80184,14.925723834815194,0.018889089297317002,14.021380726023189,0.01806874676082159,6.314395159054252,22.985471137572183,6.144649972418447
0.2,measured (with caliper),AP,long-axis view,29993,7,31.883192562631415,3.6803927872304105,23.92151730167566,0.12171243284917493,21.82922560528829,21.700561874086034,21.954970605745423,29028,24.532143687238587,0.061733872972386916,22.697192516780284,0.05464080642262142,9.88030638889807,42.93486227046558,9.18204974006762
0.2,measured (with caliper),AP,anchor view,30000,0,23.78428350164998,0.07104456103346614,21.935887526635415,0.05307598237921609,20.770184474256776,20.65462048164368,20.883201866820162,29798,23.47679883401422,0.05738471944884206,21.771110696274658,0.05089355683884141,9.496933185165364,38.01313052588588,10.680815248544786
0.2,measured (with caliper),AP,all views,89989,11,34.699412700750976,4.888244379064352,23.34261389633884,0.08558683177093424,21.459765128279546,21.38467860356576,21.529788547690774,87902,24.22772221296784,0.03524415909861389,22.41032565280667,0.031052611141324883,9.672721729382982,41.26431855494979,9.683397257108782
0.2,measured (with caliper),SL,long-axis view,29949,51,244.63116350780672,106.45301861372232,33.955807326107376,1.399920446851728,25.753782898843586,25.5737050422159,25.92318664904976,25286,27.377077428967166,0.07487096659064371,25.221719652217413,0.06696010291291747,10.919216776041386,62.71100234605325,5.899515800070785
0.2,measured (with caliper),SL,anchor view,29993,7,39.614273554485756,5.400142732569041,27.12566072842652,0.1667044812803543,24.01528110499241,23.85697883958045,24.13865097644516,27671,26.47700685296499,0.06854997916385865,24.441051123554402,0.061209030571332375,10.454986567796308,51.21333433864188,6.844532993518642
0.2,measured (with caliper),SL,all views,89883,117,169.56563002031328,53.151821438381766,31.462204116939642,0.5557685397449662,25.175012000972647,25.07892341645825,25.268659177695174,78295,27.16328898715511,0.04202694338011332,25.047634204131707,0.03756114715243625,10.810424044996713,58.88521542153836,6.214621398481495
0.2,true beat spans (no caliper),AP,long-axis view,30000,0,19.706606201318312,0.041024065089876036,18.512362417913064,0.0390061051451846,17.99408974014751,17.892017399146866,18.090250169843628,29339,19.706409653744743,0.04152628012065411,18.511832733149678,0.039448197426751014,8.328431875213694,30.411936232373044,9.17554741728999
0.2,true beat spans (no caliper),AP,anchor view,30000,0,19.694163661637777,0.04133515365926823,18.495580891404853,0.03906195747672127,17.966576896860474,17.874239516360426,18.074481946146694,29921,19.69697632447173,0.04139377384904905,18.498016140337498,0.039122337943390637,8.303173452628295,30.448438809013606,10.673231319594603
