cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,w_anchor,metric,value,mcse,n,test,mci_lo,mci_hi,size_valid_strict,size_valid_liberal,nominal_outside_mci,above_nominal_mci,below_nominal_mci
1,0.05,0.0,2.0,10,0.0,power_reject_f_variance,0.0555,0.005119558086397693,2000,f_variance,0.045465850454751634,0.06553414954524837,True,True,False,False,False
1,0.05,0.0,2.0,25,0.0,power_reject_f_variance,0.058,0.0052266624149642565,2000,f_variance,0.047755929826516996,0.06824407017348301,True,True,False,False,False
1,0.05,0.0,2.0,50,0.0,power_reject_f_variance,0.0565,0.005162739098579358,2000,f_variance,0.04638121722539201,0.06661878277460799,True,True,False,False,False
1,0.05,0.0,2.0,100,0.0,power_reject_f_variance,0.063,0.005432816948876522,2000,f_variance,0.05235187436161218,0.07364812563838782,False,True,True,True,False
1,0.05,0.0,2.0,10,0.0,power_reject_welch_mean,0.054,0.005053909377897471,2000,welch_mean,0.04409451956005856,0.06390548043994143,True,True,False,False,False
1,0.05,0.0,2.0,25,0.0,power_reject_welch_mean,0.0505,0.00489641450451246,2000,welch_mean,0.04090320384207774,0.060096796157922266,True,True,False,False,False
1,0.05,0.0,2.0,50,0.0,power_reject_welch_mean,0.0495,0.004850244839180801,2000,welch_mean,0.03999369472401984,0.059006305275980164,True,True,False,False,False
1,0.05,0.0,2.0,100,0.0,power_reject_welch_mean,0.049,0.0048269555622566076,2000,welch_mean,0.03953934086837729,0.05846065913162271,True,True,False,False,False
2,0.05,0.0,3.0,10,0.0,power_reject_bf,0.0485,0.004803527349771208,2000,bf,0.03908525932143302,0.05791474067856698,True,True,False,False,False
2,0.05,0.0,3.0,25,0.0,power_reject_bf,0.043,0.004536022486716748,2000,bf,0.03410955922284469,0.0518904407771553,True,True,False,False,False
2,0.05,0.0,3.0,50,0.0,power_reject_bf,0.043,0.004536022486716748,2000,bf,0.03410955922284469,0.0518904407771553,True,True,False,False,False
2,0.05,0.0,3.0,100,0.0,power_reject_bf,0.05,0.004873397172404482,2000,bf,0.040448316984385425,0.05955168301561458,True,True,False,False,False
2,0.05,0.0,3.0,10,0.0,power_reject_bf_onesided,0.0305,0.0038451105315712316,2000,bf_onesided,0.022963721782099523,0.038036278217900475,True,True,True,False,True
2,0.05,0.0,3.0,25,0.0,power_reject_bf_onesided,0.0335,0.004023540107914919,2000,bf_onesided,0.025614006235930645,0.04138599376406936,True,True,True,False,True
2,0.05,0.0,3.0,50,0.0,power_reject_bf_onesided,0.0355,0.004137617067830226,2000,bf_onesided,0.027390419501267194,0.0436095804987328,True,True,True,False,True
2,0.05,0.0,3.0,100,0.0,power_reject_bf_onesided,0.048,0.0047799581588126895,2000,bf_onesided,0.038631454087220844,0.05736854591277916,True,True,False,False,False
2,0.05,0.0,3.0,10,0.0,power_reject_either_unadjusted,0.11,0.006996427659884721,2000,either_unadjusted,0.09628725365802171,0.12371274634197829,False,False,True,True,False
2,0.05,0.0,3.0,25,0.0,power_reject_either_unadjusted,0.1085,0.006954414065900879,2000,either_unadjusted,0.09486959878974065,0.12213040121025935,False,False,True,True,False
2,0.05,0.0,3.0,50,0.0,power_reject_either_unadjusted,0.1105,0.0070103405766053905,2000,either_unadjusted,0.09675998484211419,0.12424001515788581,False,False,True,True,False
2,0.05,0.0,3.0,100,0.0,power_reject_either_unadjusted,0.1055,0.006869124762296867,2000,either_unadjusted,0.09203676275438957,0.11896323724561042,False,False,True,True,False
2,0.05,0.0,3.0,10,0.0,power_reject_f_variance,0.049,0.0048269555622566076,2000,f_variance,0.03953934086837729,0.05846065913162271,True,True,False,False,False
2,0.05,0.0,3.0,25,0.0,power_reject_f_variance,0.0545,0.005075911248239078,2000,f_variance,0.044551396686256343,0.06444860331374366,True,True,False,False,False
2,0.05,0.0,3.0,50,0.0,power_reject_f_variance,0.0525,0.004987171041783107,2000,f_variance,0.042725324296262614,0.06227467570373738,True,True,False,False,False
2,0.05,0.0,3.0,100,0.0,power_reject_f_variance,0.0525,0.004987171041783107,2000,f_variance,0.042725324296262614,0.06227467570373738,True,True,False,False,False
2,0.05,0.0,3.0,10,0.0,power_reject_welch_mean,0.0615,0.005372045699731156,2000,welch_mean,0.050970983822172126,0.07202901617782788,False,True,True,True,False
2,0.05,0.0,3.0,25,0.0,power_reject_welch_mean,0.055,0.005097793640389928,2000,welch_mean,0.045008507985406794,0.0649914920145932,True,True,False,False,False
2,0.05,0.0,3.0,50,0.0,power_reject_welch_mean,0.0585,0.0052477495176503994,2000,welch_mean,0.04821459986438786,0.06878540013561216,True,True,False,False,False
2,0.05,0.0,3.0,100,0.0,power_reject_welch_mean,0.0555,0.005119558086397693,2000,welch_mean,0.045465850454751634,0.06553414954524837,True,True,False,False,False
3,0.05,0.75,1.0,10,0.0,power_reject_bf,0.0385,0.004302194207610809,2000,bf,0.03006785423207429,0.04693214576792571,True,True,True,False,True
3,0.05,0.75,1.0,25,0.0,power_reject_bf,0.046,0.00468422885862764,2000,bf,0.036819080069328734,0.055180919930671264,True,True,False,False,False
3,0.05,0.75,1.0,50,0.0,power_reject_bf,0.046,0.00468422885862764,2000,bf,0.036819080069328734,0.055180919930671264,True,True,False,False,False
3,0.05,0.75,1.0,100,0.0,power_reject_bf,0.0475,0.004756245893559331,2000,bf,0.03817792927347588,0.05682207072652412,True,True,False,False,False
3,0.05,0.75,1.0,10,0.0,power_reject_bf_onesided,0.038,0.004275277768753745,2000,bf_onesided,0.029620609483242334,0.046379390516757664,True,True,True,False,True
3,0.05,0.75,1.0,25,0.0,power_reject_bf_onesided,0.047,0.00473238840333293,2000,bf_onesided,0.03772468909544997,0.05627531090455003,True,True,False,False,False
3,0.05,0.75,1.0,50,0.0,power_reject_bf_onesided,0.049,0.0048269555622566076,2000,bf_onesided,0.03953934086837729,0.05846065913162271,True,True,False,False,False
3,0.05,0.75,1.0,100,0.0,power_reject_bf_onesided,0.0505,0.00489641450451246,2000,bf_onesided,0.04090320384207774,0.060096796157922266,True,True,False,False,False
3,0.05,0.75,1.0,10,0.0,power_reject_either_unadjusted,0.1205,0.007279414468211024,2000,either_unadjusted,0.10623260970122725,0.13476739029877274,False,False,True,True,False
3,0.05,0.75,1.0,25,0.0,power_reject_either_unadjusted,0.146,0.007895695029571494,2000,either_unadjusted,0.13052472198706092,0.16147527801293907,False,False,True,True,False
3,0.05,0.75,1.0,50,0.0,power_reject_either_unadjusted,0.138,0.007712198130234985,2000,either_unadjusted,0.12288436930387213,0.15311563069612788,False,False,True,True,False
3,0.05,0.75,1.0,100,0.0,power_reject_either_unadjusted,0.152,0.008027951170753344,2000,either_unadjusted,0.1362655047115656,0.1677344952884344,False,False,True,True,False
3,0.05,0.75,1.0,10,0.0,power_reject_f_variance,0.0805,0.006083574196144894,2000,f_variance,0.06857641358422707,0.09242358641577293,False,False,True,True,False
3,0.05,0.75,1.0,25,0.0,power_reject_f_variance,0.098,0.006648157639526909,2000,f_variance,0.08496985036020228,0.11103014963979772,False,False,True,True,False
3,0.05,0.75,1.0,50,0.0,power_reject_f_variance,0.0985,0.006663248081829162,2000,f_variance,0.0854402736365458,0.11155972636345421,False,False,True,True,False
3,0.05,0.75,1.0,100,0.0,power_reject_f_variance,0.107,0.0069119823495145,2000,f_variance,0.09345276342631616,0.12054723657368384,False,False,True,True,False
3,0.05,0.75,1.0,10,0.0,power_reject_welch_mean,0.0405,0.004407933189148856,2000,welch_mean,0.031860609634863056,0.049139390365136947,True,True,True,False,True
3,0.05,0.75,1.0,25,0.0,power_reject_welch_mean,0.0485,0.004803527349771208,2000,welch_mean,0.03908525932143302,0.05791474067856698,True,True,False,False,False
3,0.05,0.75,1.0,50,0.0,power_reject_welch_mean,0.043,0.004536022486716748,2000,welch_mean,0.03410955922284469,0.0518904407771553,True,True,False,False,False
3,0.05,0.75,1.0,100,0.0,power_reject_welch_mean,0.0465,0.004708383480558906,2000,welch_mean,0.037271737879909846,0.055728262120090154,True,True,False,False,False
4,0.05,0.75,2.0,10,0.0,power_reject_bf,0.0535,0.005031786462082826,2000,bf,0.043637879678630295,0.0633621203213697,True,True,False,False,False
4,0.05,0.75,2.0,25,0.0,power_reject_bf,0.049,0.0048269555622566076,2000,bf,0.03953934086837729,0.05846065913162271,True,True,False,False,False
4,0.05,0.75,2.0,50,0.0,power_reject_bf,0.053,0.005009540897128199,2000,bf,0.043181480185101026,0.06281851981489897,True,True,False,False,False
4,0.05,0.75,2.0,100,0.0,power_reject_bf,0.0405,0.004407933189148856,2000,bf,0.031860609634863056,0.049139390365136947,True,True,True,False,True
4,0.05,0.75,2.0,10,0.0,power_reject_bf_onesided,0.034,0.0040524066923249445,2000,bf_onesided,0.026057428769684032,0.04194257123031597,True,True,True,False,True
4,0.05,0.75,2.0,25,0.0,power_reject_bf_onesided,0.0365,0.004193313129257103,2000,bf_onesided,0.02828125722592873,0.044718742774071264,True,True,True,False,True
4,0.05,0.75,2.0,50,0.0,power_reject_bf_onesided,0.044,0.0045860658521220555,2000,bf_onesided,0.03501147602821145,0.05298852397178855,True,True,False,False,False
4,0.05,0.75,2.0,100,0.0,power_reject_bf_onesided,0.044,0.0045860658521220555,2000,bf_onesided,0.03501147602821145,0.05298852397178855,True,True,False,False,False
4,0.05,0.75,2.0,10,0.0,power_reject_either_unadjusted,0.113,0.0070792301841372555,2000,either_unadjusted,0.0991249636913776,0.1268750363086224,False,False,True,True,False
4,0.05,0.75,2.0,25,0.0,power_reject_either_unadjusted,0.1175,0.007200477414727443,2000,either_unadjusted,0.10338732348432114,0.13161267651567884,False,False,True,True,False
4,0.05,0.75,2.0,50,0.0,power_reject_either_unadjusted,0.115,0.007133547504573023,2000,either_unadjusted,0.10101850369874704,0.12898149630125297,False,False,True,True,False
4,0.05,0.75,2.0,100,0.0,power_reject_either_unadjusted,0.1225,0.007331226022978693,2000,either_unadjusted,0.10813106091909859,0.13686893908090142,False,False,True,True,False
4,0.05,0.75,2.0,10,0.0,power_reject_f_variance,0.0635,0.005452877680637995,2000,f_variance,0.05281255604954603,0.07418744395045397,False,True,True,True,False
4,0.05,0.75,2.0,25,0.0,power_reject_f_variance,0.069,0.005667406814408156,2000,f_variance,0.05789208667040534,0.08010791332959467,False,True,True,True,False
4,0.05,0.75,2.0,50,0.0,power_reject_f_variance,0.073,0.005816829033072916,2000,f_variance,0.06159922450102227,0.08440077549897772,False,True,True,True,False
4,0.05,0.75,2.0,100,0.0,power_reject_f_variance,0.0665,0.005571254347092763,2000,f_variance,0.055580542044854686,0.07741945795514532,False,True,True,True,False
4,0.05,0.75,2.0,10,0.0,power_reject_welch_mean,0.0495,0.004850244839180801,2000,welch_mean,0.03999369472401984,0.059006305275980164,True,True,False,False,False
4,0.05,0.75,2.0,25,0.0,power_reject_welch_mean,0.0485,0.004803527349771208,2000,welch_mean,0.03908525932143302,0.05791474067856698,True,True,False,False,False
4,0.05,0.75,2.0,50,0.0,power_reject_welch_mean,0.0435,0.004561126505590478,2000,welch_mean,0.03456035624959686,0.052439643750403137,True,True,False,False,False
4,0.05,0.75,2.0,100,0.0,power_reject_welch_mean,0.0595,0.005289600646551685,2000,welch_mean,0.04913257315838197,0.06986742684161802,True,True,False,False,False
5,0.05,0.75,3.0,10,0.0,power_reject_bf,0.0495,0.004850244839180801,2000,bf,0.03999369472401984,0.059006305275980164,True,True,False,False,False
5,0.05,0.75,3.0,25,0.0,power_reject_bf,0.0425,0.0045107510461119445,2000,bf,0.03365909033665825,0.051340909663341754,True,True,False,False,False
5,0.05,0.75,3.0,50,0.0,power_reject_bf,0.041,0.004433903472111228,2000,bf,0.032309708815186994,0.04969029118481301,True,True,True,False,True
5,0.05,0.75,3.0,100,0.0,power_reject_bf,0.0535,0.005031786462082826,2000,bf,0.043637879678630295,0.0633621203213697,True,True,False,False,False
5,0.05,0.75,3.0,10,0.0,power_reject_bf_onesided,0.032,0.0039354796403996304,2000,bf_onesided,0.02428660158208378,0.03971339841791622,True,True,True,False,True
5,0.05,0.75,3.0,25,0.0,power_reject_bf_onesided,0.0345,0.004081038470781672,2000,bf_onesided,0.026501311514652875,0.04249868848534713,True,True,True,False,True
5,0.05,0.75,3.0,50,0.0,power_reject_bf_onesided,0.043,0.004536022486716748,2000,bf_onesided,0.03410955922284469,0.0518904407771553,True,True,False,False,False
5,0.05,0.75,3.0,100,0.0,power_reject_bf_onesided,0.041,0.004433903472111228,2000,bf_onesided,0.032309708815186994,0.04969029118481301,True,True,True,False,True
5,0.05,0.75,3.0,10,0.0,power_reject_either_unadjusted,0.1115,0.007038030619427568,2000,either_unadjusted,0.09770571335502427,0.12529428664497574,False,False,True,True,False
5,0.05,0.75,3.0,25,0.0,power_reject_either_unadjusted,0.1035,0.006811304941052044,2000,either_unadjusted,0.09015008752251587,0.11684991247748412,False,False,True,True,False
5,0.05,0.75,3.0,50,0.0,power_reject_either_unadjusted,0.106,0.0068834584330843464,2000,either_unadjusted,0.09250866927565826,0.11949133072434173,False,False,True,True,False
5,0.05,0.75,3.0,100,0.0,power_reject_either_unadjusted,0.098,0.006648157639526909,2000,either_unadjusted,0.08496985036020228,0.11103014963979772,False,False,True,True,False
5,0.05,0.75,3.0,10,0.0,power_reject_f_variance,0.057,0.00518415856238985,2000,f_variance,0.04683923584742414,0.06716076415257587,True,True,False,False,False
5,0.05,0.75,3.0,25,0.0,power_reject_f_variance,0.056,0.005141206084179081,2000,f_variance,0.045923421158428034,0.06607657884157198,True,True,False,False,False
5,0.05,0.75,3.0,50,0.0,power_reject_f_variance,0.0555,0.005119558086397693,2000,f_variance,0.045465850454751634,0.06553414954524837,True,True,False,False,False
5,0.05,0.75,3.0,100,0.0,power_reject_f_variance,0.056,0.005141206084179081,2000,f_variance,0.045923421158428034,0.06607657884157198,True,True,False,False,False
5,0.05,0.75,3.0,10,0.0,power_reject_welch_mean,0.0545,0.005075911248239078,2000,welch_mean,0.044551396686256343,0.06444860331374366,True,True,False,False,False
5,0.05,0.75,3.0,25,0.0,power_reject_welch_mean,0.0495,0.004850244839180801,2000,welch_mean,0.03999369472401984,0.059006305275980164,True,True,False,False,False
5,0.05,0.75,3.0,50,0.0,power_reject_welch_mean,0.0515,0.004942051699446294,2000,welch_mean,0.04181375658294644,0.06118624341705355,True,True,False,False,False
5,0.05,0.75,3.0,100,0.0,power_reject_welch_mean,0.044,0.0045860658521220555,2000,welch_mean,0.03501147602821145,0.05298852397178855,True,True,False,False,False
6,0.05,2.0,1.0,10,0.0,power_reject_bf,0.042,0.004485309353879618,2000,bf,0.03320895513753269,0.05079104486246731,True,True,False,False,False
6,0.05,2.0,1.0,25,0.0,power_reject_bf,0.0495,0.004850244839180801,2000,bf,0.03999369472401984,0.059006305275980164,True,True,False,False,False
6,0.05,2.0,1.0,50,0.0,power_reject_bf,0.0525,0.004987171041783107,2000,bf,0.042725324296262614,0.06227467570373738,True,True,False,False,False
6,0.05,2.0,1.0,100,0.0,power_reject_bf,0.048,0.0047799581588126895,2000,bf,0.038631454087220844,0.05736854591277916,True,True,False,False,False
6,0.05,2.0,1.0,10,0.0,power_reject_bf_onesided,0.0355,0.004137617067830226,2000,bf_onesided,0.027390419501267194,0.0436095804987328,True,True,True,False,True
6,0.05,2.0,1.0,25,0.0,power_reject_bf_onesided,0.0395,0.00435544199823623,2000,bf_onesided,0.030963490479368926,0.04803650952063107,True,True,True,False,True
6,0.05,2.0,1.0,50,0.0,power_reject_bf_onesided,0.0495,0.004850244839180801,2000,bf_onesided,0.03999369472401984,0.059006305275980164,True,True,False,False,False
6,0.05,2.0,1.0,100,0.0,power_reject_bf_onesided,0.0435,0.004561126505590478,2000,bf_onesided,0.03456035624959686,0.052439643750403137,True,True,False,False,False
6,0.05,2.0,1.0,10,0.0,power_reject_either_unadjusted,0.1265,0.007432958697584697,2000,either_unadjusted,0.1119316685392471,0.1410683314607529,False,False,True,True,False
6,0.05,2.0,1.0,25,0.0,power_reject_either_unadjusted,0.1225,0.007331226022978693,2000,either_unadjusted,0.10813106091909859,0.13686893908090142,False,False,True,True,False
6,0.05,2.0,1.0,50,0.0,power_reject_either_unadjusted,0.138,0.007712198130234985,2000,either_unadjusted,0.12288436930387213,0.15311563069612788,False,False,True,True,False
6,0.05,2.0,1.0,100,0.0,power_reject_either_unadjusted,0.1365,0.007676840170278394,2000,either_unadjusted,0.12145366963250048,0.15154633036749954,False,False,True,True,False
6,0.05,2.0,1.0,10,0.0,power_reject_f_variance,0.0735,0.005835141386461857,2000,f_variance,0.06206333294762467,0.08493666705237532,False,True,True,True,False
6,0.05,2.0,1.0,25,0.0,power_reject_f_variance,0.0795,0.006048956521582875,2000,f_variance,0.06764426298013235,0.09135573701986766,False,False,True,True,False
6,0.05,2.0,1.0,50,0.0,power_reject_f_variance,0.0925,0.006478570444164361,2000,f_variance,0.07980223515797384,0.10519776484202616,False,False,True,True,False
6,0.05,2.0,1.0,100,0.0,power_reject_f_variance,0.092,0.006462816723379984,2000,f_variance,0.07933311188357728,0.10466688811642272,False,False,True,True,False
6,0.05,2.0,1.0,10,0.0,power_reject_welch_mean,0.053,0.005009540897128199,2000,welch_mean,0.043181480185101026,0.06281851981489897,True,True,False,False,False
6,0.05,2.0,1.0,25,0.0,power_reject_welch_mean,0.0445,0.004610843198374892,2000,welch_mean,0.03546291332154035,0.05353708667845965,True,True,False,False,False
6,0.05,2.0,1.0,50,0.0,power_reject_welch_mean,0.0475,0.004756245893559331,2000,welch_mean,0.03817792927347588,0.05682207072652412,True,True,False,False,False
6,0.05,2.0,1.0,100,0.0,power_reject_welch_mean,0.0495,0.004850244839180801,2000,welch_mean,0.03999369472401984,0.059006305275980164,True,True,False,False,False
7,0.05,2.0,2.0,10,0.0,power_reject_bf,0.0415,0.004459694496263169,2000,bf,0.03275915933632606,0.050240840663673944,True,True,False,False,False
7,0.05,2.0,2.0,25,0.0,power_reject_bf,0.0465,0.004708383480558906,2000,bf,0.037271737879909846,0.055728262120090154,True,True,False,False,False
7,0.05,2.0,2.0,50,0.0,power_reject_bf,0.052,0.004964675215963275,2000,bf,0.04226941530501975,0.061730584694980245,True,True,False,False,False
7,0.05,2.0,2.0,100,0.0,power_reject_bf,0.047,0.00473238840333293,2000,bf,0.03772468909544997,0.05627531090455003,True,True,False,False,False
7,0.05,2.0,2.0,10,0.0,power_reject_bf_onesided,0.024,0.00342227994179319,2000,bf_onesided,0.017292454516163253,0.030707545483836748,True,True,True,False,True
7,0.05,2.0,2.0,25,0.0,power_reject_bf_onesided,0.035,0.004109440351191388,2000,bf_onesided,0.026945644851517524,0.04305435514848248,True,True,True,False,True
7,0.05,2.0,2.0,50,0.0,power_reject_bf_onesided,0.0415,0.004459694496263169,2000,bf_onesided,0.03275915933632606,0.050240840663673944,True,True,False,False,False
7,0.05,2.0,2.0,100,0.0,power_reject_bf_onesided,0.0415,0.004459694496263169,2000,bf_onesided,0.03275915933632606,0.050240840663673944,True,True,False,False,False
