cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,axis,estimand,cutoff_mm,estimator,nri_events_vs_A1_mcse,nri_nonevents_vs_A1_mcse,nri_vs_A1_mcse,ppv_mcse,prevalence_mcse,sensitivity_mcse,specificity_mcse,nri_events_vs_A1,nri_nonevents_vs_A1,nri_vs_A1,ppv,prevalence,sensitivity,specificity
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,7.0,A1,0.0,0.0,0.0,0.0007991804100379608,0.0012323226326737653,0.0009471467097770213,0.003061166268985854,0.0,0.0,0.0,0.9466278996270779,0.81327,0.9207643218119443,0.7738981417019226
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,7.0,A2,0.0007944964336811042,0.0025819549738275278,0.0027014285239488943,0.0007102925045238424,0.0012323226326737653,0.0009438474529885596,0.0027620972263071464,0.0006025059328390314,0.054035238044235,0.05463774397707403,0.9588841256638301,0.81327,0.9213668277447834,0.8279333797461575
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,7.0,A3,0.0007556919874763424,0.0025858963113263886,0.0026940545860964595,0.000931566583480906,0.0012323226326737653,0.0006021043904322327,0.003537763319364379,0.048827572638853026,-0.1462539495528303,-0.09742637691397728,0.9189693148577622,0.81327,0.9695918944507974,0.6276441921490923
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,7.0,A4,0.0007426460670898142,0.0025334597012256774,0.002640064627750326,0.0009263455408959398,0.0012323226326737653,0.0006187061833759291,0.0035238077857130705,0.047069238998118705,-0.13923847266106143,-0.09216923366294272,0.9202413103714356,0.81327,0.9678335608100631,0.6346596690408611
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,7.0,A5,0.0007375184023655904,0.002374795366103965,0.002486681810102925,0.0007192238051534404,0.0012323226326737653,0.0009760683614939721,0.0027779936163719664,-0.005410257356105598,0.05151823488459272,0.046107977528487123,0.9580453779133367,0.81327,0.9153540644558388,0.8254163765865153
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,7.0,A6,0.0009014792347623178,0.0028198671008020024,0.002960458626107304,0.0008408466341027831,0.0012323226326737653,0.0010635019864861054,0.0031319291638916423,-0.023251810591808378,-0.015369785251432552,-0.03862159584324093,0.9418201055470252,0.81327,0.897512511220136,0.75852835645049
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,7.0,A7,0.0007740138454761893,0.002635957566591282,0.0027472476637279484,0.0007852604751189223,0.0012323226326737653,0.0007946995678881138,0.003079205979553297,0.02492407195642284,-0.0038022813688212836,0.021121790587601556,0.9471324951048606,0.81327,0.9456883937683672,0.7700958603331013
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,10.0,A1,0.0,0.0,0.0,0.0015262328603971023,0.0015811364365544169,0.0015434072884299651,0.0015141585290245462,0.0,0.0,0.0,0.8665069072455597,0.49913,0.8620800192334662,0.8676502884980135
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,10.0,A2,0.0013132946896057692,0.0012794405113361743,0.0018334969222212742,0.0013662619916704434,0.0015811364365544169,0.001565513049092908,0.0012980884020103909,-0.004768296836495503,0.03929163255934674,0.03452333572285124,0.9017744246817837,0.49913,0.8573117223969707,0.9069419210573602
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,10.0,A3,0.0012249354663264325,0.0013138138874451706,0.0017962666359725512,0.0016382112229408245,0.0015811364365544169,0.0010323985338457375,0.00187445732070982,0.08154188287620459,-0.09559366701938626,-0.014051784143181673,0.8048909699911135,0.49913,0.9436219021096708,0.7720566214786272
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,10.0,A4,0.0011836414300947448,0.001235911234049373,0.0017112812783076242,0.001626505823040219,0.0015811364365544169,0.001081598606948007,0.0018382072355628712,0.07565163384288662,-0.08347475392816499,-0.00782312008527837,0.812375249500998,0.49913,0.9377316530763529,0.7841755345698485
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,10.0,A5,0.0012146569386476964,0.0011714536301449996,0.0016875115069785128,0.0013825188747603266,0.0015811364365544169,0.0016052680168931173,0.0013029481622823778,-0.013683809829102635,0.03851298740192066,0.024829177572818027,0.9000977766441355,0.49913,0.8483962094043636,0.9061632758999341
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,10.0,A6,0.001440717067598639,0.001373895894898741,0.0019907927061574324,0.0016191783184728162,0.0015811364365544169,0.0016633037964776903,0.0015903038531520594,-0.02754793340412317,-0.01647133986862858,-0.04401927327275175,0.8482121039341859,0.49913,0.834532085829343,0.8511789486293849
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,10.0,A7,0.0012737713513821932,0.0012901572959640793,0.0018130083573804517,0.0014599056898623598,0.0015811364365544169,0.0013111086692907752,0.001503442325205511,0.04313505499569251,0.0021961786491504764,0.04533123364484298,0.8739095955590801,0.49913,0.9052150742291587,0.869846467147164
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,13.0,A1,0.0,0.0,0.0,0.0025267276003571757,0.0013782075184818868,0.0024063792216005037,0.0009851320146820894,0.0,0.0,0.0,0.7814579439252336,0.25494,0.8199576370910803,0.9215365205486806
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,13.0,A2,0.0020060665224064683,0.0008149788007057328,0.002165292898875285,0.002327682131373121,0.0013782075184818868,0.0024727844633108302,0.00080820033914323,-0.013179571663920926,0.027165597401551556,0.01398602573763063,0.8432964329643297,0.25494,0.8067780654271594,0.9487021179502322
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,13.0,A3,0.0018465596733526683,0.0008677351227315906,0.002040281076340787,0.0025119355954498507,0.0013782075184818868,0.0017359855725526214,0.0012640380883608456,0.09617949321408958,-0.059659624728209806,0.03651986848587978,0.6941480666924242,0.25494,0.9161371303051699,0.8618768958204709
