design,quantity,read,n_per_study,n_studies,icc_median,icc_median_lo,icc_median_hi,icc_p025,icc_p975,icc_mean,icc_mean_mcse,ba_bias_median,ba_bias_median_lo,ba_bias_median_hi,ba_bias_p025,ba_bias_p975,ba_bias_mean,ba_bias_mean_mcse,sd_diff_median,sd_diff_median_lo,sd_diff_median_hi,sd_diff_p025,sd_diff_p975,sd_diff_mean,sd_diff_mean_mcse,loa_lo_median,loa_lo_median_lo,loa_lo_median_hi,loa_lo_p025,loa_lo_p975,loa_lo_mean,loa_lo_mean_mcse,loa_hi_median,loa_hi_median_lo,loa_hi_median_hi,loa_hi_p025,loa_hi_p975,loa_hi_mean,loa_hi_mean_mcse,loa_width_median,loa_width_median_lo,loa_width_median_hi,loa_width_p025,loa_width_p975,loa_width_mean,loa_width_mean_mcse,between_sd_mean_of_readers_median,between_sd_mean_of_readers_median_lo,between_sd_mean_of_readers_median_hi,between_sd_mean_of_readers_p025,between_sd_mean_of_readers_p975,between_sd_mean_of_readers_mean,between_sd_mean_of_readers_mean_mcse,p_icc_le_published,p_icc_le_published_mcse,p_loawidth_ge_published,p_loawidth_ge_published_mcse,per_read_error_sd_mm,icc_at_between_sd_2p7_derived,p_icc_le_singh_min,p_icc_le_singh_min_mcse
Hauptmann-like n=50,"long-axis view, AP width","single beat, same beat",50,2000,0.9374987085020294,0.9355613342353335,0.9392484848114309,0.8131946118685985,0.9742338751733645,0.9265991506198523,0.0009332186474642462,0.020351557788044303,-0.039427874038040794,0.07772057389885606,-2.1476276928261204,2.078606420732568,0.005341494130102289,0.024084366315460022,1.4036016317015851,1.3970877438076827,1.4117186108705393,1.1401953675005656,1.6958828922700655,1.409555138376889,0.003214361251957585,-2.7457798462432694,-2.8135798757586805,-2.685862286956577,-4.944645588744451,-0.6051085168828018,-2.7573865770885995,0.02481207166468673,2.7698960743982206,2.709346407931722,2.8390035228498127,0.5597148637426986,4.881257729406497,2.7680695653488043,0.02497715420822615,5.502118396270214,5.476583955726117,5.533936954612514,4.469565840602217,6.647860937698657,5.525456142437404,0.012600296107673733,4.517253328592934,4.480106831896176,4.566421968115087,3.4120429592363237,6.425690350098499,4.617041329201769,0.017507164462336335,0.471,0.011161518713866855,0.9995,0.000499874984371065,1.0018731437968094,0.8789751534687269,,
Hauptmann-like n=50,"long-axis view, AP width","single beat, different beats",50,2000,0.8298600582954578,0.8263539603344664,0.8330332468521997,0.6877044149566651,0.9161452653046768,0.823618757675046,0.0013182742429068547,0.02213008599968771,-0.03906544293138681,0.08404020023247578,-2.2381400426280242,2.1878789212431395,0.005057163789742746,0.025182002655798508,2.519095234220294,2.501551423721591,2.5355761132001433,1.9265459377298724,3.3325604756982052,2.5406171392394414,0.007964883795607986,-4.990765648821846,-5.064383410444541,-4.926437671177415,-7.587250749262971,-2.3954823557812714,-4.974552429119561,0.029660042462821373,4.990919506198534,4.93661967344542,5.045463135499485,2.423789704512128,7.564573214014401,4.984666756699048,0.029596719311315984,9.87485331814355,9.806081580988636,9.939458363744562,7.5520600759011,13.063637064736964,9.95921918581861,0.031222344478783307,4.420294681597754,4.3811164087182295,4.460781275755606,3.323262919677739,6.2504347038156265,4.503771009702325,0.01686050374478427,0.994,0.0017268468374467964,1.0,0.0,1.8140494420740578,0.6889854230303787,,
Hauptmann-like n=50,"long-axis view, AP width","3-beat mean, same beats",50,2000,0.9688333417015027,0.9670992934686589,0.9699734621326073,0.8378205316573413,0.9898390307585763,0.9543298053559532,0.0009158111585618946,0.017584709539882618,-0.027344810237307823,0.08133271747084514,-2.1250101755901016,2.101835899114626,0.006616667893249778,0.023923429864700863,0.8101508440780423,0.8047391476348467,0.8140029670836156,0.6611786650417174,0.9744130121033769,0.810983886993237,0.0018142955671560108,-1.5753179195257072,-1.645139490580648,-1.5108684480092547,-3.7157914919200237,0.5160994386183635,-1.5829117506134947,0.02421486218835717,1.6383577499563997,1.5803704621406771,1.6982700848822978,-0.5806053876335577,3.66771393223405,1.5961450863999942,0.024157648661877328,3.175791308785926,3.154577458728599,3.190891630967773,2.5918203669635322,3.8196990074452377,3.179056837013489,0.007112038623251562,4.3502482355028205,4.308311737740867,4.392446500915077,3.228516312283569,6.069608447634157,4.422957667580211,0.016311290870644354,0.2035,0.00900243717001124,0.025,0.0034910600109422352,0.5763136776549114,0.9564246306222174,,
Hauptmann-like n=50,"long-axis view, AP width","3-beat mean, different beats",50,2000,0.9270389557894322,0.9251723477299412,0.9285119187424287,0.7939314623635795,0.9681839141681204,0.9158007554977728,0.0009866512592143172,0.042281021764380644,-0.009318980870696034,0.10962982211770424,-2.1544898397200973,2.136146352407732,0.0038090704639126287,0.024344937063270136,1.4490866655664956,1.4381839738600233,1.4580317583099036,1.1182165504499326,1.8974674742479956,1.4682993791549646,0.00446789376007749,-2.848677322469419,-2.915550962308999,-2.785700702224241,-5.228007026890098,-0.5994629473747425,-2.8740577126798175,0.026079505235789665,2.891307313523797,2.8232651693284345,2.9481332795447743,0.6107832643543333,5.089952692607633,2.881675853607643,0.02566289032526847,5.680419729020663,5.637681177531291,5.715484492574822,4.383408877763736,7.438072499052143,5.75573356628746,0.01751414353950376,4.311923226448374,4.267507561179693,4.348083370940112,3.253361782564925,6.033003666853735,4.3872861225618465,0.016177896097517467,0.6085,0.010913930318634071,0.998,0.0009989994994993746,1.0478089649489741,0.8691086979719481,,
Hauptmann-like n=50,"long-axis view, biplane width","single beat, same beat",50,2000,0.9367577253344008,0.9346258254274615,0.9387359990709296,0.7508165389618181,0.9769271488682192,0.9186832339560268,0.0013112960204481766,0.03893710574831738,-0.023189025046174212,0.09630790422218163,-2.0482434474416213,2.068868865599187,0.009552066489715355,0.02395435004784964,0.9892062110236889,0.9838940831941599,0.9941371234612005,0.8038823855240455,1.1945320989983963,0.9905269325991385,0.0022224431886585425,-1.923294785280158,-1.9797676211502073,-1.8606367629423304,-4.051441182449004,0.17808486195954745,-1.9318807214045959,0.024166089355006696,1.9711554726136384,1.920195714667269,2.0437450451276917,-0.22235136423470792,4.0391730370126595,1.9509848543840267,0.024526947872687367,3.8776883472128603,3.856864806121107,3.8970175239679063,3.151218951254258,4.682565828073713,3.882865575788623,0.008711977299541488,3.4737150916359,3.438098808129002,3.5065723818579246,2.5774884451987035,4.889807203631451,3.5466274204235515,0.013594464474172174,0.4795,0.011170938859379725,0.5635,0.01108980951143887,0.7039237076573571,0.9363550138419667,,
Hauptmann-like n=50,"long-axis view, biplane width","single beat, different beats",50,2000,0.8719420110881144,0.8693551201278947,0.8744644513633023,0.696508906345668,0.9391429139843742,0.857338483383785,0.0014195933637710413,0.013216371846660833,-0.027982756535826814,0.07542061767554711,-2.2024454884014744,2.132907013245228,0.005371795081864109,0.02443109089282006,1.5863601990811491,1.5746111211496672,1.600257931017776,1.2376033651866598,2.0761903693644945,1.6020517102576284,0.004705202929668736,-3.162987432819866,-3.229616113615063,-3.078973317648089,-5.399321814164753,-0.8129391359359784,-3.1346495570230872,0.02617272176488346,3.1723656046480215,3.1104232368403424,3.235081541200463,0.7919692354246711,5.327834277130746,3.1453931471868155,0.026054613837766357,6.2185319803981045,6.172475594906695,6.273011089589682,4.851405191531707,8.138666247908818,6.280042704209904,0.01844439548430145,3.422148311022619,3.3970742639777924,3.4542264701904775,2.6024797539561164,4.828310269878113,3.494910912118562,0.013267487797939846,0.9645,0.0041376170678302255,1.0,0.0,1.1425465882456411,0.8481268147423372,,
Hauptmann-like n=50,"long-axis view, biplane width","3-beat mean, same beats",50,2000,0.9642524644664365,0.9621811676210905,0.9662728125358386,0.7710912450547153,0.9909673792860472,0.9417923738193948,0.0013326682004208123,0.041563354586853465,-0.023796377455330076,0.09522483198034261,-2.097600457507612,2.0477708659695493,0.007318259337696771,0.02387491042570796,0.5717329813797342,0.5674335701428019,0.5745880213401265,0.46299223109444654,0.6874608960885883,0.5716863132382418,0.0012642891687006672,-1.0966652196767646,-1.1647266428474699,-1.0327443715266589,-3.224150613388582,0.9361310441309859,-1.113186914609257,0.024038625138719044,1.1567627243543641,1.1071385403096419,1.2013945058190791,-1.0103205252219964,3.180006045071767,1.1278234332846504,0.023967649701673078,2.241193287008558,2.2243395949597837,2.252385043653296,1.8149295458902304,2.6948467126672657,2.241010347893907,0.004956013541306615,3.384681542032585,3.3507004365240416,3.406941962686859,2.515407212528443,4.698242791532567,3.4559698591003234,0.01296662863600173,0.2915,0.010161883437631037,0.0,0.0,0.406214534772587,0.977865858963908,,
Hauptmann-like n=50,"long-axis view, biplane width","3-beat mean, different beats",50,2000,0.9398024336327258,0.9375798075305327,0.9419870514303849,0.753432871861489,0.9768890763102703,0.9196623776631795,0.0013432837769384255,0.030363003925319553,-0.024492397274566695,0.0936562781158496,-2.163988128328968,2.0803171992914122,0.002353503363524492,0.02399153488978503,0.9233703289613167,0.9163606610910614,0.9282705625906624,0.718019851370494,1.1873438238318887,0.9290161425255147,0.0027023222067515604,-1.8013017725222147,-1.8650361389327612,-1.7327154116185712,-4.036161022055774,0.3351484093066225,-1.8185181359864842,0.024705363564963626,1.8472063876963678,1.7858060273267051,1.9041444921131605,-0.4025703614311036,3.921380002628367,1.8232251427135329,0.024432343726654832,3.6196116895283614,3.5921337914769604,3.638820605355397,2.814637817372336,4.654387789421004,3.6417432787000172,0.010593103050466115,3.361595165885756,3.3357073747683654,3.394650297366153,2.5229522256154167,4.691311328611673,3.438796110891165,0.012890087541793195,0.449,0.01112202769282652,0.3205,0.010435031145137996,0.6624457642501322,0.9432211419734651,,
Hauptmann-like n=50,"anchor view, AP width","single beat, same beat",50,2000,0.9437185741690304,0.9421509466527477,0.9454019135794494,0.8292704774475564,0.9777699532831934,0.9342892250275393,0.0008527013937313192,0.008183555564819893,-0.04262194779228788,0.07873127063026338,-2.1747360163231946,2.040210881307404,0.009375125983279123,0.02396881019587273,1.404539838780633,1.3967023258210693,1.4137174278256335,1.1231214402153256,1.693320128069905,1.4079634557802343,0.003274563686944019,-2.7318471063510223,-2.805094667331293,-2.6831620244462298,-5.092583098286508,-0.6225084143302636,-2.7502332473459803,0.02497198521487207,2.7804126595216365,2.7223941116328785,2.8541281661285445,0.5639830926823425,4.799493260127951,2.768983499312538,0.024653455028967246,5.5057961680200815,5.475073117218591,5.541772317076482,4.402636045644076,6.637814902034028,5.519216746658518,0.012836289652820554,4.802474199031765,4.76016975279083,4.848497011786879,3.574065649103166,6.757378213270258,4.893922319985555,0.018269882301420435,0.382,0.01086452944218018,0.9995,0.000499874984371065,1.0009485263301465,0.8791714565086952,,
Hauptmann-like n=50,"anchor view, AP width","single beat, different beats",50,2000,0.8205130693303087,0.8177511721153515,0.8235069732382315,0.6692736936046364,0.9117442999675138,0.8128539823009842,0.0013693171141195206,0.006536485206341611,-0.054362235063719934,0.06574798845366693,-2.242104567972213,2.104769334167266,-0.002422775258218506,0.02531738314763202,2.7695540356681017,2.748005514714286,2.7859698600798777,2.1574343725464433,3.6022042826849834,2.7998009638859633,0.008447538673428472,-5.428622918813538,-5.521189430689575,-5.355144562350585,-8.235517490067842,-2.8983499776862973,-5.490032664474707,0.030491729518404866,5.4480122550285035,5.363322272483361,5.53125803908598,2.895514415297204,8.181305445731889,5.48518711395827,0.030007904805289903,10.856651819818957,10.772181617680001,10.92100185151312,8.457142740382059,14.120640788125135,10.975219778432976,0.03311435159983961,4.649889994169275,4.615627339497258,4.693121805864446,3.4952363341637493,6.484353510593486,4.740802177681911,0.017181530441197863,0.9985,0.0008653756409790912,1.0,0.0,1.9976906536980734,0.6462325999157507,,
