cell,p_beat_cv,p_view_over,p_ai_shared_lambda,ref,metric,value,mcse,n,mci_lo,mci_hi
0,0.05,False,0.0,R_img,ref_ba_bias_vs_T1,-0.31291102057996145,0.002014724587746253,2000,-0.31685980824185894,-0.30896223291806396
0,0.05,False,0.0,R_img,ref_mae_vs_T1,0.9599674427930672,0.00136606616055703,2000,0.9572900022967572,0.9626448832893773
0,0.05,False,0.0,adj_tol1,p_adjudicated,0.44822750000000006,0.002797693052334823,2000,0.4427441223343737,0.4537108776656264
0,0.05,False,0.0,adj_tol1,ref_ba_bias_vs_T1,-0.1241182838600092,0.008997345949930288,2000,-0.14175275801741838,-0.10648380970260003
0,0.05,False,0.0,adj_tol1,ref_mae_vs_T1,1.1338154625701795,0.0027703877952981347,2000,1.1283856022253558,1.1392453229150032
0,0.05,False,0.0,adj_tol2,p_adjudicated,0.12941500000000003,0.002181649876949277,2000,0.12513904478057503,0.13369095521942503
0,0.05,False,0.0,adj_tol2,ref_ba_bias_vs_T1,-0.12205913212695647,0.008857643502043237,2000,-0.13941979451579514,-0.1046984697381178
0,0.05,False,0.0,adj_tol2,ref_mae_vs_T1,1.0930437423653645,0.002522741420174,2000,1.0880992600005146,1.0979882247302144
0,0.05,False,0.0,adj_tol3,p_adjudicated,0.022947500000000003,0.0008236969164565871,2000,0.021333083696834083,0.024561916303165923
0,0.05,False,0.0,adj_tol3,ref_ba_bias_vs_T1,-0.12031175497387153,0.008663944240388587,2000,-0.1372927737830405,-0.10333073616470255
0,0.05,False,0.0,adj_tol3,ref_mae_vs_T1,1.0786981928385393,0.0023332303055513207,2000,1.0741251454359497,1.0832712402411289
0,0.05,False,0.0,mean2,ref_ba_bias_vs_T1,-0.11991548259252989,0.008612266307218668,2000,-0.13679521451309143,-0.10303575067196837
0,0.05,False,0.0,mean2,ref_mae_vs_T1,1.0753827362205246,0.002266867264684369,2000,1.0709397579889648,1.0798257144520844
0,0.05,False,0.0,single,ref_ba_bias_vs_T1,-0.12043293848885224,0.008677540832030855,2000,-0.13744060612816275,-0.10342527084954171
0,0.05,False,0.0,single,ref_mae_vs_T1,1.2049707587251999,0.0029303104319445914,2000,1.199227455769764,1.2107140616806358
1,0.05,False,0.5,R_img,ref_ba_bias_vs_T1,-0.3129633401900954,0.002022637975191717,2000,-0.31692763780650407,-0.30899904257368677
1,0.05,False,0.5,R_img,ref_mae_vs_T1,0.9599558407044009,0.0013689151527705038,2000,0.9572728162859162,0.9626388651228855
1,0.05,False,0.5,adj_tol1,p_adjudicated,0.44771500000000003,0.0028435422018367883,2000,0.4421417596519192,0.45328824034808085
1,0.05,False,0.5,adj_tol1,ref_ba_bias_vs_T1,-0.10701234003543122,0.008981130119975237,2000,-0.12461503174989837,-0.08940964832096408
1,0.05,False,0.5,adj_tol1,ref_mae_vs_T1,1.130268081928161,0.0027738510882150606,2000,1.1248314336538987,1.1357047302024232
1,0.05,False,0.5,adj_tol2,p_adjudicated,0.130415,0.0022210341924297273,2000,0.12606185294006866,0.13476814705993134
1,0.05,False,0.5,adj_tol2,ref_ba_bias_vs_T1,-0.10683857282272137,0.008852396470109982,2000,-0.12418895121786401,-0.08948819442757873
1,0.05,False,0.5,adj_tol2,ref_mae_vs_T1,1.0889596447660557,0.002443540563585843,2000,1.0841703932288878,1.0937488963032236
1,0.05,False,0.5,adj_tol3,p_adjudicated,0.023600000000000003,0.000829013649957531,2000,0.02197516309057464,0.025224836909425365
1,0.05,False,0.5,adj_tol3,ref_ba_bias_vs_T1,-0.1084437619503286,0.008641502794503899,2000,-0.12538079633345564,-0.09150672756720155
1,0.05,False,0.5,adj_tol3,ref_mae_vs_T1,1.0755182694974532,0.0022632679276936487,2000,1.071082345836819,1.0799541931580874
1,0.05,False,0.5,mean2,ref_ba_bias_vs_T1,-0.10875714904730098,0.008582528062642609,2000,-0.12557859507907024,-0.09193570301553172
1,0.05,False,0.5,mean2,ref_mae_vs_T1,1.072531403469154,0.0022009881329277106,2000,1.0682175459641885,1.0768452609741195
1,0.05,False,0.5,single,ref_ba_bias_vs_T1,-0.10779742998563248,0.008652897041742208,2000,-0.1247567966831537,-0.09083806328811125
1,0.05,False,0.5,single,ref_mae_vs_T1,1.2035923625798035,0.0029027003283223097,2000,1.1979031744335036,1.2092815507261034
2,0.05,False,1.0,R_img,ref_ba_bias_vs_T1,-0.30988980005915995,0.0019575584200467737,2000,-0.3137265440903485,-0.3060530560279714
2,0.05,False,1.0,R_img,ref_mae_vs_T1,0.9597172291617584,0.001377197318590716,2000,0.957017971996424,0.9624164863270928
2,0.05,False,1.0,adj_tol1,p_adjudicated,0.45058,0.0028502159857777074,2000,0.44499367927565114,0.4561663207243488
2,0.05,False,1.0,adj_tol1,ref_ba_bias_vs_T1,-0.10063809797733515,0.009018309615243582,2000,-0.11831366016406643,-0.08296253579060388
2,0.05,False,1.0,adj_tol1,ref_mae_vs_T1,1.1335520465854052,0.002775879336486872,2000,1.128111423017547,1.1389926701532633
2,0.05,False,1.0,adj_tol2,p_adjudicated,0.13097250000000002,0.0022341086572996646,2000,0.12659372745960434,0.1353512725403957
2,0.05,False,1.0,adj_tol2,ref_ba_bias_vs_T1,-0.10078897705088792,0.008867354980378382,2000,-0.11816867358765026,-0.08340928051412558
2,0.05,False,1.0,adj_tol2,ref_mae_vs_T1,1.0922127142486722,0.0025019858375772554,2000,1.0873089120785109,1.0971165164188335
2,0.05,False,1.0,adj_tol3,p_adjudicated,0.0235775,0.0008804087440804565,2000,0.021851930556317095,0.025303069443682907
2,0.05,False,1.0,adj_tol3,ref_ba_bias_vs_T1,-0.10349821351422177,0.008667073824072608,2000,-0.12048536619474641,-0.08651106083369713
2,0.05,False,1.0,adj_tol3,ref_mae_vs_T1,1.07807033558062,0.00229902437452931,2000,1.07356433057142,1.08257634058982
2,0.05,False,1.0,mean2,ref_ba_bias_vs_T1,-0.10427143032197496,0.008600014069985956,2000,-0.12112714829864091,-0.08741571234530901
2,0.05,False,1.0,mean2,ref_mae_vs_T1,1.074944679512605,0.0022314905131459823,2000,1.0705710384404974,1.0793183205847126
2,0.05,False,1.0,single,ref_ba_bias_vs_T1,-0.1018959612273128,0.008599756606423021,2000,-0.1187511745846641,-0.0850407478699615
2,0.05,False,1.0,single,ref_mae_vs_T1,1.2043191432507163,0.002921467773245339,2000,1.1985931715879954,1.2100451149134372
3,0.05,True,0.0,R_img,ref_ba_bias_vs_T1,-0.08344481525229824,0.0022376580792191902,2000,-0.087830544531877,-0.07905908597271949
3,0.05,True,0.0,R_img,ref_mae_vs_T1,1.041901816113347,0.0015908970209866226,2000,1.038783715224506,1.045019917002188
3,0.05,True,0.0,adj_tol1,p_adjudicated,0.45674000000000003,0.0028056544777510044,2000,0.4512410182271693,0.4622389817728308
3,0.05,True,0.0,adj_tol1,ref_ba_bias_vs_T1,0.09306498702786295,0.008955459891154148,2000,0.0755126080377569,0.110617366017969
3,0.05,True,0.0,adj_tol1,ref_mae_vs_T1,1.2123798989951637,0.002765069680746896,2000,1.2069604619634082,1.2177993360269193
3,0.05,True,0.0,adj_tol2,p_adjudicated,0.14004250000000001,0.0021570945448247405,2000,0.13581467234754713,0.1442703276524529
3,0.05,True,0.0,adj_tol2,ref_ba_bias_vs_T1,0.0932638806280841,0.008778154457993645,2000,0.07605901390397705,0.11046874735219116
3,0.05,True,0.0,adj_tol2,ref_mae_vs_T1,1.1705146776181805,0.0024914613135800477,2000,1.1656315031361708,1.1753978521001902
3,0.05,True,0.0,adj_tol3,p_adjudicated,0.030965000000000003,0.0008155240200102058,2000,0.02936660227964472,0.03256339772035528
