p_beat_cv,p_view_over,sigma_ai_mm,ref,m,apparent_min,apparent_max,mcse_apparent_max,range_over_max_mcse
0.05,True,1.0,adj_tol1,ba_bias,-0.09341249929803094,-0.08938961506539303,0.009134955466280223,0.44038356262245054
0.05,True,1.0,adj_tol1,icc,0.9141534688034954,0.9154057872377754,0.00037334748408673153,3.354297236911775
0.05,True,1.0,adj_tol1,mae,1.46196479799075,1.466007818423885,0.0025995328023928647,1.5552873306362545
0.05,True,1.0,adj_tol2,ba_bias,-0.09361139289825209,-0.08834157825968757,0.00895877381742757,0.5882294548293103
0.05,True,1.0,adj_tol2,icc,0.9176050983320838,0.9186100228561209,0.00034769828771342363,2.8902199393785293
0.05,True,1.0,adj_tol2,mae,1.4291357725563638,1.4323748065455142,0.0023763055305377903,1.3630545178327038
0.05,True,1.0,adj_tol3,ba_bias,-0.09345071687527004,-0.08593479384711665,0.008782484080405113,0.8557855567222047
0.05,True,1.0,adj_tol3,icc,0.9188364095057723,0.9199196866058321,0.0003342806740965194,3.240621381979923
0.05,True,1.0,adj_tol3,mae,1.415962627288037,1.4205267263681904,0.002251763255442827,2.026900061150461
0.05,True,1.0,mean2,ba_bias,-0.0947967911292491,-0.08713604088277489,0.008731919506584316,0.8773271719577364
0.05,True,1.0,mean2,icc,0.9195690448788525,0.9205454546046158,0.00032916158616090813,2.9663538116686063
0.05,True,1.0,mean2,mae,1.4115354896974397,1.415100028118242,0.0022189383491405708,1.6064161594137525
0.05,True,1.0,single,ba_bias,-0.0941745276619281,-0.08533480157900399,0.008747247977245439,1.0105722515149047
0.05,True,1.0,single,icc,0.9090004753396037,0.9098714298751704,0.00039645367000498536,2.196863344853851
0.05,True,1.0,single,mae,1.5188334620071553,1.52193669260619,0.0027485619838981297,1.129037881340946
0.05,True,2.0,adj_tol1,ba_bias,-0.09376001156819892,-0.08720242048166173,0.009552412926128365,0.6864853034776645
0.05,True,2.0,adj_tol1,icc,0.8526976982264096,0.8547411707125606,0.0005610763715083879,3.6420576412037513
0.05,True,2.0,adj_tol1,mae,2.0240443761581894,2.0290514804427966,0.0028338627269374472,1.766883143989945
0.05,True,2.0,adj_tol2,ba_bias,-0.09395890516842008,-0.08721544775947151,0.009373886385768932,0.7193875764470772
0.05,True,2.0,adj_tol2,icc,0.8557870048015807,0.8574354438915726,0.0005416343509049284,3.0434537381866504
0.05,True,2.0,adj_tol2,mae,2.001272337517546,2.0033592914438176,0.0026922678867771486,0.7751657762295735
0.05,True,2.0,adj_tol3,ba_bias,-0.09379822914543802,-0.08374759926338533,0.00920420089513854,1.0919611595354477
0.05,True,2.0,adj_tol3,icc,0.8568362568854506,0.85855560743919,0.0005316009399265522,3.2342880243532814
