K,beat_cv,view_over,window,S_median_mm,axis,estimand,maxabs_a1a6_winner,maxabs_a1a6_value,maxabs_a1a6_mcse,maxabs_a1a6_runnerup,maxabs_a1a6_runnerup_value,maxabs_a1a6_gap,maxabs_a1a6_gap_mcse,maxabs_a1a6_clear,rmse_a1a6_winner,rmse_a1a6_value,rmse_a1a6_mcse,rmse_a1a6_runnerup,rmse_a1a6_runnerup_value,rmse_a1a6_gap,rmse_a1a6_gap_mcse,rmse_a1a6_clear,maxabs_a1a4_winner,maxabs_a1a4_value,maxabs_a1a4_mcse,maxabs_a1a4_runnerup,maxabs_a1a4_runnerup_value,maxabs_a1a4_gap,maxabs_a1a4_gap_mcse,maxabs_a1a4_clear,rmse_a1a4_winner,rmse_a1a4_value,rmse_a1a4_mcse,rmse_a1a4_runnerup,rmse_a1a4_runnerup_value,rmse_a1a4_gap,rmse_a1a4_gap_mcse,rmse_a1a4_clear
2,0.05,False,0.0,10.0,AP,T1,A3,1.5586019893903151,0.006815966736832227,A4,1.5822195375428756,0.023617548152560452,0.009695567912742606,True,A3,2.659874801506497,0.008740587010638397,A4,2.6940739740489428,0.034199172542445755,0.012533670621765601,True,A3,1.5586019893903151,0.006815966736832227,A4,1.5822195375428756,0.023617548152560452,0.009695567912742606,True,A3,2.659874801506497,0.008740587010638397,A4,2.6940739740489428,0.034199172542445755,0.012533670621765601,True
2,0.05,False,0.0,10.0,AP,T2,A1,0.06987636733158341,0.004773896158873506,A6,0.07178574088400651,0.0019093735524230993,0.007374803832210966,False,A1,1.5377403283077167,0.004479616538198152,A6,1.80836604363275,0.2706257153250333,0.0067235343164904005,True,A1,0.06987636733158341,0.004773896158873506,A4,1.5309863047368608,1.4611099374052774,0.008436870291594883,True,A1,1.5377403283077167,0.004479616538198152,A4,2.6801007915272437,1.142360463219527,0.01084456221193884,True
2,0.05,False,0.0,10.0,SL,T1,A3,0.9619477699468159,0.005010971435441332,A4,0.9719033029675758,0.00995553302075991,0.007108809051423852,False,A3,1.8537264833172724,0.0058533880128286905,A4,1.8673788435311012,0.013652360213828763,0.008363217046820455,False,A3,0.9619477699468159,0.005010971435441332,A4,0.9719033029675758,0.00995553302075991,0.007108809051423852,False,A3,1.8537264833172724,0.0058533880128286905,A4,1.8673788435311012,0.013652360213828763,0.008363217046820455,False
2,0.05,False,0.0,10.0,SL,T2,A6,0.0463349767719134,0.004724392518253756,A1,0.04833329487482107,0.0019983181029076674,0.006091249315382637,False,A1,1.2318151225861018,0.003130146995593893,A6,1.513625584351203,0.28181046176510116,0.004817649740142576,True,A1,0.04833329487482107,0.0038449230883877733,A4,1.0569717435936792,1.0086384487188582,0.006274810500194199,True,A1,1.2318151225861018,0.003130146995593893,A4,1.891070068166488,0.6592549455803862,0.007078922778501374,True
2,0.05,False,0.0,13.0,AP,T1,A3,2.068427021826702,0.008602326486498302,A4,2.1044276200349925,0.03600059820829049,0.01223219379201336,True,A3,3.4173554750176227,0.0115400151182611,A4,3.462830400110313,0.045474925092690466,0.016408446173201193,True,A3,2.068427021826702,0.008602326486498302,A4,2.1044276200349925,0.03600059820829049,0.01223219379201336,True,A3,3.4173554750176227,0.0115400151182611,A4,3.462830400110313,0.045474925092690466,0.016408446173201193,True
2,0.05,False,0.0,13.0,AP,T2,A1,0.0917809907739541,0.005762706168141099,A6,0.0935233162442009,0.0017423254702468027,0.00872396032520552,False,A1,1.835396328185674,0.005465554416630294,A6,2.103862634230214,0.26846630604454,0.008177201803253828,True,A1,0.0917809907739541,0.005762706168141099,A4,1.92834056280091,1.8365595720269559,0.01052065259276523,True,A1,1.835396328185674,0.005465554416630294,A4,3.386141566817218,1.550745238631544,0.01417731414685652,True
2,0.05,False,0.0,13.0,SL,T1,A3,1.287529256640136,0.0060122443247921185,A4,1.3043130888517809,0.016783832211644922,0.008544159520275582,True,A3,2.296171514003687,0.007691770491744458,A4,2.320938126461382,0.024766612457695292,0.011017550342018548,True,A3,1.287529256640136,0.0060122443247921185,A4,1.3043130888517809,0.016783832211644922,0.008544159520275582,True,A3,2.296171514003687,0.007691770491744458,A4,2.320938126461382,0.024766612457695292,0.011017550342018548,True
2,0.05,False,0.0,13.0,SL,T2,A1,0.05898340628007006,0.0043478184756636385,A6,0.06313640182433057,0.004152995544260511,0.006800161706500362,False,A1,1.3904558603387787,0.0037739919621264315,A6,1.6659998258706046,0.2755439655318259,0.005727871800139503,True,A1,0.05898340628007006,0.0043478184756636385,A4,1.315076185039125,1.256092778759055,0.007486404199783566,True,A1,1.3904558603387787,0.0037739919621264315,A4,2.3331653315305814,0.9427094711918027,0.009651301268062159,True
2,0.05,False,0.15,10.0,AP,T1,A3,1.5019027954614155,0.006913730136648214,A4,1.525383677125986,0.02348088166457063,0.009827708817540437,True,A3,2.6524763236625106,0.00888508100505078,A4,2.6842440645818013,0.03176774091929069,0.012707939903549457,True,A3,1.5019027954614155,0.006913730136648214,A4,1.525383677125986,0.02348088166457063,0.009827708817540437,True,A3,2.6524763236625106,0.00888508100505078,A4,2.6842440645818013,0.03176774091929069,0.012707939903549457,True
2,0.05,False,0.15,10.0,AP,T2,A6,0.07883954493613084,0.005573097672619925,A1,0.11593006385685087,0.03709051892072003,0.0071224121499691906,True,A1,1.5630539048559966,0.004274469553923721,A6,1.7837455224114218,0.2206916175554252,0.006415085131878119,True,A1,0.11593006385685087,0.004435012645468682,A4,1.6035518336218502,1.4876217697649994,0.008203770136840911,True,A1,1.5630539048559966,0.004274469553923721,A4,2.7082432645296595,1.1451893596736629,0.010252377066415486,True
2,0.05,False,0.15,10.0,SL,T1,A3,0.8441005655665655,0.005040108380200786,A4,0.8538764367043876,0.009775871137822079,0.007153289407635086,False,A3,1.8035380812487247,0.005769285518170204,A4,1.8181762535088641,0.014638172260139415,0.00824198929780276,False,A3,0.8441005655665655,0.005040108380200786,A4,0.8538764367043876,0.009775871137822079,0.007153289407635086,False,A3,1.8035380812487247,0.005769285518170204,A4,1.8181762535088641,0.014638172260139415,0.00824198929780276,False
