cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,w_anchor,metric,value,mcse,n,test,mci_lo,mci_hi
0,0.05,0.0,1.0,100,0.5,power_reject_bf_onesided,1.0,0.0,2000,bf_onesided,1.0,1.0
0,0.05,0.0,1.0,10,0.0,power_reject_either_unadjusted,0.124,0.007369667563737186,2000,either_unadjusted,0.1095557168831074,0.13844428311689258
0,0.05,0.0,1.0,10,0.1,power_reject_either_unadjusted,0.199,0.008927457644816915,2000,either_unadjusted,0.18150250440463406,0.21649749559536596
0,0.05,0.0,1.0,10,0.2,power_reject_either_unadjusted,0.3245,0.010468995892634595,2000,either_unadjusted,0.30398114493428835,0.34501885506571167
0,0.05,0.0,1.0,10,0.3,power_reject_either_unadjusted,0.518,0.011173092678394824,2000,either_unadjusted,0.4961011405816826,0.5398988594183175
0,0.05,0.0,1.0,10,0.5,power_reject_either_unadjusted,0.8975,0.006782099601155973,2000,either_unadjusted,0.8842073289373199,0.91079267106268
0,0.05,0.0,1.0,25,0.0,power_reject_either_unadjusted,0.1425,0.007816449001944554,2000,either_unadjusted,0.12718004134835273,0.15781995865164725
0,0.05,0.0,1.0,25,0.1,power_reject_either_unadjusted,0.259,0.009795891996137973,2000,either_unadjusted,0.23980040433968144,0.2781995956603186
0,0.05,0.0,1.0,25,0.2,power_reject_either_unadjusted,0.4975,0.011180200132376878,2000,either_unadjusted,0.4755872102277461,0.5194127897722539
0,0.05,0.0,1.0,25,0.3,power_reject_either_unadjusted,0.788,0.009139365404665686,2000,either_unadjusted,0.7700871728240098,0.8059128271759902
0,0.05,0.0,1.0,25,0.5,power_reject_either_unadjusted,0.9965,0.0013205585939290896,2000,either_unadjusted,0.9939117526960084,0.9990882473039917
0,0.05,0.0,1.0,50,0.0,power_reject_either_unadjusted,0.1425,0.007816449001944554,2000,either_unadjusted,0.12718004134835273,0.15781995865164725
0,0.05,0.0,1.0,50,0.1,power_reject_either_unadjusted,0.3535,0.010689662062011128,2000,either_unadjusted,0.3325486471862924,0.37445135281370756
0,0.05,0.0,1.0,50,0.2,power_reject_either_unadjusted,0.683,0.010404590333117397,2000,either_unadjusted,0.662607377512342,0.7033926224876581
0,0.05,0.0,1.0,50,0.3,power_reject_either_unadjusted,0.9325,0.005609979946488223,2000,either_unadjusted,0.9215046412641612,0.9434953587358388
0,0.05,0.0,1.0,50,0.5,power_reject_either_unadjusted,1.0,0.0,2000,either_unadjusted,1.0,1.0
0,0.05,0.0,1.0,100,0.0,power_reject_either_unadjusted,0.1435,0.007839252196478947,2000,either_unadjusted,0.1281353479079803,0.15886465209201966
0,0.05,0.0,1.0,100,0.1,power_reject_either_unadjusted,0.451,0.011126522367748155,2000,either_unadjusted,0.42919241671401887,0.47280758328598116
0,0.05,0.0,1.0,100,0.2,power_reject_either_unadjusted,0.851,0.007962380297373393,2000,either_unadjusted,0.8353940212628388,0.8666059787371612
0,0.05,0.0,1.0,100,0.3,power_reject_either_unadjusted,0.987,0.0025328837320335107,2000,either_unadjusted,0.9820356390690287,0.9919643609309713
0,0.05,0.0,1.0,100,0.5,power_reject_either_unadjusted,1.0,0.0,2000,either_unadjusted,1.0,1.0
0,0.05,0.0,1.0,10,0.0,power_reject_f_variance,0.079,0.006031542091372653,2000,f_variance,0.06717839463642489,0.09082160536357511
0,0.05,0.0,1.0,10,0.1,power_reject_f_variance,0.154,0.008071059410015515,2000,f_variance,0.13818101411450834,0.16981898588549166
0,0.05,0.0,1.0,10,0.2,power_reject_f_variance,0.272,0.009950276378071114,2000,f_variance,0.2524978165089303,0.29150218349106977
0,0.05,0.0,1.0,10,0.3,power_reject_f_variance,0.46,0.011144505372604026,2000,f_variance,0.43815717067188953,0.4818428293281105
0,0.05,0.0,1.0,10,0.5,power_reject_f_variance,0.8565,0.007839252196478946,2000,f_variance,0.8411353479079804,0.8718646520920197
0,0.05,0.0,1.0,25,0.0,power_reject_f_variance,0.103,0.0067967271535644275,2000,f_variance,0.08967865946119125,0.11632134053880874
0,0.05,0.0,1.0,25,0.1,power_reject_f_variance,0.2115,0.00913147715323211,2000,f_variance,0.19360263351284257,0.22939736648715742
