cell,p_beat_cv,p_view_over,n_studies,n_patients,seed,ref,bias_ref,mcse_bias_ref,var_ref,mcse_var_ref,sd_ref,mcse_sd_ref,msq_ref,mcse_msq_ref,bias_img,mcse_bias_img,var_img,mcse_var_img,msq_img,mcse_msq_img,bias_read,mcse_bias_read,var_read,mcse_var_read,two_cov_img_read,mcse_two_cov_img_read,var_reader_bias,mcse_var_reader_bias,var_read_remainder,mcse_var_read_remainder,two_cov_bias_remainder,mcse_two_cov_bias_remainder,share_img_of_var_ref,mcse_share_img_of_var_ref,share_img_of_msq_ref,mcse_share_img_of_msq_ref,within_study_var_ref_mean,mcse_within_study_var_ref_mean,within_study_var_img_mean,mcse_within_study_var_img_mean,lambda_star_mse,mcse_lambda_star_mse
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",single,0.4156630244872927,0.008418228191329582,3.882063722630518,0.01732084178714288,1.9702953389353888,0.004395793062262293,4.054839472556441,0.01931069957747319,0.2136322772103391,0.0028539529200877134,3.0725970862640546,0.01250605062496407,3.1182358361301303,0.012967035193092082,0.20203074727695358,0.008049027651221244,1.6178969426534109,0.009711917088209865,-0.8084303062869478,0.009242351742047392,0.5765135832117871,0.007597340296447777,1.0665435889965438,0.004112038383848204,-0.025160229554919943,0.0023744642241286273,0.7914854844737164,0.001714039004632246,0.7690158530897861,0.002160603288071648,3.7210851563967045,0.01682914236168986,3.057628496372423,0.012362735183021325,0.735323418072975,0.0016910419660128187
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",mean2,0.4151950901561876,0.008277214693439311,3.155642995203129,0.014255529771897993,1.7764129573956415,0.0040127858863232,3.3280299580929342,0.015785036830466205,0.2136322772103391,0.0028539529200877134,3.0725970862640546,0.01250605062496407,3.1182358361301303,0.012967035193092082,0.2015628129458485,0.007924346305496629,1.012560512357453,0.00699245695043186,-0.9295146034183784,0.006816610794656944,0.2911797757363988,0.004909013398555187,0.732443371353385,0.003950064493455082,-0.011062634732330828,0.001484455500995563,0.973683363718484,0.0021140992668721406,0.9369614683147196,0.0025790255732933325,2.999205869974843,0.013389213819083071,3.057628496372423,0.012362735183021325,0.6170928984143272,0.0014474292412857482
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",R_img,0.2136322772103391,0.0028539529200877134,3.0725970862640546,0.01250605062496407,1.7528825078321864,0.003566889484891308,3.1182358361301303,0.012967035193092082,0.2136322772103391,0.0028539529200877134,3.0725970862640546,0.01250605062496407,3.1182358361301303,0.012967035193092082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.057628496372423,0.012362735183021325,3.057628496372423,0.012362735183021325,0.5,0.0
0,0.05,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 0))",single,-0.10736387177878831,0.016320660672030814,2.430442769374818,0.02130446129324018,1.5589877386864908,0.006831171221187642,2.44196977033815,0.021461343056872462,-0.30871434003942205,0.003965817948612162,1.5755264399315492,0.009685033475643368,1.670830983677525,0.010411725399586364,0.2013504682606338,0.015552791162159957,0.9164462962965817,0.0187456754926931,-0.06152996685331324,0.006901425723493122,0.5675092321607893,0.018738148560159127,0.365855723390874,0.001926074786255754,-0.016918659255081642,0.00276509743591637,0.648246673315752,0.005665882299511716,0.6842144419528002,0.006132495787038122,2.282721654473825,0.020590803543752385,1.5674047694071787,0.009780157166354619,0.7738006651599771,0.006653116078505288
0,0.05,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 0))",mean2,-0.10812814462547918,0.01590457272432078,1.9926298574391363,0.01207020305541842,1.4116054184647835,0.004274554927372917,2.0043215530992846,0.012596126440962835,-0.30871434003942205,0.003965817948612162,1.5755264399315492,0.009685033475643368,1.670830983677525,0.010411725399586364,0.20058619541394287,0.015242614146348778,0.47397597436528677,0.009175888634846441,-0.05687255685769991,0.004489201772138159,0.28404879496872465,0.009184037632505452,0.19775761901792932,0.0007797156299997237,-0.007830439621367204,0.0013545483186986117,0.7906769207786362,0.004269653281752471,0.8336142377424007,0.004971460060343808,1.8462597832036836,0.010816736528573033,1.5674047694071787,0.009780157166354619,0.6340900015150512,0.0033026061235621545
0,0.05,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 0))",R_img,-0.30871434003942205,0.003965817948612162,1.5755264399315492,0.009685033475643368,1.2551997609669743,0.0038582980008188836,1.670830983677525,0.010411725399586364,-0.30871434003942205,0.003965817948612162,1.5755264399315492,0.009685033475643368,1.670830983677525,0.010411725399586364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5674047694071787,0.009780157166354619,1.5674047694071787,0.009780157166354619,0.5,0.0
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",single,0.07154025296092932,0.015257497358272502,2.8148168630953085,0.02263915683192893,1.6777415960437139,0.006747653328145166,2.819934870889022,0.023015256540748173,-0.09504305866520307,0.003249227530529631,2.025483343548969,0.01410880225871873,2.0345165265494067,0.014062976987274196,0.16658331162613238,0.013908881628673186,0.9814315728420473,0.017536054845888997,-0.19209805329570845,0.009779217496526948,0.558561686758286,0.017804391952461442,0.43471757465435773,0.0033382624006519086,-0.011847688570596381,0.003460732968450445,0.7195790852700982,0.005480999607001801,0.7214764239955649,0.005379231340721687,2.668535987848101,0.01795111452915539,2.0153733695182177,0.014140557624341544,0.7333516240239532,0.005035475112598334
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",mean2,0.07368894764806659,0.014742497106256653,2.3293594527701615,0.019328355359878077,1.5262239196035952,0.006332697972609191,2.334789513775641,0.019503471933149358,-0.09504305866520307,0.003249227530529631,2.025483343548969,0.01410880225871873,2.0345165265494067,0.014062976987274196,0.16873200631326968,0.013281673085919859,0.5459932508651896,0.012328065445418286,-0.24211714164399756,0.009818215454843831,0.2810964292391911,0.012393164207374505,0.27192475770799857,0.0023713359261016806,-0.007027936082000101,0.001180646767044335,0.8695452052881699,0.006114774985479956,0.8713918383414975,0.005878480721451765,2.1851350658529824,0.014057215176711678,2.0153733695182177,0.014140557624341544,0.6152533701018279,0.003519794577676336
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",R_img,-0.09504305866520307,0.003249227530529631,2.025483343548969,0.01410880225871873,1.423194766554799,0.00495772228710465,2.0345165265494067,0.014062976987274196,-0.09504305866520307,0.003249227530529631,2.025483343548969,0.01410880225871873,2.0345165265494067,0.014062976987274196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0153733695182177,0.014140557624341544,2.0153733695182177,0.014140557624341544,0.5,0.0
6,0.15,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 6))",single,0.2974155602734827,0.010621625668471708,3.4423169265598967,0.029148447393306177,1.8553481955039859,0.007855420370512204,3.5307729420526863,0.02935170690976235,0.03973094286248634,0.00444386404381784,2.634836843594914,0.01808138219891465,2.6364153914156563,0.018027143589635787,0.2576846174109964,0.011532449372784843,1.4954091549204334,0.016553086527671148,-0.6879290719554504,0.017783556452124753,0.5481124078933755,0.012438043214156053,0.9685324633915808,0.0071123068978580966,-0.021235716364523177,0.0031674194590000453,0.7654254096318948,0.005119595189762582,0.7466963848099852,0.005159262976252886,3.2780947697982663,0.02312550181197396,2.622603608630898,0.01772106164122718,0.7666630367229681,0.00405800945177086
