cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,design,n_double,overlap_frac,mcse_ba_bias_empirical_sd,mcse_ba_bias_mean,mcse_icc_ci_width_mean,mcse_icc_empirical_sd,mcse_icc_mean,mcse_loa_ci_width_each_mean,mcse_loa_hi_empirical_sd,mcse_loa_hi_mean,mcse_loa_lo_empirical_sd,mcse_loa_lo_mean,mcse_loa_width_mean,ba_bias_empirical_sd,ba_bias_mean,icc_ci_width_mean,icc_empirical_sd,icc_mean,loa_ci_width_each_mean,loa_hi_empirical_sd,loa_hi_mean,loa_lo_empirical_sd,loa_lo_mean,loa_width_mean,icc_emp95_range,loa_hi_emp95_range
0,0.05,0.0,1.0,gold,25,,0.0029788949300928514,0.004211740280936285,0.0006554867150264337,0.00026878967830344533,0.0003800309650986045,0.006967388296523203,0.007556576808827721,0.01068394142076594,0.007204143115071294,0.010185649530925154,0.019100604611429,0.1883547514349519,0.0006459811601293837,0.04334366853888129,0.016995501430306596,0.9758311271209109,1.289796024475164,0.47780038568916655,1.7685884902052091,0.45551609492274986,-1.7672965278849504,3.53588501809016,0.06662114193069887,1.8729431102737633
0,0.05,0.0,1.0,gold,50,,0.0020945332331173704,0.002961376683200159,0.0002806409898099584,0.00017145616121417678,0.00024241500205512292,0.0035889002501925684,0.00549763711727367,0.007772889020986795,0.005443155622757093,0.0076958598170685745,0.014290175529848795,0.1324367914123683,0.003938628662810561,0.02630134285238213,0.010841128467220122,0.97769227666062,0.9011875586580683,0.34761416464976524,1.7980994440614422,0.3441693139254886,-1.7902221867358212,3.5883216307972634,0.04249644303025324,1.362622497207225
0,0.05,0.0,1.0,gold,100,,0.0015161965889655194,0.0021436896558702147,0.00013180541885975455,0.00011730588633865953,0.00016585409632694428,0.00201460319055452,0.004372061264026008,0.006181482384759903,0.004301236671497861,0.006081346328862693,0.011489359160832149,0.09586871586377864,0.0026135505106706703,0.017157996113912503,0.007417220674676913,0.9786781201865078,0.6347244555189272,0.2764442962808131,1.812542491309504,0.2719660757211155,-1.807315390288163,3.619857881597667,0.02907497100484492,1.083641737431455
0,0.05,0.0,1.0,gold,200,,0.0010512265010308994,0.0014862870637204866,6.543661187571056e-05,8.399088248629781e-05,0.00011875134615368933,0.0010483377223448563,0.0032007504364628867,0.004525412899358267,0.003173298280390167,0.0044865993949402315,0.008507742070466232,0.06646877817115139,0.0015590890525973657,0.011725313850513806,0.005310721648385151,0.9790060505249273,0.44865291175929667,0.20238261738439,1.8220713014120185,0.20064682469791567,-1.8189531233068237,3.641024424718842,0.02081764648971111,0.7933252885983572
0,0.05,0.0,1.0,overlap,50,0.1,0.0020945332331173704,0.002961376683200159,0.0002806409898099584,0.00017145616121417678,0.00024241500205512292,0.0035889002501925684,0.00549763711727367,0.007772889020986795,0.005443155622757093,0.0076958598170685745,0.014290175529848795,0.1324367914123683,0.003938628662810561,0.02630134285238213,0.010841128467220122,0.97769227666062,0.9011875586580683,0.34761416464976524,1.7980994440614422,0.3441693139254886,-1.7902221867358212,3.5883216307972634,0.04249644303025324,1.362622497207225
0,0.05,0.0,1.0,overlap,100,0.2,0.0015161965889655194,0.0021436896558702147,0.00013180541885975455,0.00011730588633865953,0.00016585409632694428,0.00201460319055452,0.004372061264026008,0.006181482384759903,0.004301236671497861,0.006081346328862693,0.011489359160832149,0.09586871586377864,0.0026135505106706703,0.017157996113912503,0.007417220674676913,0.9786781201865078,0.6347244555189272,0.2764442962808131,1.812542491309504,0.2719660757211155,-1.807315390288163,3.619857881597667,0.02907497100484492,1.083641737431455
0,0.05,0.0,1.0,overlap,150,0.3,0.0012269592735445437,0.0017347485952768406,8.822529217377219e-05,9.765874162761585e-05,0.00013807578499781402,0.0013977812967935132,0.003717069200417021,0.005255415328776307,0.0036379194444588875,0.00514350865760521,0.009803710135572836,0.07758031565822572,0.0020042342121626986,0.013694269372651677,0.006174936826035157,0.9788914074196605,0.5186256905691217,0.23502931850276457,1.8207637035456756,0.2300247000252788,-1.8167552351213498,3.6375189386670255,0.02420530776260634,0.9212980064199049
0,0.05,0.0,1.0,overlap,250,0.5,0.0009446028990455093,0.0013355362215729965,5.267644493038393e-05,7.584639846671808e-05,0.00010723618626463726,0.0008348403255841935,0.0028258768350690076,0.003995394122495587,0.0028610928841874446,0.004045184684461775,0.007584112252229582,0.059726995557008826,0.0002434245164402869,0.010420738564092605,0.0047957480427111635,0.9790651231199418,0.40107438113622434,0.1786794570960651,1.8220248088201338,0.18090615871995133,-1.8215379597872534,3.643562768607387,0.018798987033568686,0.7004106068956643
1,0.05,0.0,2.0,gold,25,,0.00288625829255026,0.004080765047843231,0.0005695430942618045,0.00023271175036530117,0.0003290218271747429,0.006832721952241659,0.007204065034096676,0.01018553913536113,0.007247267343882383,0.010246621151553047,0.018731426307146474,0.18249736094365293,-0.001850940180528245,0.04251210921246186,0.014714303432878256,0.9763634898285922,1.284385781871305,0.4555111578830384,1.7586756692167747,0.45824282869119576,-1.762377549577831,3.5210532187946053,0.0576790100270356,1.7855709420981432
1,0.05,0.0,2.0,gold,50,,0.0020901359043096162,0.002955159476046914,0.0002660691528854864,0.0001645260741328769,0.0002326168293784528,0.0037452745870774533,0.005622136097852156,0.0079489131452823,0.005723181037246799,0.008091776539735732,0.014912822181097686,0.13215874945587122,-8.30113275303187e-05,0.025919254754284596,0.010402940864013813,0.9779920005244884,0.8977338304796747,0.3554862028018577,1.7872018283597422,0.36187524803174254,-1.787367851014803,3.5745696793745454,0.04077877917519194,1.3934803199766805
