u_anchor,u_long,mean_under_anchor_pct,mean_under_long_pct,n,comparison,mean_diff_mm,mean_diff_mcse,sd_diff_mm,sd_diff_mcse,loa_lo_mm,loa_hi_mm,pct_ratio_of_means,pct_ratio_of_means_mcse,pct_mean_relative,pct_mean_relative_mcse,mean_truth_mm
0.03,0.1,2.3936536824085963,7.978845608028654,88000,"long-axis view mean, AP, vs T1 AP",-0.36793622691061995,0.007403073315678482,2.1961064449437213,0.005234793086364467,-4.672304859000314,3.936432405179074,-3.396860707892292,0.0680491891700206,-3.152567258556904,0.06843429774703956,10.831654829288528
0.03,0.1,2.3936536824085963,7.978845608028654,88000,"long-axis view single beat, AP, vs T1 AP",-0.4135115061879831,0.00891557052584135,2.6447856258135722,0.006304296196935849,-5.597291332782584,4.770268320406618,-3.817620785605706,0.08216452191049317,-3.8773598376591742,0.0834067257057712,10.831654829288528
0.03,0.1,2.3936536824085963,7.978845608028654,88000,"anchor view mean, AP, vs T1 AP",0.05348448824118481,0.006806531679891197,2.019143597871112,0.004812972053721941,-3.9040369635861945,4.011005940068564,0.4937794739965686,0.06285754122713523,0.7830071677776028,0.06392734329593035,10.831654829288528
0.03,0.1,2.3936536824085963,7.978845608028654,88000,long-axis view biplane mean vs mean of T1 AP and SL,-0.265396221204646,0.005346593579310415,1.5860559685598914,0.0037806340571152,-3.374065919582033,2.843273477172741,-2.988304612152635,0.05984609853441431,-2.5824055124076875,0.06225933711678702,8.881163591066004
0.03,0.1,2.3936536824085963,7.978845608028654,88000,"A4 composite, AP, vs T1 AP",0.922463764195158,0.006506248464818712,1.9300652008582806,0.004600638549623897,-2.8604640294870722,4.705391557877388,8.516369647423021,0.06035884608918314,9.485240552404507,0.06102222055286849,10.831654829288528
0.03,0.25,2.3936536824085963,19.947114020071634,88000,"long-axis view mean, AP, vs T1 AP",-1.6663534556908608,0.009200148188421789,2.7292050030411827,0.0065055241352645005,-7.015595261651579,3.682888350269857,-15.382483141434895,0.08145369859198441,-15.05191216111336,0.0796067798835509,10.832798842485333
0.03,0.25,2.3936536824085963,19.947114020071634,88000,"long-axis view single beat, AP, vs T1 AP",-1.7227830674969704,0.010312904340574141,3.05930182272513,0.007292366026963747,-7.719014640038225,4.273448505044284,-15.903397566475238,0.09254026353730313,-15.913462662480898,0.0919059522121446,10.832798842485333
0.03,0.25,2.3936536824085963,19.947114020071634,88000,"anchor view mean, AP, vs T1 AP",0.05638005733183844,0.006871393999961692,2.0383848714701647,0.004858836900683742,-3.9388542907496844,4.051614405413361,0.5204569765545776,0.06344541576049388,0.7899704613153222,0.06422894518950147,10.832798842485333
0.03,0.25,2.3936536824085963,19.947114020071634,88000,long-axis view biplane mean vs mean of T1 AP and SL,-1.3251629628480586,0.006354504110034454,1.8850505506832276,0.004493338477687939,-5.019862042187184,2.3695361164910675,-14.91448284747693,0.06713009152284644,-14.410883315465128,0.06804524913166286,8.88507483899943
0.03,0.25,2.3936536824085963,19.947114020071634,88000,"A4 composite, AP, vs T1 AP",0.5839183855381693,0.006660787248887418,1.975908812722598,0.004709914592683575,-3.288862887398123,4.456699658474461,5.3902818101642405,0.061726235664526244,6.190694409682878,0.062190758446279505,10.832798842485333
