cell,quantity,recomputed,stored,abs_diff
9,independent sigma 2 single apparent_mae,2.2271218588371675,2.2271218588371675,0.0
9,independent sigma 2 single apparent_ba_bias,-0.4111259582672077,-0.4111259582672077,0.0
9,independent sigma 2 single apparent_icc,0.831083153615695,0.831083153615695,0.0
9,inherited sigma 2 single apparent_mae,2.207081652232754,2.207081652232754,0.0
9,independent sigma 2 mean2 apparent_mae,2.123979465184453,2.123979465184453,0.0
9,independent sigma 2 mean2 apparent_ba_bias,-0.4106580239361026,-0.4106580239361026,0.0
9,independent sigma 2 mean2 apparent_icc,0.8439179965838897,0.8439179965838897,0.0
9,inherited sigma 2 mean2 apparent_mae,2.1023697375155956,2.1023697375155956,0.0
9,reference R_img ref_mae_vs_T1,1.2713048523631085,1.2713048523631085,0.0
9,reference R_img ref_ba_bias_vs_T1,0.2136322772103391,0.2136322772103391,0.0
9,reference single ref_mae_vs_T1,1.5089654422938348,1.5089654422938348,0.0
9,inherited_intercept_mm,0.5005407804536826,0.5005407804536826,0.0
9,inherited_slope,0.9917386403825628,0.9917386403825628,0.0
